,Frontal_Inf_Tri_L,Cerebellum_8_R,Thal_PuM_L,Cingulate_Post_L,Occipital_Sup_R,Pallidum_R,Raphe_D,Temporal_Pole_Mid_R,Rolandic_Oper_R,Insula_R,Thal_MGN_R,Fusiform_R,Thal_VA_R,Cerebellum_7b_R,OFCmed_L,Cerebellum_6_R,OFCant_L,Frontal_Inf_Tri_R,Thal_MDl_R,Thal_IL_R,Amygdala_R,Cerebellum_Crus2_L,Temporal_Pole_Sup_L,Thal_VPL_L,Thal_MDl_L,Temporal_Inf_L,OFCmed_R,Cerebellum_Crus2_R,Thal_LP_R,Cerebellum_7b_L,Parietal_Sup_R,Parietal_Sup_L,VTA_R,Calcarine_L,Cingulate_Post_R,Cerebellum_9_L,Hippocampus_R,OFClat_L,Cerebellum_3_L,Occipital_Inf_R,Cerebellum_4_5_R,Cingulate_Mid_L,Temporal_Pole_Mid_L,Olfactory_L,ParaHippocampal_L
Frontal_Inf_Tri_L,1.0,-0.42320044296426323,-0.4804788413816684,0.7802597729625432,-0.5692128995063903,0.2345467324636882,-0.49688670299248505,-0.399198230419219,0.7577628004457063,-0.011283868612087848,-0.2832261542730903,0.2364099285330449,0.8330284862947028,-0.314153199779225,0.09294611175681347,-0.20944643813122485,0.5861627880638841,0.7138914134602797,0.7290122357148355,0.3331154405706901,0.6549937235494641,-0.1750256644620683,-0.130314684687874,0.8152471877326287,0.31830764302069225,0.12550537899059086,0.04314748471737544,-0.33707494931991316,0.550503362928328,-0.4116970126083095,-0.4183865709553653,-0.4753909758489251,0.6546158512292716,-0.30204296891381377,0.154866840224371,-0.2247142281745794,0.7939380900878319,0.5697874936612354,-0.411162240962126,-0.41179457443539547,0.5840365332534094,0.6086790027465592,-0.3554578297895429,0.371899305593059,0.6430571881420684
Cerebellum_8_R,-0.42320044296426323,1.0,0.6621856440291094,-0.28444340808088514,0.40002920167870104,-0.10193069870656007,0.7715332239401498,0.7031180547938805,-0.28090170650274854,0.5109191600751324,0.6752505941553099,0.49546168023543885,-0.5428446965771387,0.7569925502105219,-0.4151125321747069,0.8542121448195965,-0.6860012452485991,-0.1861066199179257,-0.29286041783145506,-0.1603114209690671,-0.44123272080967174,0.6880762136327274,0.1407514311669796,-0.6274507372021324,-0.20558438084040184,-0.1822409289668265,-0.03849621166242665,0.9031700110181786,-0.3056019250761968,0.7745590734531301,-0.1679737966920556,0.062264926940450174,-0.7836154922670416,0.6099363954957872,0.2702503878736781,0.754433621386829,-0.4761274569163247,-0.8316280295662922,0.8178275022593875,0.929062145315146,0.04261218563387122,-0.13229907627408397,0.49156901726667157,-0.055772727301273015,-0.5395694712296779
Thal_PuM_L,-0.4804788413816684,0.6621856440291094,1.0,-0.2570444742787081,0.7963542404659802,0.21671826317964282,0.7948271210223956,0.4956574304424313,-0.12229620268896842,0.5881578375974483,0.7607698188737454,0.3297307436501569,-0.6678458857502796,0.49690530084823137,-0.22687221827848977,0.662143763913419,-0.6107616907020147,-0.4723297305105783,-0.18861887473199723,0.06695111520153611,-0.6105679964450874,0.5163182942500585,0.29693823374828393,-0.620013564592539,-0.10940802187743917,0.11279032622335289,-0.11986995075748251,0.5914112612652406,-0.19842243558027725,0.6392981552175929,0.26100529838636094,0.428682341664454,-0.6369243955771874,0.7948228697587433,0.5817148997510194,0.7095714282098861,-0.3534452677029027,-0.6929473891050194,0.7960091102283903,0.674763496493512,0.09527558218975049,-0.08585600284641687,0.5235362576789322,-0.24430291100179982,-0.3299556504493511
Cingulate_Post_L,0.7802597729625432,-0.28444340808088514,-0.2570444742787081,1.0,-0.3839803650456346,0.19813979662889056,-0.2911268250480575,-0.17820855814595657,0.6618833934848806,-0.033715882279826304,-0.12231688986234984,0.22325384554712138,0.7035723872910018,-0.23806000289065546,0.10506019218177866,-0.11528106852643134,0.38989345976636763,0.5021090997732108,0.6222147594506223,0.24220342815513818,0.44438872391939854,-0.12739593207085992,-0.11373295953347018,0.7411153903510397,0.4429840728243486,0.19059664570455054,0.09664011269934114,-0.2597770173890503,0.47315135150679005,-0.2669443848028536,-0.32020831709850456,-0.3963659435861311,0.5432374135607897,-0.25789293631439497,0.3997171184193718,-0.08401587922698066,0.7276588921318556,0.40285054466948067,-0.2642479323923629,-0.34777862961608025,0.5686494256928079,0.8146245727952459,-0.2412120884064906,0.10276691423024462,0.697076123505389
Occipital_Sup_R,-0.5692128995063903,0.40002920167870104,0.7963542404659802,-0.3839803650456346,1.0,0.3141497798383336,0.5372349991903602,0.28123125798276977,-0.22209162579166672,0.4118391408049967,0.48366124421531725,0.0283317551681856,-0.7279955471827139,0.34994691808506373,-0.03819345371029589,0.30292863901097145,-0.4159563216186098,-0.6852316142874287,-0.3598898520444199,-0.0638277238237803,-0.545914610303943,0.19026921543974903,0.25251587166805206,-0.7406997611649193,-0.1016846821792178,0.144790736620233,-0.06577019829805932,0.33899511484142414,-0.2791220036838831,0.46774447863618074,0.6899181827727683,0.7929532290729999,-0.5678317805351357,0.7741744846577917,0.47021110627084417,0.38202327100962996,-0.5043182742057273,-0.477893039400395,0.6449348965836678,0.46351868343357333,-0.17879458855560149,-0.19512807174375565,0.40027011555392106,-0.2798703568587284,-0.24550408392111725
Pallidum_R,0.2345467324636882,-0.10193069870656007,0.21671826317964282,0.19813979662889056,0.3141497798383336,1.0,-0.06556954447643883,-0.03590720684367276,0.29370647568527414,0.08234156224009619,0.15155782536042137,-0.030759723994844373,-0.062139917526826585,-0.07036654275063882,0.17586774325330187,-0.09179408943392,0.161706097532548,-0.12909040729666507,0.0773239338709387,0.4409691291095802,-0.016653375572712122,-0.0029815587540837785,0.28389751598574914,0.020932493076005285,0.2184175617692849,0.42332864662509323,-0.12224499162718243,-0.10422284347721965,0.06967966770067094,0.0798218961522216,0.373943277968951,0.3159455631182254,-0.05917965431020229,0.45195084765484833,0.5246549519456374,-0.025768704532850482,0.08300051433782225,0.0984776496354923,0.2774678156720161,-0.028129475800516838,0.3026491739901474,0.1613068781871567,0.07140983931493017,0.17170053567169766,0.29483965429685405
Raphe_D,-0.49688670299248505,0.7715332239401498,0.7948271210223956,-0.2911268250480575,0.5372349991903602,-0.06556954447643883,1.0,0.4839652211154954,-0.2030277149597779,0.6529793062101003,0.7032136684287444,0.33300890422067286,-0.626186935190534,0.5683943867104608,-0.3087888867964152,0.7576763134586277,-0.6049973005619655,-0.38658512472488205,-0.2279446322234388,-0.07119257331608746,-0.6959726289429532,0.6621522723037172,0.3556919853005806,-0.5369946680115586,-0.0923165507393271,0.09820309269343529,-0.0961204951949964,0.7209379661889008,-0.16649770315550172,0.6704892408674586,-0.06577021983777465,0.09128855800909336,-0.6042884963462112,0.605739937524246,0.3752032962612671,0.7834055162956116,-0.40951789553343415,-0.7167414317619624,0.7232257136278514,0.7435857501856084,0.08165574800541263,-0.07944115935975582,0.5794748283069384,-0.17408918008358656,-0.43197867104796434
Temporal_Pole_Mid_R,-0.399198230419219,0.7031180547938805,0.4956574304424313,-0.17820855814595657,0.28123125798276977,-0.03590720684367276,0.4839652211154954,1.0,-0.40329947663952437,0.1369651034061513,0.5084203358592974,0.20225209964502516,-0.4703797508100127,0.6094853839449533,-0.3348228620528251,0.5280643130199081,-0.5974631108402729,-0.272440601810814,-0.3541757344909088,-0.07259993900708338,-0.45044470670031717,0.4426384272227422,0.09884787138936785,-0.48756881701757904,-0.03640662889583498,-0.10971595886367205,-0.09326208478827488,0.622923411274047,-0.40432362310022907,0.5690042647868782,-0.0056289876412122285,0.08044955460234522,-0.7156700977047252,0.3642874536171998,0.16715992507141225,0.41343396745054345,-0.4692147876163006,-0.6659144895990149,0.6926653991179144,0.6682267084118407,-0.07620428591051755,-0.09498047243086531,0.4107958657757683,-0.2223831989691835,-0.43850426679857557
Rolandic_Oper_R,0.7577628004457063,-0.28090170650274854,-0.12229620268896842,0.6618833934848806,-0.22209162579166672,0.29370647568527414,-0.2030277149597779,-0.40329947663952437,1.0,0.33417083505106066,0.005182981287754929,0.36363346261645224,0.5956236613370975,-0.26653945249563216,0.13817330794290494,0.006422907830629156,0.4202485735123384,0.5622082623662756,0.7065773511688356,0.27099293576468786,0.4901565469735754,-0.02534889892887833,-0.0725479135300097,0.5679764561309825,0.20346884222969802,0.15613057033165617,0.0441339321101211,-0.21204588280971495,0.548403209932343,-0.2286836886019294,-0.3030317263865643,-0.28711335541345573,0.5548843054764911,0.02528973730913632,0.424003165323763,0.04145438574436895,0.7125343895629533,0.3720346660122389,-0.19550412942034287,-0.23483322956342545,0.6678994591390602,0.6226279773035478,-0.21986536820756555,0.41112389412543543,0.5876962836723241
Insula_R,-0.011283868612087848,0.5109191600751324,0.5881578375974483,-0.033715882279826304,0.4118391408049967,0.08234156224009619,0.6529793062101003,0.1369651034061513,0.33417083505106066,1.0,0.6154679373395641,0.550460099914024,-0.20764039260047143,0.372359877607008,-0.2879605954975865,0.6597478087719997,-0.2385569523992004,-0.021057292690642587,0.18039261357595612,0.15088298770996386,-0.21735581057465642,0.43585452535785674,0.17749685272100846,-0.26211710335143773,-0.09362303553167671,-0.04879357641126892,-0.20974128557860774,0.478110556935787,0.13133205863325192,0.3807546072522469,-0.1468836464888579,0.1043081315626305,-0.2880149465467493,0.6225705057657411,0.4952834446655766,0.6443354370546882,0.032873253073122374,-0.37966520777780033,0.49456940908118185,0.569566557250281,0.35600485065078097,0.12151824003457946,0.21632701750210553,0.16252225259296546,-0.14650318057524747
