,Cerebellum_6_R,Occipital_Sup_R,Thal_MDm_R,Olfactory_R,Vermis_3,Postcentral_L,ACC_sub_R,Vermis_6,Red_N_L,Thal_PuM_L,SN_pc_R,Frontal_Sup_Medial_L,Frontal_Sup_2_L,Thal_LP_R,Thal_PuL_L,Vermis_7,Putamen_L,OFClat_R,Lingual_L,Cuneus_R,SN_pr_R,N_Acc_R,Caudate_R,ACC_sup_R,ParaHippocampal_R,Cerebellum_8_L,SN_pr_L,Occipital_Sup_L,Vermis_4_5,Cingulate_Mid_L,Precentral_L,Cerebellum_4_5_R,Parietal_Sup_L,Precuneus_L,ParaHippocampal_L,Frontal_Mid_2_R,OFCant_R,Angular_L,Thal_PuI_L,Cerebellum_6_L,Precentral_R,Temporal_Inf_L,Rolandic_Oper_R,Temporal_Sup_R,Occipital_Inf_L,Temporal_Pole_Sup_L,Cerebellum_10_R,Supp_Motor_Area_L,Occipital_Inf_R,Paracentral_Lobule_R,OFCpost_R,Temporal_Mid_L,Thal_AV_R,OFCant_L,Rectus_L,Hippocampus_L,Cerebellum_Crus2_R,Olfactory_L,ACC_sub_L,Cerebellum_10_L
SN_pc_R,0.4121614985500425,0.5659740018325083,-0.3215233583533585,-0.5363515389512445,0.716333333900617,0.356395243473964,-0.2278917641256486,0.4396336452918868,-0.23665683553518502,0.6696869996041521,1.0,0.004796666596103735,0.06005793661020054,-0.23000744340809387,-0.3720660898149949,0.5283529230197722,-0.1516520371055859,-0.05431441826458311,0.5502750001785871,0.5872020613337028,-0.005686454562859382,-0.3088162817579205,-0.4303926476816182,0.03204299399436402,-0.15589955282968965,0.5275100046751446,0.2986124148513375,0.5310128845355248,-0.3374836391769578,0.004414927099283155,0.3424125812666621,-0.008982378318706814,0.3282466954143677,0.2992490371224965,-0.16228561831742974,-0.4064027161858955,-0.24621341301653515,0.5195761351804383,0.1686636879261451,0.5544464747104346,0.057816314128780626,0.11601710992321154,-0.1878349779578477,0.030105560507310457,0.6515445509982932,0.1965074046916594,0.5021470198926867,0.1658194557042208,0.5183761686628232,-0.009705640367163822,-0.45775284362479746,0.406450550661252,-0.5504359727222047,-0.5087560683258049,0.14490486620403586,0.34620484408754526,0.46226289969523165,-0.2566537432115028,-0.45467174378436903,-0.11573435577194734
Frontal_Sup_Medial_L,-0.09794397212847346,0.15163893573728462,0.18263067032110758,0.07505988592030455,-0.006441797549191954,0.09889599828515623,0.10384493528086257,-0.00893148814406481,0.12834231922890363,0.13455744044203188,0.004796666596103735,1.0,0.7252432122328053,0.3324748757903061,0.14192751802524736,-0.07699615278337288,-0.03371061516469529,0.19628010110509178,-0.12175554971291665,0.12141187445388683,0.18719259463504398,0.25812401155582504,0.12190246284302372,0.835266627117464,0.27663106779754926,-0.09387931108956085,0.11734651152356901,0.1401442907633531,0.2291823433721893,0.5234098097884909,0.291508287159627,0.22595633104908658,0.13704495951204784,0.22191636270575038,0.3874724155058676,-0.00398656154932975,0.06897879783497188,0.053515945940637355,0.20897036199808922,-0.121421738100738,0.07870920140659426,0.14670779872705778,0.40245539879116293,0.37587869637521687,-0.09780534801692134,0.18564036799034184,-0.12479698730407905,0.4931434837784742,-0.2003450069631108,-0.017437475978787937,0.31309022527086655,0.09902725284365486,0.20897979594176705,0.27553937855872945,-0.06034655830547851,0.3225828745138679,-0.17029201588376214,-0.10163655609035667,0.1342264216245236,0.12044801650280204
Frontal_Sup_2_L,-0.2879755841115205,0.26988452898978776,0.29751501672863157,0.01984122273867409,-0.020170896663526228,0.2973538214823815,-0.0004263114289943557,-0.16914978988569215,0.2731533338988223,0.16694700078182526,0.06005793661020054,0.7252432122328053,1.0,0.2790695604852008,0.1144851363201915,-0.2322480658669725,0.14060591665764965,0.09309802063448804,-0.09286621110064486,0.2218253978786341,0.2958366760288716,0.13287178486652823,0.14205042757805206,0.5622764089322834,0.30742130998452705,-0.05549000807518404,0.21432026636749835,0.2748979705353352,0.34071508786513444,0.5062570275042078,0.5533897051038316,0.1897671020047926,0.3189154384514597,0.429919092988403,0.4977821333150353,-0.008569521459154465,0.24907261470489242,0.246086918439456,0.20146795956033314,-0.12234047245632246,0.31718767473144,0.37774144081253674,0.3197442609792984,0.05336581718909119,-0.021949915210662273,0.392685999247223,-0.2660339343737211,0.7330610610818644,-0.3423669070050488,0.2979233549552173,0.20736027895495496,0.38244812243827503,0.14117007584405733,0.3044665491457827,-0.04125875524774141,0.4776738235036404,-0.37254675795135095,-0.18658689831741737,0.0653956020814881,0.20176972443237093
Thal_LP_R,-0.042627514509495534,-0.2791220036838831,0.5809123782588959,0.4464564541875642,-0.28708898184158893,-0.11455380484429206,0.01577737785479259,-0.16678559455456418,0.2274708766209008,-0.19842243558027725,-0.23000744340809387,0.3324748757903061,0.2790695604852008,1.0,0.36728882541231805,-0.1308321410356701,0.2425171785409142,0.10398990829036386,-0.17795012519174308,-0.27653920346598965,0.34794251186660785,0.5487469864067664,0.3999857719944212,0.36758185901577917,0.5846866876094754,-0.16372874517292094,0.26036781585285934,-0.2842821392366922,0.4374081577731257,0.4243029257517267,0.050512704555141445,0.3948276074722885,-0.2898393946194896,-0.1771184819124252,0.45898362415773136,0.35333580640973233,0.13033526204268164,-0.3959741612510503,0.4490303798307008,-0.1804164898941538,-0.11734709332131998,0.05944522496903538,0.548403209932343,0.39572978243777535,-0.3735304610837688,-0.0464202594811614,-0.2859291623844916,0.3643253960712901,-0.25873745071982496,-0.13566323745698416,0.5111106910426341,-0.1227971590259608,0.4281835533400991,0.3997998147890185,-0.052917644651539295,0.300789043800735,-0.23745973306994236,0.28586266730415993,0.4397285016723113,0.3871041771128002
Thal_PuL_L,-0.19797749689735364,-0.548016862329307,0.5462643274187378,0.47577125100307305,-0.5024029941121926,-0.4212963848540298,0.019362571571290847,-0.16390960801179474,0.3090572091679961,-0.41340217777141813,-0.3720660898149949,0.14192751802524736,0.1144851363201915,0.36728882541231805,1.0,-0.16794769449471902,0.1581403575467327,0.09577392433193531,-0.4486679284421285,-0.5219667043838453,0.5122292131423658,0.4625465762416819,0.3126788726142705,0.2959968184349964,0.3430038453920764,-0.25387962361150995,0.045487750987269614,-0.5808054882935565,0.48087892725156295,0.43148723665676647,-0.20569509047779613,0.3604995717520092,-0.5875985278083994,-0.46507956350000995,0.49675972480068653,0.5641682219966706,0.1927417647895707,-0.6177481414587911,0.3421495353011523,-0.34469031664537364,-0.10095687401308415,0.18449887406124743,0.4734825362644322,0.16479013183415012,-0.5204780131289032,-0.060066464961252605,-0.3600344749767818,0.1285838065967802,-0.45676773094737655,-0.20963846491849958,0.43350037149091236,-0.18836207504758434,0.4510399326120274,0.44564638934018935,-0.19414940976005418,0.22162922718948752,-0.31715133445250165,0.23144503474411318,0.35575805016355105,0.4441683329005097
Vermis_7,0.7736734518758975,0.3548119599377626,-0.45790988847812064,-0.3798826517829924,0.7484096033899348,-0.08553069164315807,-0.07624458726441832,0.8897438072830669,-0.47955153457634003,0.6317187983774472,0.5283529230197722,-0.07699615278337288,-0.2322480658669725,-0.1308321410356701,-0.16794769449471902,1.0,-0.21432621506857427,-0.08690966697283811,0.7107279323895893,0.422690928510334,-0.2850225820284725,-0.2208906478273913,-0.31725341450828853,0.1364334001517455,-0.30836712637613606,0.8968360409265012,-0.13098257460535573,0.2879161750114473,-0.4621699768352273,-0.0003016487712653602,-0.01725687848544973,0.23369911676101332,-0.2089984102234487,-0.1076187454177538,-0.2579225381129528,-0.2832782164210074,-0.3809918468793822,0.1698509473946094,0.07316252136125106,0.7925798381928311,-0.27089194106682524,0.34203512596631114,-0.10196023277793251,0.28338904531931536,0.7579823062347766,0.29134958653707044,0.7503834986448505,-0.06109209838233576,0.688769602396779,-0.5334151251190993,-0.4482601356838878,0.46598417315515595,-0.3927216982781242,-0.49964970395720715,0.19155745424966591,0.04902205372537874,0.769133038470811,-0.046518203189672196,-0.29086189139732666,-0.0063478841930097495
Putamen_L,-0.18932073949010095,-0.1678949228886689,0.6113862636682195,0.4940240086173587,-0.20990414745879954,0.04889442807556276,-0.06777597961189658,-0.13746817986717888,0.3827065042664697,-0.163989422135129,-0.1516520371055859,-0.03371061516469529,0.14060591665764965,0.2425171785409142,0.1581403575467327,-0.21432621506857427,1.0,0.017215579827819922,0.16538390359312016,-0.1099115323045338,0.4131660701754442,0.3870218883107036,0.7187788467559907,-0.028478215012839002,0.39964017338111424,-0.22825796843148038,0.4224603938789722,-0.10694958081329269,0.6061677433469053,0.044623771404737035,0.16697057327979292,0.46450120836277753,-0.045939271090579846,0.10716771302770944,0.3536541777708555,0.4249452225040056,0.08091590559536561,-0.18670416939461953,0.3917655822058581,-0.0993743482239774,0.28725741393911014,0.17661250895994168,0.4446331342788285,0.14232015368635356,-0.22141962515412128,0.03116166226787699,-0.27324198387803117,0.35435294839207354,-0.2615706593319993,0.2880663176875302,0.21944187280577523,0.171969406269813,0.10741544892992254,0.3185447580884998,0.27295795099029796,0.3602586897428276,-0.3095395893830416,0.45299308699661495,0.34922303316777864,0.29718280627810717
OFClat_R,0.14311171349136131,-0.0923051258430266,-0.01857245081032034,0.20276572504771312,-0.01111610771991323,0.0400579416602993,0.028707769974189588,-0.06003340773348688,-0.14772638122459347,0.039720005642696087,-0.05431441826458311,0.19628010110509178,0.09309802063448804,0.10398990829036386,0.09577392433193531,-0.08690966697283811,0.017215579827819922,1.0,0.016952788383827112,-0.07664229194825133,-0.08850802224185059,0.24317824403362462,0.10113500593174163,0.2294875590168285,0.0036356764921554544,-0.08476792138282468,-0.14659705901158054,-0.0331559339186834,0.05302593604712388,0.023471061775502244,0.026016425415778786,0.07783394345789563,-0.03345815382716585,-0.0732653592755509,0.005961578632707901,-0.02500350465657393,-0.04619104927953394,-0.10157327439101112,0.16447563696636586,0.057750172245886196,-0.21272815943994824,-0.2870779891462156,0.065716991066195,0.2433444274372516,-0.10719906303287083,0.09328020002084376,0.1110635548036782,-0.05624083571199078,0.10260577226342121,-0.1178378677648387,0.2503612591486306,-0.20151788709277482,0.08871668475863542,0.03595366993055651,0.08610266460964891,0.0004785418379303267,0.11826294212355741,0.24390616230691253,0.1419214301196809,0.2497085726677108
Lingual_L,0.7454847265784034,0.5650723932521703,-0.3838914827080439,-0.29545475377563746,0.7815013827539391,0.3239006991816436,-0.07856617725368326,0.7102740556288829,-0.4496235462738856,0.7770294755768304,0.5502750001785871,-0.12175554971291665,-0.09286621110064486,-0.17795012519174308,-0.4486679284421285,0.7107279323895893,0.16538390359312016,0.016952788383827112,1.0,0.6362826765431986,-0.3549344699540606,-0.22540389153520216,-0.03350029699518532,0.018661285343658626,-0.257478156086952,0.7609919232104745,-0.05939669752237063,0.6127153755505316,-0.305127947192987,-0.16825560399402836,0.30981337222913147,0.2682449846501241,0.18067535215225938,0.2723502987970399,-0.38662934579234204,-0.3996736990992858,-0.2915972214738931,0.46172743452301696,0.07287942824915633,0.9088300188508234,-0.16247479824099567,0.16834590384751047,-0.046627175706747695,0.3185122136450752,0.8184188226450353,0.34460293261656005,0.7743512959559875,0.0758536521664229,0.7895472322285723,-0.1949830490458081,-0.426705512022881,0.5803439105499444,-0.44741142975084686,-0.5221027180704895,0.34156538097105865,0.12298381519814652,0.7037228382906338,0.06722008353362421,-0.3011670655059683,0.06199050332687118
Cuneus_R,0.3854004599017699,0.9739435261447354,-0.4442749217005411,-0.5401155666374965,0.7382979031064024,0.7418017989985908,-0.09550741922345603,0.5328790931867755,-0.4626917339706207,0.7957867002442188,0.5872020613337028,0.12141187445388683,0.2218253978786341,-0.27653920346598965,-0.5219667043838453,0.422690928510334,-0.1099115323045338,-0.07664229194825133,0.6362826765431986,1.0,-0.2901847033298,-0.3828780124150557,-0.362664337203771,0.01803554424288724,-0.307307471918593,0.5349139563357929,-0.12011931989600172,0.9451395146643478,-0.38419883934470944,-0.1600044122210564,0.6620967038580513,-0.09997029813568645,0.739052069924857,0.7964604208850475,-0.25593837528081026,-0.6416266178716695,-0.18203693822562475,0.8985983121070712,-0.10081749376595785,0.5997340359706845,0.14084759028914637,0.14349986408259613,-0.18956529976143452,0.046666811058387096,0.7755120149511402,0.2342109886125682,0.5591464818848259,0.2507337466018791,0.5450123776752309,0.25527305536475997,-0.4588968189377129,0.6297911378700346,-0.5423332279705799,-0.4457879693779551,0.09653137031300422,0.085168540013358,0.41375859318191655,-0.2138023155427827,-0.3604607595105611,-0.16865816342471218
SN_pr_R,-0.43805139946577015,-0.28322095898925803,0.6908755966305924,0.4655865648613003,-0.41308791669183553,-0.19993791020720064,-0.14851332398639638,-0.30153751705966925,0.43480784434131436,-0.3560758062595648,-0.005686454562859382,0.18719259463504398,0.2958366760288716,0.34794251186660785,0.5122292131423658,-0.2850225820284725,0.4131660701754442,-0.08850802224185059,-0.3549344699540606,-0.2901847033298,1.0,0.4911068005126834,0.3769370141131147,0.14682818900560582,0.5149679751787667,-0.32291544021912116,0.640365172737738,-0.32906868675986894,0.5419609706047823,0.30174062846807476,-0.052418740033088405,0.29466741379466194,-0.1840182168649692,-0.11688725343610024,0.607833998084282,0.45565758477519314,0.2400509731539734,-0.3341085510282721,0.42084000426984614,-0.4592745908254082,0.24910708525258496,0.29462780315028914,0.42093201239550343,-0.005315842209961331,-0.43221780001526783,-0.011359450235073313,-0.5472678024983513,0.3116787788576794,-0.5859248837720823,0.13737318060071801,0.3699656753364649,-0.013170706351465148,0.1960039729761175,0.5279180969683687,-0.10050076567334762,0.4585118607387089,-0.5427779387284747,0.2024037921311815,0.35862513982504945,0.22367916510489852
N_Acc_R,-0.08035785342214456,-0.38649415058753994,0.6430681740653623,0.8693544909557287,-0.46404886538610446,-0.22452800849884152,0.18390090691842081,-0.30854252262901083,0.08692457813764964,-0.3017149937588117,-0.3088162817579205,0.25812401155582504,0.13287178486652823,0.5487469864067664,0.4625465762416819,-0.2208906478273913,0.3870218883107036,0.24317824403362462,-0.22540389153520216,-0.3828780124150557,0.4911068005126834,1.0,0.6195757974927828,0.31354673936302047,0.6077817786703517,-0.268739141855398,0.21098380464725464,-0.3790456274818902,0.38181133082534807,0.19734484561065227,-0.1685082276217755,0.3058835610784108,-0.337868829061711,-0.2967014379287636,0.48969248055449854,0.2903776259456162,0.2533836122671275,-0.5241263762574375,0.5985741847814655,-0.27464790078978174,-0.26970990471509965,-0.06834279451794054,0.5353575349208249,0.45156430461389013,-0.4874163042752507,0.021266041404708336,-0.3510943439022643,0.1295501247496718,-0.2985382666989631,-0.15172457865831412,0.7983519431234265,-0.27312594705426524,0.28506667896527493,0.5865768119000173,-0.11710899471998402,0.17333763146588135,-0.3330806327825034,0.6890104728975303,0.6681213322532905,0.45753692988014205
