,Thal_Re_L,SN_pc_R,Insula_L,Thal_VPL_R,Vermis_9,Temporal_Pole_Sup_L,Precuneus_L,Calcarine_L,Cuneus_R,ParaHippocampal_R,ACC_sub_R,OFCpost_L,Cerebellum_9_R,Putamen_L,Paracentral_Lobule_L,Frontal_Sup_2_R,Thal_PuI_R,ParaHippocampal_L,Lingual_R,Thal_MDl_R,Thal_PuA_L,Temporal_Pole_Sup_R,Thal_AV_L,Frontal_Sup_Medial_R,Calcarine_R,Temporal_Pole_Mid_L,Thal_LP_R,Cingulate_Post_L,Temporal_Pole_Mid_R,SN_pr_L,Occipital_Mid_L,Postcentral_R,ACC_sup_L,Thal_VPL_L,Temporal_Mid_L,Thal_VL_R,Cerebellum_7b_R,OFCmed_L,Caudate_L,Vermis_1_2,Angular_R,N_Acc_R,Temporal_Sup_L,Amygdala_L,Olfactory_R,Fusiform_L,Supp_Motor_Area_R,Cerebellum_8_L,Frontal_Inf_Oper_L,Olfactory_L,Vermis_4_5,Thal_MGN_L,Frontal_Med_Orb_L,Thal_PuM_L,Raphe_D,Vermis_10,Thal_PuL_L,Rolandic_Oper_R,Putamen_R,Cuneus_L,Cerebellum_4_5_R,ACC_sub_L,Postcentral_L,Cerebellum_Crus1_R,VTA_R
Thal_Re_L,1.0,0.3031916051090627,-0.22443038671700824,-0.2010336932714958,-0.037165407131826804,0.2573016675956516,0.2680771926205106,0.15426318413798026,0.29474478839882956,-0.2344889296574328,-0.11732764541218674,-0.08588164183212182,0.2795880545061306,-0.24770964552988403,0.33951817872238704,0.15566736648248686,-0.1289106778998403,0.07100549399336767,0.14185455588182486,-0.41238212211045205,0.183643904259591,-0.33872634644983096,0.31862768800486685,-0.02471845111850968,0.27169546441347703,0.27569956866490364,-0.21711221654190782,0.08600996975368269,0.30072589659178667,-0.034504891166249545,0.3835502727357388,0.47441312602192787,-0.043045844206746696,-0.1810475085305057,0.42466054303702944,-0.22836445950268694,0.13490036557724486,0.2029055922163017,-0.1817523236383999,-0.28571866195727136,0.42919245665772965,-0.5039929699354655,0.11624286306616734,0.007737991278290641,-0.46148968617735464,0.23229128941212027,0.17586826441671077,0.2307820100750987,-0.04256442462786232,-0.27491838388867224,-0.14299230573418964,-0.404632015794066,0.2889708833943656,0.1344677382768767,0.077813879895212,0.06742124384838175,-0.17371065023692345,-0.1564042422654297,-0.36405663748979944,0.3142515610407358,-0.1923461000662622,-0.26785536507437774,0.1989439556094367,0.10410798391853104,-0.18675851465226986
SN_pc_R,0.3031916051090627,1.0,-0.0057470294250194145,-0.014969120602149038,0.07327441723334514,0.1965074046916594,0.2992490371224965,0.5379529027436669,0.5872020613337028,-0.15589955282968965,-0.2278917641256486,-0.3262407851747315,0.3763082491675835,-0.1516520371055859,0.2988790477205055,-0.030587730939890583,-0.5056792664514687,-0.16228561831742974,0.5664773606266847,-0.23964192775539142,0.6688924889568543,0.0589164830646954,-0.14686712185917708,0.04587107392491398,0.6178570805888014,0.38595277988386356,-0.23000744340809387,-0.1870969087959064,0.4649850085246143,0.2986124148513375,0.6140735648458651,0.08306000851586536,-0.408393659757798,-0.5045301759800053,0.406450550661252,-0.47859495856744977,0.46346538634753737,-0.20239221145088926,-0.1369443968695545,-0.3293661603854212,0.5058527830502486,-0.3088162817579205,0.3142116774794256,-0.4279166263564942,-0.5363515389512445,0.36002967706479544,0.13145753861138967,0.5275100046751446,0.3156825375731146,-0.2566537432115028,-0.3374836391769578,-0.34255169378021894,-0.010847957666740989,0.6696869996041521,0.6336443244741561,0.5902169530122315,-0.3720660898149949,-0.1878349779578477,-0.39081315649580534,0.6344973440793442,-0.008982378318706814,-0.45467174378436903,0.356395243473964,0.5234964849065049,-0.5120684555988028
Insula_L,-0.22443038671700824,-0.0057470294250194145,1.0,0.33541170206835236,0.4067798907326811,0.1651002380556183,-0.022263657048989537,0.25685761958398695,0.03403541662179866,0.43509175459310545,0.06128462250196457,0.38660649537096403,0.20689560545277072,0.3621998490943069,-0.21638276624832115,0.2565401216756922,0.188495157016501,0.3547872304072626,0.3213351827195711,0.6246438281560456,0.26356403108635,0.54884706572832,-0.061575477949041425,0.23564335643864986,0.207371296124429,-0.032813155897082474,0.43710863648512255,0.4809997729965608,-0.03665954771477952,0.10337860904151128,-0.013833095445653218,-0.31931260164864683,0.21438322145654484,0.3220045893041067,0.1586461279792711,0.2925797099101418,0.10111496053316898,-0.16591170952436957,0.5433327619018943,0.5135373708590592,-0.19006063687696448,0.4308688122808921,0.48699436877027147,0.08155379186413353,0.391083846578065,0.35806569129310045,0.3865014847108633,0.14379881821201307,0.6255131919114506,0.39121797043842327,0.3779815163642158,0.40139183046985705,-0.318214171782718,0.18985225298624245,0.21709706598248918,0.24820529787103637,0.243646712949358,0.6774627202653684,0.7059903145229288,0.021586646089301036,0.7080616678789173,0.24089331124707192,0.06999325414219561,0.2264259726629175,0.12339669419666896
Thal_VPL_R,-0.2010336932714958,-0.014969120602149038,0.33541170206835236,1.0,-0.2198008739844746,0.13354775749713735,0.3181121354629953,0.3473998518558129,0.1382633272275427,0.2602045066358134,-0.06639277035632912,0.09407224808399033,-0.05268524979985135,0.8406987841804828,0.31026679268828455,0.27989992506058964,0.29442996214380834,0.1636195197990961,0.1140895382462768,0.20704065902485633,0.02185687741899812,-0.15385698889189453,-0.04694314746179252,0.018657164844557723,0.1197117491448238,-0.09734338434278843,0.17099183754147176,0.021249387940067897,-0.2234645350892768,0.3158368049569916,0.03813297410380814,0.2827759690896314,0.26577453854541433,0.06116872536888537,0.293684530096778,0.29196534319757494,-0.2121642983858998,0.10137947695595385,0.47885515356656555,0.0657152456967222,0.11144886388996036,0.2634866084035673,0.36514890658817006,0.23960397231122327,0.3272017315987035,0.1509692798808798,0.38770720388449736,-0.10142827289199417,0.432796350843494,0.3571786927372876,0.44342069918736726,0.4268203789377996,0.09154367687524413,0.07077466093482741,-0.19137932909693803,0.05984300304051472,-0.03963421096329727,0.3333087512286317,0.444846880140659,0.12279607125921732,0.32452998942047645,0.290932153218279,0.27292993132960996,-0.018873956804604144,0.021879977542549292
Vermis_9,-0.037165407131826804,0.07327441723334514,0.4067798907326811,-0.2198008739844746,1.0,0.07288689808974105,-0.3386373310022209,0.05895309182500152,9.572950509239688e-05,0.1816332682931059,0.04876779127031064,-0.061940634154213595,0.4300012251360603,-0.11544233810693853,-0.4805683662952713,-0.1195655699248703,-0.12154237984918334,0.14225416057059542,0.3037675522553057,0.22870247553268616,0.4530414912635935,0.42401326940628253,-0.1328133583567271,0.007655565383484595,0.12410620171212558,0.1262395633183179,0.1871204903279885,0.3007146205867857,0.2167350943250185,-0.044689258663725154,0.11039264655892181,-0.5787260916216372,-0.029408801387662116,0.2289369616346913,0.08512184779496784,-0.01599326525464242,0.28804567909637707,-0.21860806819444784,0.14287850965877755,0.5515564203225909,-0.31427295205564376,0.08810872734486706,0.1324127650777178,-0.05634514698000243,0.04676594467266487,0.5428251969768482,0.07216726740594048,0.4881160674908934,0.15811673594228784,-0.06638953124644381,-0.024652341142892803,0.1449959326462549,-0.26131404096044164,0.26427946302546285,0.3701300304950794,0.4529189500968559,0.22422260905812905,0.2263716688291437,0.19926725644236118,0.05904288914260828,0.5673626968141688,-0.0940194587431174,-0.2642953737052748,0.42684592809991295,-0.015689282883707235
Temporal_Pole_Sup_L,0.2573016675956516,0.1965074046916594,0.1651002380556183,0.13354775749713735,0.07288689808974105,1.0,0.12614073089306585,0.3014593537201161,0.2342109886125682,-0.2862599478222392,0.021093019250134123,-0.0027979141014535408,0.37510926907463144,0.03116166226787699,-0.0282185460085701,0.14872422990441886,-0.11554491180562262,0.018640272492013058,0.23404227893079957,-0.24446923255452396,0.43834490562947215,-0.16382413862639206,-0.11638005235282405,0.31585101243665603,0.2573291233668559,0.6865646015063194,-0.0464202594811614,-0.11373295953347018,0.09884787138936785,-0.04511636541963386,0.4438657441072082,0.15765470497642828,-0.1773363530046361,-0.06775275336700415,0.6861359318832619,-0.24196810624393034,0.040356198800341234,0.13122719401961108,0.3500943557210317,-0.1309764269788733,0.27860705354875603,0.021266041404708336,0.47603259723128993,0.03996823990242856,-0.030335816907633362,0.533595950445122,0.15336462084449837,0.48988711571127147,-0.053424601217983606,0.07932378184634882,-0.1766929467521313,-0.24102267089437446,0.2795546257605725,0.29693823374828393,0.3556919853005806,0.3033356777283637,-0.060066464961252605,-0.0725479135300097,0.04955968140324899,0.30377122788008687,0.014440249641502378,0.0050968736643684145,-0.10587540173837459,0.180473673443792,-0.22212786689886657
Precuneus_L,0.2680771926205106,0.2992490371224965,-0.022263657048989537,0.3181121354629953,-0.3386373310022209,0.12614073089306585,1.0,0.584825470239095,0.7964604208850475,-0.12782524249267668,-0.0520726745091307,-0.042744383713295656,0.3247726925519774,0.10716771302770944,0.9117980249541596,0.267279009566584,-0.29447272485809733,-0.07056022637760938,0.28121610752049203,-0.2535287099775913,0.30034361980398094,-0.1272732614131897,0.06112376466577211,0.35259652825715476,0.5932659292083811,0.11150179425068772,-0.1771184819124252,-0.20180527493962783,0.051662527656797484,0.037105482859399935,0.5998884194843378,0.5852553884111666,-0.36018996133779047,-0.5219441120537043,0.48414978704643397,-0.34349711618953693,0.10518683581646547,0.010092496943761051,-0.05403513427891635,-0.3973460186551317,0.8078641115038556,-0.2967014379287636,0.41297463533556095,-0.18050781787655137,-0.3533709476179156,-0.050378340014601994,0.40602031689037077,0.04198616961169166,0.2703978512716739,-0.17114851306723639,-0.08987819562769536,-0.07634121506601603,0.04458009418321802,0.40965929468210205,0.10626761799471615,0.16252603325959722,-0.46507956350000995,-0.09619927826816094,-0.15090086509596318,0.7440706929453454,-0.20910778043332143,-0.20446398893230983,0.8470759740037839,0.19507091292804876,-0.35055486298084465
Calcarine_L,0.15426318413798026,0.5379529027436669,0.25685761958398695,0.3473998518558129,0.05895309182500152,0.3014593537201161,0.584825470239095,1.0,0.8279300104594104,-0.27959780263794337,-0.07852334807101485,-0.1422793536735248,0.5961077677535479,0.11625283319411882,0.4313682703556724,-0.009568968360491311,-0.5268964171535876,-0.3008250661624008,0.8537891309182698,-0.2093267135388316,0.6469892047361665,0.20695824174165284,-0.20113931604483734,0.015541697549081525,0.9195497514659515,0.43484020467112827,-0.18118827571005303,-0.25789293631439497,0.3642874536171998,-0.1413301686305509,0.8208225286927813,0.11282656349482881,-0.42615642823852756,-0.6474630399615828,0.6454571481082937,-0.5552828462741725,0.49375577972415563,-0.13069439081028705,-0.08098683132664754,-0.2673973215389003,0.6359727214418746,-0.2596133086681894,0.6478581756748849,-0.5344474729072314,-0.3606665098608042,0.4244002063919049,0.17692891422387724,0.6110120299427675,0.6324930335133842,0.05636865364436284,-0.24598025929750217,-0.16194898793069054,-0.15238003455327215,0.7948228697587433,0.605739937524246,0.7492910576039367,-0.45859930046004677,0.02528973730913632,-0.09838559659109651,0.7886160980815585,0.12898780258211853,-0.24793339838060177,0.6001066613143033,0.6804897467344471,-0.6207470890764253
Cuneus_R,0.29474478839882956,0.5872020613337028,0.03403541662179866,0.1382633272275427,9.572950509239688e-05,0.2342109886125682,0.7964604208850475,0.8279300104594104,1.0,-0.307307471918593,-0.09550741922345603,-0.22471623488883002,0.6369816190747865,-0.1099115323045338,0.6482552547226975,0.04252851120235402,-0.6304258031729096,-0.25593837528081026,0.6624280600125019,-0.3356084079656773,0.6736112574873091,0.09028311262432215,-0.16293482620243635,0.2031524752423638,0.8786465702728073,0.3719150286423275,-0.27653920346598965,-0.34827126782442874,0.33174896649247276,-0.12011931989600172,0.906637222043255,0.28167497541400416,-0.6414017152792262,-0.7314710403380312,0.6297911378700346,-0.6708893623711784,0.41194140541449586,-0.10591227534373997,-0.19972566349819354,-0.3756489479291042,0.8515727608753062,-0.3828780124150557,0.5434986470787322,-0.4924113366050189,-0.5401155666374965,0.30188192460645785,0.244530755483399,0.5349139563357929,0.4123126352706264,-0.2138023155427827,-0.38419883934470944,-0.2752022274513082,-0.03214367151515227,0.7957867002442188,0.5634488715864762,0.6127628272322122,-0.5219667043838453,-0.18956529976143452,-0.2998409922172744,0.9517537007066581,-0.09997029813568645,-0.3604607595105611,0.7418017989985908,0.6052505265163312,-0.6126996533494216
ParaHippocampal_R,-0.2344889296574328,-0.15589955282968965,0.43509175459310545,0.2602045066358134,0.1816332682931059,-0.2862599478222392,-0.12782524249267668,-0.27959780263794337,-0.307307471918593,1.0,0.012140273952214902,0.40520905127096846,-0.35373553839777094,0.39964017338111424,-0.0772747927865172,0.29246946451323286,0.5368324976660013,0.7043142608825741,-0.3064900493890728,0.7081243375348081,-0.12215594365779676,0.11109811895224866,0.13676917574876363,0.23878942676166032,-0.3453490233697546,-0.5300327340312506,0.5846866876094754,0.5863348081160542,-0.4159382480873373,0.4813909402008722,-0.47914049649156953,-0.08715231221703698,0.5244347543973259,0.6518800149810181,-0.2628504396929308,0.7806177063292348,-0.23856632540533146,0.08028156119246178,0.49028019773461956,0.6193409229523379,-0.386812845485023,0.6077817786703517,-0.15878899040913416,0.5669683889670836,0.532236621586507,0.06751688981123265,0.4470127803892287,-0.36558967572095863,0.13178271424768673,0.22517227304818746,0.6341657233066157,0.6481034734240956,-0.13150919591977417,-0.2710915291357294,-0.3504118993234432,-0.295655962975042,0.3430038453920764,0.6002512783698124,0.6371145756052592,-0.30654920221416454,0.44721891498504224,0.3783689328910734,-0.0033075845677466315,-0.25028573411247523,0.6328451988873433
