,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pc_R,1.0,0.05997095506184033,-0.45775284362479746,0.030105560507310457,-0.5669196180696876,-0.22421001462956963,0.6344973440793442,0.5183761686628232,0.4308708581008431,0.2986124148513375,0.41819380549491814,-0.14686712185917708,-0.29361585149854724,-0.009705640367163822,0.07327441723334514,-0.6586963845443095,0.3142116774794256,-0.6342411336369529,0.3031916051090627,0.3424125812666621,0.0592426021643387,-0.6163735342470893,-0.0057470294250194145,0.356395243473964,0.5283529230197722,-0.39066382529657356,0.5021470198926867,0.3282466954143677,0.2992490371224965,0.4149536629130024,0.4396336452918868,-0.1384341952438453,0.5659740018325083,-0.16228561831742974,0.1658194557042208
Thal_MDl_L,0.05997095506184033,1.0,-0.0017803331868210058,-0.04303040344099919,0.15947943116885768,0.1792327000275977,-0.06347193935235912,-0.23491154801459166,-0.1409498085180767,0.15312617871180864,-0.13985826312344363,0.40808966849790423,0.35131110053271375,0.08550274499558327,0.12015545392187996,0.04096421293118876,-0.006112701934411338,0.18838929068739227,0.27026657253384845,0.1592495600282958,0.49915848627424203,0.06489728528484641,0.14225177739878558,-0.01900126393243692,-0.09365815907661997,0.3071976684976873,-0.20689547031849576,-0.07889734437662302,0.0012508148212500884,0.021155190020964096,-0.11233468408698588,0.32646010227977373,-0.1016846821792178,0.41627662255001335,0.4165161793874681
OFCpost_R,-0.45775284362479746,-0.0017803331868210058,1.0,0.3745843899499428,0.5860084714150395,0.5159728177280478,-0.49174886912776794,-0.39222039118259855,-0.11362022774920627,0.15046380168650877,-0.4152822804514682,-0.05030913682696407,0.5577174379640003,-0.0601712635286869,0.05947931464362956,0.5841393448557948,-0.2987216078328915,0.7773195409832248,-0.4719183601366541,-0.07986993161171504,0.048840648592164256,0.8239565400883012,0.28769284900040965,-0.13806966181303953,-0.4482601356838878,0.7492350047479739,-0.4448753541857384,-0.23061965698716444,-0.25041539930342077,-0.48094608841759573,-0.5490482866450579,0.5397362256735958,-0.4428694556154744,0.4887895222328851,0.1883843297586033
Temporal_Sup_R,0.030105560507310457,-0.04303040344099919,0.3745843899499428,1.0,-0.17864772698867276,0.6347947457760131,0.016209295310153016,0.27527914582920304,0.5715128236786309,-0.024059273616752246,0.3004943384786385,-0.2626495617282126,0.41011422478849185,-0.5427442448364623,0.46770142777683826,0.16548114343582093,0.31104374924434186,0.17016875499424117,-0.45525946397674,0.0834317955142805,0.10559263372553684,0.3219945894963583,0.7460238825099292,0.03570439351662286,0.28338904531931536,0.5066955533424631,0.25723278043278575,-0.22131324762811108,-0.17220223589044226,-0.23462474355771704,0.23936013851518628,0.14583021485567552,0.014965181578800557,0.12187614146888383,0.17366856071649872
OFClat_L,-0.5669196180696876,0.15947943116885768,0.5860084714150395,-0.17864772698867276,1.0,0.3649331636508416,-0.5602856255210283,-0.8366974726771168,-0.7467063503800595,0.25538937907381026,-0.6870417211797613,0.18976003952401432,0.5243892925336242,0.28155660700059226,-0.25449070260538104,0.542203767596452,-0.2792869397417602,0.7262836197908908,-0.0784078340841568,-0.1985150721008098,0.02377882592527428,0.6631293959556687,0.07192131771963878,-0.3172884388969881,-0.6579952758544195,0.5145882977493149,-0.8154203522628954,-0.17838029054996815,-0.11785773526558654,-0.11154233852777076,-0.5871759999629336,0.5098633072616464,-0.477893039400395,0.6411368460426354,0.2097034378825945
Heschl_R,-0.22421001462956963,0.1792327000275977,0.5159728177280478,0.6347947457760131,0.3649331636508416,1.0,-0.32499174332049185,-0.2698323104005195,-0.03380963927409742,0.23200941526983557,-0.03965812834834956,-0.047322042722914535,0.6900886135950888,-0.2240984297705943,0.2624098431041279,0.4017124119441973,0.25737875944398403,0.5259165231861372,-0.2974043182375515,0.046279002175007244,0.13137039595004993,0.5186938785846967,0.6611369162728996,-0.1558179684943564,-0.05467407606494652,0.7271648246749411,-0.27077863284656956,-0.3974771952827497,-0.23320909114965796,-0.20077915195592388,-0.02011336519802269,0.5357059906215825,-0.2963094382808092,0.5404274921985897,0.42324839164857525
Cuneus_L,0.6344973440793442,-0.06347193935235912,-0.49174886912776794,0.016209295310153016,-0.5602856255210283,-0.32499174332049185,1.0,0.5640613077853749,0.4933031674547405,-0.07561101093960172,0.3850845830529382,-0.11295216093081381,-0.4988842855182213,0.2161041144703546,0.05904288914260828,-0.5946070121785388,0.47494663075253,-0.7590062753264515,0.3142515610407358,0.623758446150258,-0.036256257461588524,-0.6631072604778668,0.021586646089301036,0.6828430039246173,0.4594320262882429,-0.5087196451997027,0.5799368936257074,0.7154872142351224,0.7440706929453454,0.6058023824763512,0.5062649842577471,-0.3612260720614687,0.9418092111829894,-0.27973591659749264,0.2549137616720241
Occipital_Inf_R,0.5183761686628232,-0.23491154801459166,-0.39222039118259855,0.27527914582920304,-0.8366974726771168,-0.2698323104005195,0.5640613077853749,1.0,0.8589464434609632,-0.3099651045376669,0.6975504471021021,-0.29350370257344677,-0.4778133582824591,-0.27903945155580534,0.2815136755008965,-0.41425248703107515,0.35725384830822804,-0.5588588999622742,0.06947096886627077,0.2324047278175086,-0.06769753440554081,-0.49821742437431127,0.18398923940337805,0.35643212696294524,0.688769602396779,-0.457058849479738,0.9430997121377384,0.1312999991571654,0.15754977600409228,0.03211151131783732,0.6513894884319067,-0.4459997077886447,0.46351868343357333,-0.5658831963554768,-0.1537410498727564
Temporal_Inf_R,0.4308708581008431,-0.1409498085180767,-0.11362022774920627,0.5715128236786309,-0.7467063503800595,-0.03380963927409742,0.4933031674547405,0.8589464434609632,1.0,-0.20330408904810313,0.6168553446077775,-0.2956213282452322,-0.21012097448843173,-0.39802012780503454,0.4792019288552603,-0.20089089736598173,0.2960031636367203,-0.3448497923052173,-0.12462032145603569,0.2659079576159909,0.12894178570544296,-0.22588648767723224,0.38479408876163534,0.35656324011615576,0.585208978189508,-0.08689922435469538,0.8001834578384975,0.08599467211306659,0.08792844692685621,-0.11613475545608518,0.47246838112246947,-0.22325988877364228,0.39213406426332886,-0.37220874494759787,0.0046782731835407045
SN_pr_L,0.2986124148513375,0.15312617871180864,0.15046380168650877,-0.024059273616752246,0.25538937907381026,0.23200941526983557,-0.07561101093960172,-0.3099651045376669,-0.20330408904810313,1.0,-0.2473207512378116,0.07762842918356387,0.3402865893332964,0.1515500566756844,-0.044689258663725154,-0.03608647712535361,-0.0179567429150357,0.11169286688626899,-0.034504891166249545,0.0694437931048213,0.29917975452620443,0.0561134318621753,0.10337860904151128,-0.045601615959947744,-0.13098257460535573,0.2759406160483054,-0.3387568609368368,-0.016311607150442775,0.037105482859399935,0.028027533278140504,-0.20210408186380138,0.5158708559769368,-0.1266504262688841,0.3834179918099437,0.37589050310926786
Vermis_8,0.41819380549491814,-0.13985826312344363,-0.4152822804514682,0.3004943384786385,-0.6870417211797613,-0.03965812834834956,0.3850845830529382,0.6975504471021021,0.6168553446077775,-0.2473207512378116,1.0,-0.3339853522346132,-0.2560973207963527,-0.560528127895971,0.5429555907966718,-0.5142945474818231,0.34464441215544056,-0.5290129265192557,0.08554495150450211,-0.06826420913808846,-0.08855623569674873,-0.5031627449585286,0.17603952999255704,-0.11394678715106067,0.9287646223441046,-0.34907175731428014,0.7633598138703802,-0.254520800963956,-0.17420790448478157,-0.010189966208896105,0.8494440420234448,-0.45715914236203303,0.27387637962197753,-0.35055532235728815,-0.12709201643289858
Thal_AV_L,-0.14686712185917708,0.40808966849790423,-0.05030913682696407,-0.2626495617282126,0.18976003952401432,-0.047322042722914535,-0.11295216093081381,-0.29350370257344677,-0.2956213282452322,0.07762842918356387,-0.3339853522346132,1.0,0.2170062513314381,0.2736153682456022,-0.1328133583567271,0.1485301711008911,-0.08595207429288705,0.19238318681509795,0.31862768800486685,0.10601286070380754,0.3055914754703883,0.05199160893346655,-0.061575477949041425,0.056551790497674004,-0.3109430105512531,0.12333994556995823,-0.2853141723136992,0.08649098155866702,0.06112376466577211,0.09090576981808274,-0.26667908797806533,0.18705432135904165,-0.14107664928814118,0.1873590510568672,0.16596105598458616
Thal_LGN_R,-0.29361585149854724,0.35131110053271375,0.5577174379640003,0.41011422478849185,0.5243892925336242,0.6900886135950888,-0.4988842855182213,-0.4778133582824591,-0.21012097448843173,0.3402865893332964,-0.2560973207963527,0.2170062513314381,1.0,-0.23836793576154805,0.2965417691335452,0.43611574581543117,-0.03763396559455772,0.667850296917478,-0.1328578338937221,-0.08731062761808378,0.312218483598009,0.5688643880117074,0.49018099389559766,-0.3234286213635112,-0.19023635891035698,0.7997510703485757,-0.4689256411638372,-0.4801109571090018,-0.3643608514081495,-0.3566813067465066,-0.25334439375036355,0.6352806635399199,-0.5035845508406225,0.6242499010419508,0.38505704454268813
Paracentral_Lobule_R,-0.009705640367163822,0.08550274499558327,-0.0601712635286869,-0.5427442448364623,0.28155660700059226,-0.2240984297705943,0.2161041144703546,-0.27903945155580534,-0.39802012780503454,0.1515500566756844,-0.560528127895971,0.2736153682456022,-0.23836793576154805,1.0,-0.6701298427549311,0.10291262818435981,-0.018789538546725486,-0.05039447034732714,0.32288929774582315,0.5347274180453089,-0.06676426592214471,-0.08196805534718367,-0.29466569310762686,0.5815308157584731,-0.5334151251190993,-0.18134338616661871,-0.3181665829095464,0.6673769085997331,0.664732243656215,0.54192450181715,-0.36445413049580044,0.24014352994852672,0.2822679553659989,0.1363805661539422,0.317616639790009
