,Thal_MDm_L,Thal_PuA_R,Raphe_D,Cerebellum_9_R,Olfactory_R,Frontal_Inf_Orb_2_R,Calcarine_R,Cingulate_Mid_L,Temporal_Inf_L,Frontal_Med_Orb_L,SN_pr_R,Occipital_Inf_L,Supp_Motor_Area_L,Thal_MGN_L,N_Acc_R,Cerebellum_3_L,Cerebellum_6_L,Parietal_Inf_L,Cerebellum_7b_R,ACC_sup_L,Cerebellum_7b_L,Occipital_Mid_L,Parietal_Inf_R,Cerebellum_Crus2_R,Pallidum_R,Angular_L,Thal_MDl_L,Paracentral_Lobule_L,Frontal_Sup_2_R,Vermis_6
Thal_MDm_L,1.0,0.1735307609564722,0.07359670609434217,0.24321301909379017,-0.1609775868797182,0.14347214285430332,0.12511980039366297,0.5378638405335615,0.03261393836735386,-0.1984703965705048,-0.030632245436126478,-0.01650703678020901,0.3751249897905293,0.16136292788605458,-0.15183006013951889,0.15661146083502708,0.1679453217638446,0.08480836841950862,0.14820641630368536,0.18679527506276872,0.1912322923004588,0.006121174799099951,-0.150642519418292,0.1122428687759646,0.03678805654210409,-0.011944948613365973,0.5424212374087419,-0.02614311622052128,0.25079200964346315,0.06065042848128021
Thal_PuA_R,0.1735307609564722,1.0,-0.47434385586869454,-0.401556338226226,0.5441422521750232,0.5358391486715139,-0.3936341156486209,0.4094096166961208,0.014838313076700407,-0.006668434506694433,0.6248749840817555,-0.5490715981506353,0.46848247412199384,0.6351525476638933,0.5271652819117851,-0.3860459047572193,-0.36127424419452536,-0.029891637748921195,-0.33381996528083746,0.6834713363757481,-0.4504626005724763,-0.5341386201333346,-0.09787345251383278,-0.4871354684323682,0.33484265717844997,-0.4005514675544411,0.32646010227977373,0.0059368069240285,0.40481113726760665,-0.4780456235886295
Raphe_D,0.07359670609434217,-0.47434385586869454,1.0,0.6394135486485806,-0.49861115921239213,-0.5963707544698728,0.7047817733203113,-0.07944115935975582,0.09820309269343529,-0.18583326521579602,-0.4334694493416943,0.7772122237860014,-0.05986146584063455,-0.4030728543147298,-0.26824226301021503,0.7232257136278514,0.776858509433784,0.10077948166043665,0.5683943867104608,-0.6190783288135306,0.6704892408674586,0.7123805140052015,-0.08396444537683033,0.7209379661889008,-0.06556954447643883,0.4164600199032889,-0.0923165507393271,-0.07080807835235493,-0.2663021553325464,0.6945907442864616
Cerebellum_9_R,0.24321301909379017,-0.401556338226226,0.6394135486485806,1.0,-0.43702319526741656,-0.5372929171357793,0.6911496594549386,-0.035898691427196094,0.3386374548511301,-0.0816411380507225,-0.3806275249944131,0.734219088052401,0.1096954161884748,-0.20742682531131462,-0.3521037287196526,0.6573578374076079,0.6877711639800741,0.15797277537034302,0.5268701006261678,-0.5363303438082628,0.6724130955777706,0.745335408965772,0.12978771325277083,0.5567100668677601,0.19654049948488525,0.46802664382375914,-0.002072936820081873,0.13413181799443163,-0.07091465730804825,0.691452167191535
Olfactory_R,-0.1609775868797182,0.5441422521750232,-0.49861115921239213,-0.43702319526741656,1.0,0.7772265631965514,-0.52764863869125,0.1554254298934704,-0.07571665950584965,-0.15324856763116348,0.4655865648613003,-0.6115450744396687,0.04419437012120431,0.6330542112035344,0.8693544909557287,-0.5625453220666835,-0.3630793996743526,-0.30881176655473186,-0.373466752254023,0.5562944239830253,-0.47116006484236517,-0.6170674149512969,-0.3590972139091491,-0.42589817035112776,0.07499148873398409,-0.605926290361065,-0.12282138621487525,-0.3714863359004598,0.08715090818876971,-0.403227776755776
Frontal_Inf_Orb_2_R,0.14347214285430332,0.5358391486715139,-0.5963707544698728,-0.5372929171357793,0.7772265631965514,1.0,-0.6225088002897302,0.31035255354240987,-0.2944111357057286,-0.1968969290046801,0.3723243458005749,-0.8100153635674796,0.07937494545069758,0.600586346058984,0.7067401773681447,-0.6671823996087739,-0.5197842332476086,-0.24772626736927442,-0.43113559611025987,0.6041596598189074,-0.5771893765209191,-0.7674933688873511,-0.37744277016694333,-0.47572750441536726,-0.13750291171168497,-0.6384415247308955,0.06489728528484641,-0.3506354449528901,0.2354691293289737,-0.5848574367986852
Calcarine_R,0.12511980039366297,-0.3936341156486209,0.7047817733203113,0.6911496594549386,-0.52764863869125,-0.6225088002897302,1.0,-0.06250331962154419,0.0725706649848341,-0.23741216512710928,-0.45170126038240316,0.8563481118937785,0.17529282371656618,-0.2781754401827487,-0.42052392992982096,0.898593767835644,0.8594773732664935,0.5812156838529906,0.6144474477933892,-0.5157572340989502,0.7188788668814291,0.8920189249321254,0.2704787840726864,0.6828190741497049,0.3318695850688661,0.7771616554448774,-0.10830470069363132,0.45038654844419407,-0.0734079696494427,0.6759161974925124
Cingulate_Mid_L,0.5378638405335615,0.4094096166961208,-0.07944115935975582,-0.035898691427196094,0.1554254298934704,0.31035255354240987,-0.06250331962154419,1.0,0.2189583859712827,-0.06061799408903271,0.30174062846807476,-0.22159362469775107,0.6735320824286409,0.1944534627419479,0.19734484561065227,-0.0881885165149924,-0.02169581718489336,-0.019910523861340124,-0.05169636652669307,0.4774370535391491,-0.1309422982584671,-0.1968365504806067,-0.18418999080923007,-0.09813409416343385,0.1613068781871567,-0.19735564276559311,0.37979156118424584,-0.0898377347789013,0.5554884098864791,0.010194636700869572
Temporal_Inf_L,0.03261393836735386,0.014838313076700407,0.09820309269343529,0.3386374548511301,-0.07571665950584965,-0.2944111357057286,0.0725706649848341,0.2189583859712827,1.0,0.5778962540825,0.29462780315028914,0.3413336801206842,0.3261637242469689,-0.2004541673418557,-0.06834279451794054,0.07523875156521588,0.1296837936095744,-0.3357565071342668,-0.16427254926250498,0.03973346907197364,0.14052328525415034,0.3188917335998034,0.3258746170878073,-0.07887616082279114,0.42332864662509323,0.05694839700686083,0.229976758736161,-0.0546111922865262,0.3327495204818771,0.41619895157901027
Frontal_Med_Orb_L,-0.1984703965705048,-0.006668434506694433,-0.18583326521579602,-0.0816411380507225,-0.15324856763116348,-0.1968969290046801,-0.23741216512710928,-0.06061799408903271,0.5778962540825,1.0,0.3020627017297166,0.01817494680881819,0.055173851162556596,-0.23822794204766992,-0.17025797411125224,-0.23696898212982187,-0.31648171634856487,-0.30645258748714255,-0.501546082629328,0.03520784455247198,-0.17006421894497617,0.04372569110152561,0.5501996453977577,-0.35777371686658127,0.18181303330299606,0.012131795712425009,0.12977832830769695,0.08408451156803733,0.3661460249815366,-0.008391303043669876
