,OFCmed_L,Paracentral_Lobule_R,Thal_PuA_R,Vermis_3,Paracentral_Lobule_L,Frontal_Sup_Medial_R,Vermis_1_2,Frontal_Inf_Oper_R,Vermis_6,Amygdala_R
OFCmed_L,1.0,0.24556901866979136,0.06510192137574948,-0.11403100814845127,0.054544580935579234,0.005808565233420024,-0.009038445185658538,-0.07812301439822485,-0.08343119049926534,0.11851280639843641
Paracentral_Lobule_R,0.24556901866979136,1.0,0.24014352994852672,-0.12541670583755515,0.8417276209004753,0.08637864056804,-0.37209152878924134,-0.2833687920334344,-0.36445413049580044,0.10291262818435981
Thal_PuA_R,0.06510192137574948,0.24014352994852672,1.0,-0.4780755132595091,0.0059368069240285,0.12045354280120324,0.43091846507450243,0.534450771704744,-0.4780456235886295,0.47040538854292074
Vermis_3,-0.11403100814845127,-0.12541670583755515,-0.4780755132595091,1.0,0.22893480597248497,-0.04061321489223019,-0.3768597926430148,-0.2883937692628666,0.7947023804685884,-0.7393733621345797
Paracentral_Lobule_L,0.054544580935579234,0.8417276209004753,0.0059368069240285,0.22893480597248497,1.0,0.22512375653229946,-0.46451882653403287,-0.36951421834506026,-0.11010915902419104,-0.17067745486212182
Frontal_Sup_Medial_R,0.005808565233420024,0.08637864056804,0.12045354280120324,-0.04061321489223019,0.22512375653229946,1.0,0.13184461708908746,0.0832301009162902,-0.2553521766089471,-0.03213151696822778
Vermis_1_2,-0.009038445185658538,-0.37209152878924134,0.43091846507450243,-0.3768597926430148,-0.46451882653403287,0.13184461708908746,1.0,0.6004760583941109,-0.08781206510690293,0.5309075806630694
Frontal_Inf_Oper_R,-0.07812301439822485,-0.2833687920334344,0.534450771704744,-0.2883937692628666,-0.36951421834506026,0.0832301009162902,0.6004760583941109,1.0,-0.08703248503290757,0.5315609173690083
Vermis_6,-0.08343119049926534,-0.36445413049580044,-0.4780456235886295,0.7947023804685884,-0.11010915902419104,-0.2553521766089471,-0.08781206510690293,-0.08703248503290757,1.0,-0.507153154508584
Amygdala_R,0.11851280639843641,0.10291262818435981,0.47040538854292074,-0.7393733621345797,-0.17067745486212182,-0.03213151696822778,0.5309075806630694,0.5315609173690083,-0.507153154508584,1.0
