,Thal_MDm_L,Rolandic_Oper_L,Cerebellum_6_R,Paracentral_Lobule_L,Cerebellum_7b_R,Cerebellum_4_5_R,Putamen_R,Cerebellum_6_L,Precentral_L,Caudate_L,Supp_Motor_Area_R,Thal_Re_L,OFClat_L,Temporal_Pole_Sup_L,Occipital_Sup_R,Thal_PuL_L,Thal_MGN_L,Vermis_8,Vermis_9,Frontal_Mid_2_L,Thal_LGN_L,Thal_PuI_R,Vermis_10,Thal_MDl_L,Vermis_3,Cerebellum_8_L,SupraMarginal_R,Raphe_D,SN_pr_R,Amygdala_R,Parietal_Sup_L,OFClat_R,Temporal_Mid_L,N_Acc_L,Thal_LP_L,Frontal_Inf_Oper_R,ACC_sub_L,Lingual_R,Thal_VA_L,Insula_R
Thal_MDm_L,1.0,0.049976258255822525,0.2051164100087656,-0.02614311622052128,0.14820641630368536,0.27095030530321634,0.045052126274633786,0.1679453217638446,0.2819092889482774,0.06574128564292529,0.29036293450657336,0.35015072478043235,-0.05148377699479711,-0.07868356753447618,0.01224655509230378,0.19583692423901192,0.16136292788605458,0.056890503072758516,0.43501380987246924,0.2850077874335434,-0.17525732902592586,0.082090480624034,0.08091746509969909,0.5424212374087419,0.05784690373943254,0.08712189911410252,-0.03075316549216161,0.07359670609434217,-0.030632245436126478,0.163223181610898,-0.10307464226678072,-0.007426116884259942,-0.023692611825070455,0.17501840682528805,0.24977884006141202,0.3800425558309273,-0.18054572549218123,0.12256394921935693,0.0007221358628689841,0.0955727456153202
Rolandic_Oper_L,0.049976258255822525,1.0,0.4979725674277221,0.24914569799686542,0.2899227236003363,0.4027387652471543,0.26910771736530703,0.46882007103244316,0.5023379530381775,0.023710298757991886,0.2051268995312782,-0.14629901497905456,-0.42620831921916835,-0.24417407216437115,0.26356214397412414,-0.1752062666202493,0.1837462786858278,0.18051614747469363,0.05742462060378018,-0.12382227620500075,0.2797682733434602,-0.13408678543597372,0.3627526527425695,-0.06162705067133025,0.32875621959788764,0.10513581765905541,0.11364389421337164,0.2810746337180823,-0.1486650144625888,0.03398040705039643,0.20185977205543748,0.10889707513085195,0.11929382114867874,-0.1179438912640084,-0.026070755803643885,0.3909277636940862,-0.09897917271226923,0.5729106030516737,-0.1019941513599165,0.612194898504487
Cerebellum_6_R,0.2051164100087656,0.4979725674277221,1.0,-0.2358547349214689,0.7006675951647152,0.3304787726113021,-0.04845009745566376,0.865885399996636,0.13167155807834682,-0.1998673156584198,-0.14552353572541527,-0.1256432779691797,-0.7788443824201311,0.017427571980553638,0.30292863901097145,-0.19797749689735364,-0.04828514499016972,0.8010021841861632,0.5836631210906963,-0.26939374071241756,-0.2664010347283681,-0.5891091948397682,0.8095940108427999,-0.15989773318063402,0.6079523362777137,0.7150715136134528,-0.1805375902843954,0.7576763134586277,-0.43805139946577015,-0.27704512728293007,-0.13491862418844944,0.14311171349136131,0.13430094679368473,-0.20394504717241485,-0.356424861987875,0.16727461616172998,-0.2703741718411436,0.8397370323227592,-0.23519135447694853,0.6597478087719997
Paracentral_Lobule_L,-0.02614311622052128,0.24914569799686542,-0.2358547349214689,1.0,0.06621930478614557,-0.3428106009963016,-0.2648774882509882,0.028316616967714727,0.751528196086449,-0.14282793712362638,0.35069893900226823,0.33951817872238704,-0.08397736480623759,-0.0282185460085701,0.6613854019945872,-0.48909427579723236,-0.03931398642150526,-0.32194833504804,-0.4805683662952713,0.07549999398336626,0.25358503124744053,-0.21233476580426455,0.021979982697847872,0.05791086745094912,0.22893480597248497,-0.12096345609044469,0.6612805272545182,-0.07080807835235493,-0.0620051256671129,-0.17067745486212182,0.9014529337763364,-0.13584939081967332,0.3231012185717352,-0.3798693940658462,-0.2045806681065114,-0.36951421834506026,-0.22254016959930348,0.1483447994476472,0.0060415901677808425,-0.034772221936274196
Cerebellum_7b_R,0.14820641630368536,0.2899227236003363,0.7006675951647152,0.06621930478614557,1.0,-0.050621680221618205,-0.3336075191436413,0.6807375071173095,0.19736546645878156,-0.39345425443442306,-0.20761747653093227,0.13490036557724486,-0.6542827963040667,0.040356198800341234,0.34994691808506373,-0.37606597516907697,-0.2248260085056739,0.5278477309613075,0.28804567909637707,-0.21494752136087272,-0.3146268438669218,-0.6670369753418629,0.5979825524294666,-0.15405635336827228,0.5677145319332022,0.5390114817632705,-0.02273943425444247,0.5683943867104608,-0.45696665508627826,-0.37431890452978356,0.08263442733397505,-0.013031179352448003,0.13024795218713534,-0.30870624437460525,-0.4121584092745867,-0.09121863327269121,-0.4744495737280902,0.7129812288404195,-0.2959930089798531,0.372359877607008
Cerebellum_4_5_R,0.27095030530321634,0.4027387652471543,0.3304787726113021,-0.3428106009963016,-0.050621680221618205,1.0,0.6064188071962638,0.2503333770173979,0.10250723625868695,0.5365013717056047,0.36882571405157855,-0.1923461000662622,0.027132101367453875,0.014440249641502378,-0.17879458855560149,0.3604995717520092,0.3983018281558956,0.22519898868248944,0.5673626968141688,0.28663847223368516,0.30716017642184823,0.38065328501336554,0.26645347337822795,0.20587409172653984,0.057682126625042844,0.14363243320546074,-0.2090638314604304,0.08165574800541263,0.29466741379466194,0.2294593211043487,-0.4229674752463766,0.07783394345789563,0.20162114647018137,0.3538504794850375,0.43429218064777914,0.6131696278372196,0.1549345575224345,0.20475506144973213,0.24118642848639632,0.35600485065078097
Putamen_R,0.045052126274633786,0.26910771736530703,-0.04845009745566376,-0.2648774882509882,-0.3336075191436413,0.6064188071962638,1.0,-0.14519684188463028,0.04755518726289219,0.6740723610306141,0.39578020166613415,-0.36405663748979944,0.5187273215351081,0.04955968140324899,-0.3272630166490324,0.4819173338596667,0.5510284934128938,-0.22198761618827695,0.19926725644236118,0.40853927548072166,0.3117469094867224,0.5887866805275759,-0.1938810516606658,0.08921575157066984,-0.38341088838698845,-0.2169882508268745,-0.30930573321064053,-0.24343299170239294,0.4356931266960893,0.5683293594990395,-0.3146806589532539,0.13142451362281782,-0.031840730845349136,0.7063305690194506,0.5732561533360788,0.6765655297863025,0.561397159259553,-0.16593969681029838,0.41580866018678847,0.32712462807691894
Cerebellum_6_L,0.1679453217638446,0.46882007103244316,0.865885399996636,0.028316616967714727,0.6807375071173095,0.2503333770173979,-0.14519684188463028,1.0,0.3008663709156454,-0.18039430878338164,-0.008009300139731942,0.16002234615655003,-0.7672085341184334,0.31178976261790864,0.5305650937260705,-0.34469031664537364,-0.19985735586290937,0.7966991222223365,0.40352687033667994,-0.18383515187151175,-0.19475343775711584,-0.6002748326282644,0.8933842784574043,-0.10862986646693386,0.8074456626527838,0.8445808329939156,0.18246605149115808,0.776858509433784,-0.4592745908254082,-0.45548886561126667,0.07369898991812936,0.057750172245886196,0.5120320814394355,-0.33257563472410834,-0.4134752223125137,-0.01216394996645182,-0.3463045075214289,0.9671230696035215,-0.11958111113044227,0.6089773823745306
Precentral_L,0.2819092889482774,0.5023379530381775,0.13167155807834682,0.751528196086449,0.19736546645878156,0.10250723625868695,0.04755518726289219,0.3008663709156454,1.0,0.11767125774093119,0.658923487626614,0.2675003615033452,-0.1985150721008098,0.001564704607468136,0.630212881267355,-0.20569509047779613,0.10402138820942645,-0.06826420913808846,-0.09649331909729648,0.30874727520716977,0.18406507459725363,-0.11963416489832793,0.2371231506681305,0.1592495600282958,0.3513316718295632,0.08174016830919234,0.4747450846520425,0.14299970509883145,-0.052418740033088405,-0.09626970729308049,0.6504842249617947,0.026016425415778786,0.3991409765639289,-0.20139988927806768,-0.07066528775210368,0.039413220063337084,-0.20637952700295764,0.37563540366123277,0.16666773449960065,0.2940431130044874
Caudate_L,0.06574128564292529,0.023710298757991886,-0.1998673156584198,-0.14282793712362638,-0.39345425443442306,0.5365013717056047,0.6740723610306141,-0.18039430878338164,0.11767125774093119,1.0,0.5650226982480367,-0.1817523236383999,0.48262954732683055,0.3500943557210317,-0.19209484406171443,0.37619902746562256,0.3780391562222186,-0.16372741034495167,0.14287850965877755,0.5831225966909234,0.312779669667809,0.5693011413651359,-0.1154852698808724,0.337036329139537,-0.21195174271756845,-0.12243162166710277,-0.09236323339808855,-0.1191967935146104,0.48370862360725025,0.19950996159453027,-0.1937570145420857,0.06652557122259994,0.22785722057957045,0.4750125202555309,0.4036784521248456,0.41348617349183403,0.379719097556908,-0.21594912373983965,0.49967776521934526,0.14554076078213546
