,ACC_sub_R,OFClat_L,Red_N_L,Thal_PuL_R,Supp_Motor_Area_R,Thal_PuA_L,ACC_sup_L,Vermis_4_5,Cerebellum_4_5_L,Lingual_R,Thal_PuM_L,Thal_VL_R,Vermis_7,Thal_LP_L,Paracentral_Lobule_R,Thal_Re_L,Cerebellum_6_R,Temporal_Pole_Sup_L,Temporal_Sup_R,Postcentral_R,ACC_pre_L,Paracentral_Lobule_L,Thal_MGN_R,Cerebellum_Crus2_L,OFCmed_R,Calcarine_R,Frontal_Inf_Orb_2_R,Cerebellum_6_L,Vermis_6,Frontal_Mid_2_L,Thal_IL_R,SN_pc_L,Vermis_1_2,Cingulate_Post_R,Frontal_Inf_Oper_R
Thal_PuM_L,-0.03308243409207146,-0.6929473891050194,-0.5542798552989685,-0.4802219299642657,0.1477739724107478,0.8809010085997234,-0.5784626772819894,-0.4239262567306501,-0.04908405968857357,0.7792346129289364,1.0,-0.6584235810223878,0.6317187983774472,-0.5405280343263423,-0.14655698907507073,0.1344677382768767,0.662143763913419,0.29693823374828393,0.31690887758222613,-0.05878267615855206,-0.43482688145463705,0.2712452022121152,0.7607698188737454,0.5163182942500585,-0.11986995075748251,0.8503690827292293,-0.5828033736406458,0.7912861830051072,0.6199807021951018,0.029374713114301666,0.06695111520153611,-0.5198929658648869,-0.18025569299903663,0.5817148997510194,-0.2405666167751441
Thal_VL_R,0.017085659739503576,0.7026838528590817,0.6733505362589391,0.613327240040913,0.3507327212987103,-0.4892399298244823,0.8322500608849871,0.7846504301932218,0.5548688291638966,-0.5773702252014268,-0.6584235810223878,1.0,-0.5287576401217368,0.7805281441891794,0.11473584393344102,-0.22836445950268694,-0.4486571344823301,-0.24196810624393034,0.10944371831087618,0.024783611014805453,0.6558543758662545,-0.22565652998535374,-0.4447475152053182,-0.40038209047270207,-0.036997538121192164,-0.6641611312231234,0.7386973767133737,-0.5595529120762505,-0.5726681019513675,0.27498338763555485,0.3965549240252234,0.7096597149554407,0.5864429954151176,-0.058943682885610964,0.6250844845730433
Vermis_7,-0.07624458726441832,-0.6579952758544195,-0.47955153457634003,-0.3192340062647799,-0.06854369960099434,0.6813545313645826,-0.45126715558869973,-0.4621699768352273,0.0009963900209642366,0.7271458661960847,0.6317187983774472,-0.5287576401217368,1.0,-0.4589264670355069,-0.5334151251190993,0.15892729793542582,0.7736734518758975,0.29134958653707044,0.28338904531931536,-0.37066394868759206,-0.4828413014633119,-0.2543009571628474,0.7341658103468754,0.8700915236097534,0.021190111982405523,0.5753317828735798,-0.5719535833881827,0.7925798381928311,0.8897438072830669,-0.0897569610450865,0.004570103448379789,-0.33871138859336597,-0.044802319236301624,0.28207041012474715,-0.08647605885942554
Thal_LP_L,0.054734234866537695,0.5877445846448677,0.5545585465263321,0.6490452105616045,0.26681986561326376,-0.4122297507155583,0.8074929465031842,0.731789081585282,0.5494283162276297,-0.44595488293282387,-0.5405280343263423,0.7805281441891794,-0.4589264670355069,1.0,0.06217236750218099,-0.1658758631670134,-0.356424861987875,-0.2167338934490098,0.09396732787106452,0.025936484966788072,0.5050403828246555,-0.2045806681065114,-0.4112766292947379,-0.290611392611904,0.08181880108738324,-0.5157631228391059,0.684984888948899,-0.4134752223125137,-0.42387997272071654,0.23158837928998868,0.2574362585620428,0.608740081267808,0.6113828957876577,0.062305063170824716,0.6032568618471497
Paracentral_Lobule_R,0.01848734827034515,0.28155660700059226,0.2413473594931524,-0.24804209612388595,0.3136105103917206,-0.2456372912948781,0.16320121702286064,0.17670114302211662,-0.2560835253202313,-0.20624824700225464,-0.14655698907507073,0.11473584393344102,-0.5334151251190993,0.06217236750218099,1.0,0.32288929774582315,-0.5794665206811088,-0.038354656162981574,-0.5427442448364623,0.8517227257696225,0.009436781400228354,0.8417276209004753,-0.35076249579368124,-0.5592249847229688,0.006823051882347282,0.05348264860464355,-0.08196805534718367,-0.3000250701138221,-0.36445413049580044,0.09255221991936421,-0.03247895743221749,-0.10617801075783144,-0.37209152878924134,0.019333934144538593,-0.2833687920334344
Thal_Re_L,-0.11732764541218674,-0.0784078340841568,0.1039016209482923,-0.1657907780928817,0.17586826441671077,0.183643904259591,-0.043045844206746696,-0.14299230573418964,-0.20634063108573822,0.14185455588182486,0.1344677382768767,-0.22836445950268694,0.15892729793542582,-0.1658758631670134,0.32288929774582315,1.0,-0.1256432779691797,0.2573016675956516,-0.45525946397674,0.47441312602192787,-0.12717283008606078,0.33951817872238704,0.10151483549291422,0.10227790395362786,0.35545973500683253,0.27169546441347703,-0.4445916742742128,0.16002234615655003,0.2546034389151643,0.12347010753813922,-0.2313661432666128,-0.2590134584749609,-0.28571866195727136,0.19725909239785605,-0.2469310771058549
Cerebellum_6_R,0.013603645917157042,-0.7788443824201311,-0.5549839627144827,-0.15132141161089524,-0.14552353572541527,0.5818476891012111,-0.3616811003265406,-0.40289521045683574,0.16044006988168125,0.8397370323227592,0.662143763913419,-0.4486571344823301,0.7736734518758975,-0.356424861987875,-0.5794665206811088,-0.1256432779691797,1.0,0.017427571980553638,0.5917100078772988,-0.6322005320717612,-0.42227501227087605,-0.2358547349214689,0.7859107129545219,0.7863436450538455,-0.14609186777484473,0.6500066483551721,-0.27389364203188676,0.865885399996636,0.6797884031323768,-0.26939374071241756,0.06357705056240154,-0.32355413481952483,0.12224933387706194,0.340127586125926,0.16727461616172998
Temporal_Pole_Sup_L,0.021093019250134123,0.11681341424630115,-0.1415663637296863,-0.18501465099781994,0.15336462084449837,0.43834490562947215,-0.1773363530046361,-0.1766929467521313,-0.03632463676654813,0.23404227893079957,0.29693823374828393,-0.24196810624393034,0.29134958653707044,-0.2167338934490098,-0.038354656162981574,0.2573016675956516,0.017427571980553638,1.0,-0.13909792134105625,0.15765470497642828,0.07428749075665432,-0.0282185460085701,0.2018228460529149,0.34622639091123936,0.11844438683279267,0.2573291233668559,-0.25210307140335686,0.31178976261790864,0.33019212474525256,0.38484049884153376,0.05850963170674986,-0.048351046467360125,-0.1309764269788733,0.17420623342500496,-0.2078679895969713
Temporal_Sup_R,0.036512580466407665,-0.17864772698867276,-0.23322677358061902,0.3107698488090888,0.14246873962496961,0.26991509017992965,-0.0278972934747241,0.17119802443101229,0.5596657742285628,0.3330375414535854,0.31690887758222613,0.10944371831087618,0.28338904531931536,0.09396732787106452,-0.5427442448364623,-0.45525946397674,0.5917100078772988,-0.13909792134105625,1.0,-0.5813898601829868,0.06773995230935324,-0.3516292526182704,0.4313839077239957,0.2851051432006712,-0.20817066030939774,0.20595803917828784,0.3219945894963583,0.3490249227545346,0.23936013851518628,0.1655767356511441,0.28061297564691207,0.27482346691136844,0.5084831721031745,0.422196012770461,0.6202471170882357
Postcentral_R,-0.08624293596107536,0.3109950154611774,0.25656631470790264,-0.274477010597895,0.36163441337739666,-0.08783893392596658,0.06393498785385386,0.17883454152924202,-0.24486667799260736,-0.22788475150697113,-0.05878267615855206,0.024783611014805453,-0.37066394868759206,0.025936484966788072,0.8517227257696225,0.47441312602192787,-0.6322005320717612,0.15765470497642828,-0.5813898601829868,1.0,-0.01694701249762118,0.729741766098026,-0.32628092077027454,-0.44617068463271214,0.1734005045172746,0.06593822985941838,-0.22536462901598184,-0.266701831613806,-0.19393140602326864,0.2582152333040012,-0.09263718260136464,-0.11376461041808086,-0.38088593504956014,0.13923925270130097,-0.33327429722173635
