,Parietal_Sup_L,Temporal_Inf_R,Lingual_R,Temporal_Pole_Sup_L,Angular_R,Cerebellum_3_R,Caudate_R,Frontal_Inf_Tri_L,Cerebellum_4_5_R,Thal_VA_L,Cerebellum_3_L,Lingual_L,Cerebellum_10_R,N_Acc_L,Thal_VPL_R,Vermis_8,Thal_VL_R,Thal_PuI_R,Thal_PuM_L,Occipital_Inf_L,Thal_MDl_R,SN_pc_R,SN_pr_L,ParaHippocampal_L,Heschl_L
Parietal_Sup_L,1.0,-0.03561541448556883,-0.45623552886757796,-0.04735460637156308,0.44778983691466634,-0.3251671844241152,0.27686609272596896,0.38978279946731553,-0.40642020091464826,0.4272154977333294,-0.162435153979501,-0.38807675026291527,0.22343504143369386,0.23217891168052962,0.42036536994528595,0.3127757539432669,0.11083381418552886,0.3631877979602045,0.20524945909376277,-0.04825551434304064,0.2730366090840851,-0.06522257065273687,0.15566087220332692,0.3284435500277841,0.3543143258014106
Temporal_Inf_R,-0.03561541448556883,1.0,0.41178178047368746,0.24531580006295942,0.4674776324873188,0.2822293800058964,-0.03186743443336252,0.01988696391503633,0.40629875969466084,-0.11847347407914843,0.6974762679223522,0.4890305470346782,0.08518743891253878,-0.2246648653108605,0.20135831694993353,-0.4671472341028799,0.3813972190534021,0.34883065873156616,-0.0029833079274784852,0.16422986921979715,0.00877843060560584,0.6142246137065857,-0.04107409541332834,-0.313577283255743,-0.03641006010228545
Lingual_R,-0.45623552886757796,0.41178178047368746,1.0,0.39756614157633596,0.23451991507066763,0.8100286956274413,-0.17318627426585664,-0.13327694292877024,0.9502989225827069,-0.13632026966801764,0.8021658658664271,0.9444233414277596,-0.324908485511935,-0.3368602810089652,0.059111392543797776,-0.5639169401225347,0.4434709809478387,0.10092224348082098,0.047338116611429504,-0.017466063473110444,-0.07850435299729022,0.61240047612253,0.3292127062509402,-0.26759666746806926,-0.3104206316650775
Temporal_Pole_Sup_L,-0.04735460637156308,0.24531580006295942,0.39756614157633596,1.0,0.5543671408531107,0.3133753704252687,-0.5959501717296449,-0.1586503908062745,0.5007183370336927,-0.3008660399269987,0.41989132407160035,0.27658975068008873,-0.12666704117399,-0.7207762698097339,-0.255845585972059,-0.5341222778014315,0.24062803800375104,0.18289950022692913,-0.4119101646711846,0.19769219193120446,-0.20782493925252965,0.584799129867332,0.24743500064100377,-0.6892595208063336,-0.43207876780493376
Angular_R,0.44778983691466634,0.4674776324873188,0.23451991507066763,0.5543671408531107,1.0,0.11529785260334184,-0.4038619353222396,-0.11654957665151003,0.3721308014612022,-0.18615575803516154,0.47504584132506045,0.24970622566257272,-0.0628715236465272,-0.5356414851195713,-0.01262777405285035,-0.4199200197649235,0.23363574619791372,0.29244984473004865,-0.37440750568325054,0.11891382334586419,-0.18523284523169256,0.6116279134781584,0.14621694380604333,-0.46857345995099237,-0.2686031649700358
Cerebellum_3_R,-0.3251671844241152,0.2822293800058964,0.8100286956274413,0.3133753704252687,0.11529785260334184,1.0,0.1151011420780268,0.17633473200720717,0.7904351858450198,0.12092828466476024,0.6632317460459835,0.7656630704799101,-0.27600145731743325,-0.12833961369588628,0.2374475878746702,-0.37817421702694826,0.5284763077365252,0.3789984496428182,0.22708401991149266,-0.035285558890913414,0.24224029730606794,0.5194910389438973,0.47679264884863587,-0.054978224385362165,-0.002762772532001301
Caudate_R,0.27686609272596896,-0.03186743443336252,-0.17318627426585664,-0.5959501717296449,-0.4038619353222396,0.1151011420780268,1.0,0.6939707699303059,-0.29372045872136965,0.7061701289053628,-0.09604854464742343,-0.07658544982786096,0.19191836630783665,0.836499740138114,0.6827699780670256,0.4323807036140079,0.31912810989048856,0.3681601430871127,0.8146886775347598,-0.11536360891105095,0.6407584084273904,-0.3202536123214197,0.19584044811820675,0.834615883809264,0.7595069411538747
Frontal_Inf_Tri_L,0.38978279946731553,0.01988696391503633,-0.13327694292877024,-0.1586503908062745,-0.11654957665151003,0.17633473200720717,0.6939707699303059,1.0,-0.229318292187357,0.6729586483693696,-0.013829235893199735,-0.09266743013147614,0.33684236250804,0.5891711931871931,0.6509071238827825,0.12086073591870122,0.5326690438997508,0.5858338766044232,0.7201056929437439,0.05436376710871647,0.7226059260760991,-0.059685435639033675,0.3319924717017021,0.587861990944975,0.7351250898344981
Cerebellum_4_5_R,-0.40642020091464826,0.40629875969466084,0.9502989225827069,0.5007183370336927,0.3721308014612022,0.7904351858450198,-0.29372045872136965,-0.229318292187357,1.0,-0.2411807951951229,0.8001754352728312,0.8822355689693833,-0.3947095387474821,-0.48967339462248244,-0.085530508061018,-0.6170951441530993,0.4224153758817923,0.0647200093234756,-0.11457930371160831,-0.023630240636134225,-0.17847181672500123,0.7066459358099999,0.34742605993838005,-0.40324032210665345,-0.4309546027152056
Thal_VA_L,0.4272154977333294,-0.11847347407914843,-0.13632026966801764,-0.3008660399269987,-0.18615575803516154,0.12092828466476024,0.7061701289053628,0.6729586483693696,-0.2411807951951229,1.0,-0.0914143935260779,-0.07743209732774044,0.18529486268293086,0.674364161919873,0.6096183181873239,0.4008910042839565,0.32940027222778784,0.41158333721457496,0.6571099774354134,-0.2270333715036407,0.5969741513012882,-0.2008676843464499,0.36428216475996783,0.7467296698306596,0.6500069757118648
