,Cerebellum_7b_L,Red_N_L,Precentral_L,Cerebellum_7b_R,Occipital_Mid_L,Thal_VA_L,Temporal_Pole_Sup_R,Thal_VL_L,Vermis_7,Temporal_Pole_Sup_L,Lingual_L,Cerebellum_9_L,Fusiform_R,Caudate_L,Vermis_4_5,Frontal_Inf_Tri_L,Paracentral_Lobule_R,Angular_R,Thal_VA_R,Vermis_9,Thal_LP_L,Frontal_Med_Orb_R,Vermis_3,Frontal_Med_Orb_L,ACC_sup_R,SN_pr_R,Thal_PuI_L,Pallidum_R,Vermis_1_2,Vermis_10,Cerebellum_6_R,Thal_MDl_L,Cingulate_Mid_R,Occipital_Inf_R,Olfactory_R,Temporal_Inf_R,Cerebellum_Crus2_R,Thal_MGN_L,Frontal_Mid_2_L,OFClat_L,Precuneus_L,Temporal_Pole_Mid_L,Pallidum_L,Rectus_R,Frontal_Inf_Oper_L,OFCmed_R,Temporal_Pole_Mid_R,Cerebellum_8_R,OFCpost_R,ACC_pre_L
Cerebellum_7b_L,1.0,-0.43182226612626695,-0.03575317506408159,0.7536799698945111,0.07803947193166376,-0.4761156487018608,-0.4507651134955059,-0.3935861647395613,-0.6072242362029175,0.6959786174951311,0.42310504864865833,0.051974063835859466,0.4236631730016932,-0.6650825660114804,0.30120107221939735,-0.2084165606905802,-0.37485079858483844,0.5968012417515409,-0.2943206068001071,0.5989110927844525,0.2657807549275125,-0.3291907883905549,0.7347056429986334,-0.1712676210137792,-0.7657541573263543,-0.09587814769124166,-0.5365148254155806,-0.40987448479013633,-0.09506465655122869,-0.3165871632591087,0.7242270964686699,0.35681702067221643,-0.4328892878037577,-0.19883188974045174,-0.7246564613362622,0.5055950044668881,0.7501159071100667,-0.17784106448956005,-0.6067661263912312,-0.39273237263027444,-0.24302250429200367,-0.19743454715515532,-0.04971020980908324,-0.7249593045957897,-0.3422515782208964,-0.289244414087942,0.398054247768501,-0.053863513724553384,0.610222693068805,-0.7197561696595892
Red_N_L,-0.43182226612626695,1.0,0.393401811607267,-0.2845133319658075,0.13886780613119223,0.6726321225727866,0.4676925696742809,0.6640428111877924,0.17321288164994694,-0.30901036889449934,0.23120446346807186,-0.23329743338072675,0.16517536686945677,0.675562005700207,0.3380852311830933,0.5195358783112617,0.516066016185868,-0.18677774116952833,0.5025055393672483,-0.13253976838444276,0.09497274346705263,0.09994615700703852,-0.09041608737770929,-0.009073269814285353,0.581848952147979,0.47540634549451327,0.5349983453669486,0.5625361083805801,0.24611820048554484,0.1576454423909821,-0.14098488919790977,0.07782417517631374,0.7338896599612689,0.05977522815315139,0.44857798658957204,-0.12722921344108187,-0.2917304623224234,0.2993762153750324,0.6134271175890155,0.20170487108081486,0.4565581496231246,0.21297305093185392,0.5236773691879244,0.4712158688870354,0.6286448864432291,-0.042201085971249275,-0.20495986753152062,0.39876824948257356,-0.3868083744096975,0.3428289655785484
Precentral_L,-0.03575317506408159,0.393401811607267,1.0,-0.051506811528067936,-0.3422666540863674,0.5253323849413986,0.34329928854441744,0.6340544533738047,0.27205301656400727,-0.009642369261514941,0.09054146958166996,0.35545508125950087,0.004042362736410452,0.5476071697495073,0.10037996633598972,0.7509703086055951,0.6986204369637227,-0.052594118300605404,0.5201544229055421,-0.008427497121842868,0.034269600980733915,0.2969146272760463,0.11044453595141117,0.36590292248105627,0.4054973347181533,0.2499808186860966,0.5843336736517073,0.5575114707997403,0.506103500690676,0.21142470549913042,-0.046505927603329715,0.34357449547596675,0.7109590882153889,0.08063679587943161,0.30657623992904287,0.24691241427013447,0.0340200402656769,0.6506462393221728,0.6105243774201013,0.12203550282731701,0.6037148348665422,0.18827502584462655,0.44713777486046247,0.3635019019688549,0.7393927767962645,-0.04405748127291417,-0.10491874253472605,0.34336687788663706,-0.16495852924850055,0.3957549233445008
Cerebellum_7b_R,0.7536799698945111,-0.2845133319658075,-0.051506811528067936,1.0,0.02746504944264548,-0.44378945705471734,-0.4105421648651329,-0.31226226538031554,-0.7847824759393839,0.5753250687690752,0.6884995762508672,-0.2096609919155248,0.7570239141049123,-0.5942260423606515,0.58707000771486,-0.2748922928752444,-0.4529316020420536,0.5701450686606121,-0.22670754704371934,0.8618178559116373,0.3085690837830593,-0.4571080926386369,0.9018201907232454,-0.13245032106477936,-0.63462463320499,-0.029455530123730454,-0.4819802323765651,-0.32047862344265254,-0.022445698774781035,-0.6008265264151341,0.8972308982427829,0.4359781976480383,-0.324930325692361,-0.23905713498682382,-0.663354854726509,0.6145676715331841,0.9162563009243562,-0.2503297192519692,-0.5970934889159566,-0.49701364486933947,-0.25486354952045304,-0.26210327740547756,0.06295326596499647,-0.7153562475487317,-0.38230975254677807,-0.28462822747308153,0.3216700184184392,-0.06976035349805734,0.6692059864311901,-0.7139256314321072
Occipital_Mid_L,0.07803947193166376,0.13886780613119223,-0.3422666540863674,0.02746504944264548,1.0,-0.00292407117931086,-0.09974161370077983,-0.018172416576719884,-0.16308241748176883,-0.025212870031976673,0.14719822098854468,-0.37875608519536835,0.12933943714980545,-0.07964957905565691,0.13496943642655485,-0.2219916975632615,-0.09333268533752954,0.17132004625349673,-0.05604421961846599,0.017182361276855542,0.17638015061507675,-0.1372054977915562,0.06198354292964529,-0.1941205874267672,-0.08064679708471757,0.09038382485568051,-0.1343234812163341,-0.06493668769837416,-0.12730997448458645,-0.09447585866416036,0.081518839987105,0.023132686962975768,-0.07690747170236382,-0.35842314895071,-0.12736532009376,-0.08403474197118861,-0.08366005203513775,-0.11654782438054781,-0.1537652279910732,-0.11379267536788326,-0.02708186080127077,0.06314801257687058,0.056749599341005146,-0.14248326679425657,-0.14869771336036516,-0.028518166241517453,0.04323447784946995,0.20449373755677716,0.08281079749907244,-0.23357850971857855
Thal_VA_L,-0.4761156487018608,0.6726321225727866,0.5253323849413986,-0.44378945705471734,-0.00292407117931086,1.0,0.5341771306462861,0.733054046931652,0.421804198060265,-0.3008660399269987,-0.07743209732774044,0.021134667309270792,-0.11398471190655153,0.7607418633451504,0.022196136104523333,0.6729586483693696,0.672528305009509,-0.18615575803516154,0.8168412673346875,-0.24747174533362037,0.04199950266452339,0.33264837674929487,-0.28453687693167784,0.04966349575027051,0.687000879271002,0.38175403456882245,0.6351395788704693,0.7261318101290223,0.3284094007552269,0.3393016351975283,-0.32135385131509286,-0.011982673797563194,0.7493853563153722,0.1751656728166371,0.45814571314665253,-0.11847347407914843,-0.42683846661144925,0.5435997394270765,0.7757241293621739,0.3924495685745837,0.612416592297672,0.367272996891466,0.5911828233231374,0.5346297331180259,0.7570562982985992,0.0683294685477037,-0.10066094397228892,0.47606936693675256,-0.4639958009108182,0.4864310115232606
Temporal_Pole_Sup_R,-0.4507651134955059,0.4676925696742809,0.34329928854441744,-0.4105421648651329,-0.09974161370077983,0.5341771306462861,1.0,0.6004862171523383,0.3128435312119027,-0.4047563685385947,0.04430546577131567,-0.009998892525542688,-0.07784083748016248,0.6650749742505426,0.10462500328372056,0.4920124461267536,0.5389081146032652,-0.26438713136718445,0.3762138086942366,-0.28883904155617834,0.06248252446320354,0.26500181867841865,-0.26934502791445575,0.22825164652575358,0.5794863639330814,0.3781967509294842,0.5561684247019322,0.6099024391708863,0.28718261819614865,0.3142900574515891,-0.3246897076846882,0.1031632442418741,0.5743909538257491,0.15228807226118676,0.4838629485739802,0.0006078366576905362,-0.3390095524787971,0.2629588554316518,0.5980410788801601,0.30723518598484384,0.39511259470484567,0.39924351251534634,0.39480279637328786,0.5843180780570408,0.5680010180516689,0.18250463631451225,-0.16115597233239273,0.1527997279617452,-0.22000690542043005,0.4874189669400832
Thal_VL_L,-0.3935861647395613,0.6640428111877924,0.6340544533738047,-0.31226226538031554,-0.018172416576719884,0.733054046931652,0.6004862171523383,1.0,0.22176222852859087,-0.29321782992730966,0.1439174107425777,-0.12231844921221113,0.0533472873684622,0.7809509624262126,0.26571659028803296,0.7075992719973373,0.6841341778677611,-0.2751515045193058,0.48199513645338704,-0.12746535183866758,0.18783416868788577,0.4308284947218855,-0.08667034841179533,0.33083984819867274,0.6562412152036364,0.3691647072388474,0.8248400847866879,0.7127808245810203,0.33599013805439715,0.18644605760416516,-0.2013971259260873,0.24736056618976032,0.7714513767025173,-0.029065412657952563,0.4932155821234157,-0.051891178272052904,-0.24038050678563527,0.46233411678737457,0.6812502826959573,0.2238208938987457,0.5234904264734337,0.2872916288079342,0.4608725192116863,0.6079241820495002,0.7737660183899725,-0.16460809782814315,-0.12434578314474215,0.38484685554542086,-0.3190637608046667,0.42092712289094825
Vermis_7,-0.6072242362029175,0.17321288164994694,0.27205301656400727,-0.7847824759393839,-0.16308241748176883,0.421804198060265,0.3128435312119027,0.22176222852859087,1.0,-0.4700093118083433,-0.7117369125722864,0.5026235686955753,-0.7823290080621607,0.5067588797070547,-0.7112686183829472,0.38891213032239236,0.5505810156584017,-0.2984827725179063,0.3709054181206692,-0.7697812547190869,-0.40872967019626955,0.42547566182292157,-0.7540800999748297,0.2706235686316548,0.5899138033061863,0.02074446623511447,0.3952202711848327,0.3356971609511342,0.24417517898298047,0.6203840984811574,-0.7885540357354984,-0.3485882896903451,0.3816111294921297,0.34816364066934874,0.5652522956876372,-0.3301248937758284,-0.6931911761632162,0.4878014441285714,0.6677105176033696,0.4995342229645595,0.49192155297892504,0.2929722218617894,0.052440682255153845,0.5741071285238522,0.4165408075938514,0.43657491946403,-0.2444889855073007,0.19700845455138405,-0.5643896030348422,0.7445886901599451
Temporal_Pole_Sup_L,0.6959786174951311,-0.30901036889449934,-0.009642369261514941,0.5753250687690752,-0.025212870031976673,-0.3008660399269987,-0.4047563685385947,-0.29321782992730966,-0.4700093118083433,1.0,0.27658975068008873,0.1289567815354169,0.36586084950520525,-0.6213000726268616,0.19345000470465787,-0.1586503908062745,-0.32126684955508417,0.5543671408531107,-0.1914970268329345,0.584577767350238,0.05395217574511259,-0.33815527567581716,0.6376494884483609,-0.20141531604786206,-0.725745066385304,-0.19185594327202984,-0.45527022792717686,-0.39000938082940984,-0.10150184769963745,-0.40653646109675873,0.6375836079135965,0.15330801641964328,-0.43372554386480056,-0.009756532411895872,-0.7225680577847815,0.24531580006295942,0.6501693181779117,-0.10697962469210952,-0.5418551486966093,-0.25949132081200876,-0.14346570505545417,-0.1972145338305752,-0.03205748150800757,-0.6544994686603541,-0.28496258025287013,-0.43182393345165565,0.4175407635775325,0.05466937716493151,0.35556295575022706,-0.6787945967042063
