,Putamen_R,Frontal_Med_Orb_L,Temporal_Sup_R,Insula_R,Temporal_Pole_Mid_R,Precuneus_L,Vermis_1_2,Supp_Motor_Area_L,Cerebellum_3_L,Occipital_Mid_L
Putamen_R,1.0,0.2771505195664138,0.1851422661139808,0.8866644150934533,-0.19672017751291107,0.590521982432108,0.4281265079949227,0.8483092674597162,-0.17455748508254998,-0.1857372887706044
Frontal_Med_Orb_L,0.2771505195664138,1.0,0.0912736472315422,0.29023033167796264,0.03946697508094049,0.2931007391000352,0.19684614299163614,0.26775086724143543,-0.12313129920624136,-0.1941205874267672
Temporal_Sup_R,0.1851422661139808,0.0912736472315422,1.0,0.26405520964901014,0.12831971928008892,0.1730762469833108,0.4347779924380682,0.41444546926420534,0.7989080914382392,0.03619481395224338
Insula_R,0.8866644150934533,0.29023033167796264,0.26405520964901014,1.0,-0.24204766812974085,0.5818966205028901,0.5415509781150081,0.772691650155277,-0.13545255293012767,-0.19198120473065697
Temporal_Pole_Mid_R,-0.19672017751291107,0.03946697508094049,0.12831971928008892,-0.24204766812974085,1.0,-0.05876860387564333,-0.011759896515592628,-0.18679962458556099,0.26520074979739783,0.04323447784946995
Precuneus_L,0.590521982432108,0.2931007391000352,0.1730762469833108,0.5818966205028901,-0.05876860387564333,1.0,0.46172540869880135,0.7168240399380389,-0.044870552828324126,-0.02708186080127077
Vermis_1_2,0.4281265079949227,0.19684614299163614,0.4347779924380682,0.5415509781150081,-0.011759896515592628,0.46172540869880135,1.0,0.4405521603397336,0.2926074224108468,-0.12730997448458645
Supp_Motor_Area_L,0.8483092674597162,0.26775086724143543,0.41444546926420534,0.772691650155277,-0.18679962458556099,0.7168240399380389,0.4405521603397336,1.0,0.07965387216791799,-0.08836156531236372
Cerebellum_3_L,-0.17455748508254998,-0.12313129920624136,0.7989080914382392,-0.13545255293012767,0.26520074979739783,-0.044870552828324126,0.2926074224108468,0.07965387216791799,1.0,0.14104081921698602
Occipital_Mid_L,-0.1857372887706044,-0.1941205874267672,0.03619481395224338,-0.19198120473065697,0.04323447784946995,-0.02708186080127077,-0.12730997448458645,-0.08836156531236372,0.14104081921698602,1.0
