,Fusiform_R,Calcarine_L,SupraMarginal_L,Parietal_Sup_R,Paracentral_Lobule_R,Vermis_8,SN_pr_L,Cerebellum_Crus1_L,Cerebellum_9_R,LC_R,ParaHippocampal_L,Temporal_Sup_R,Cingulate_Mid_R,OFClat_R,Angular_R,Cuneus_L,Vermis_7,Occipital_Sup_L,ACC_sub_R,Heschl_R,Frontal_Sup_2_L,Supp_Motor_Area_R,SupraMarginal_R,Precentral_L,Thal_PuI_R,Supp_Motor_Area_L,Rolandic_Oper_L,SN_pc_L,Thal_LP_L,Temporal_Mid_L,Cuneus_R,Thal_VPL_R,Raphe_D,Thal_VA_R,Thal_IL_L,Olfactory_R,Temporal_Mid_R,Temporal_Pole_Sup_R,Frontal_Inf_Orb_2_R,Red_N_R,Thal_PuI_L,Precuneus_L,Parietal_Sup_L,Precuneus_R,Pallidum_R,ACC_sup_R,Thal_LP_R,Hippocampus_R,Occipital_Sup_R,Thal_MDl_L,Putamen_R,ACC_pre_L,Cingulate_Post_L,Cerebellum_3_R,LC_L,Cingulate_Post_R,Cerebellum_8_L,Paracentral_Lobule_L,Putamen_L,Amygdala_R,Insula_L,Thal_MGN_R,Thal_PuA_L,OFCpost_L,Cerebellum_10_L
Fusiform_R,1.0,0.7305518183432902,-0.010866986953702093,-0.4839168780964816,-0.3305992626198227,-0.5499735218784308,0.2746713345555588,0.47755741470126056,0.5573954357745807,0.7734755388026765,-0.253419725917591,0.777953308840837,-0.005649414352382756,0.42382466038246086,0.31903763252929596,0.8352610268774303,-0.7823290080621607,0.24476013899890578,-0.5049426853549882,-0.3007204495389026,-0.36179936240122423,-0.11081690607120709,0.16503013605338068,0.004042362736410452,0.1271845659300723,-0.02402059452553649,-0.21114520687127378,-0.16078280801479586,0.4202348413450314,0.7646917176239499,0.5907158752488308,0.05496945405302243,0.04484115606842779,-0.04254742626296757,0.19235371914842533,-0.4502209821191456,0.8508389356729643,-0.07784083748016248,0.45297036198946744,0.20816243522524902,-0.2190779194706386,-0.22596633463997787,-0.35260173083034274,0.15793376118342226,0.0054567376038300594,-0.3102747792192728,-0.21141209560995478,-0.3443178976544874,0.7121551697903263,0.47600416035345156,-0.29166193617935793,-0.5898972698896118,0.13771100096722033,0.7946431551337186,0.20431915938724138,-0.14120187524151684,-0.19766394180079153,-0.19854365649852565,-0.46436185507334427,-0.15631781760079755,-0.293315151288461,0.039662515177054,-0.18830940481715308,-0.4375715785224939,-0.5584695883714328
Calcarine_L,0.7305518183432902,1.0,0.3917103109251947,-0.3719120084133089,-0.365607545138502,-0.7090628232650826,0.25769656859838336,0.5815577724293898,0.7222941445159715,0.8975367603147958,-0.6778860209381457,0.49365965912065773,-0.33140394529650485,0.5480000055655065,0.6706099879436983,0.9377591966302219,-0.7367795875313006,0.6853090373987588,-0.6502683979105074,-0.3864441118461207,-0.5543780470379818,-0.36052683173862665,0.2702531358434807,0.00368870739224739,0.18922922856161728,-0.29200929292554056,-0.5019773949916938,-0.23165727281311374,0.27449602210993673,0.6793089062683526,0.9141295809740548,-0.13543852399796422,-0.40308151196662284,-0.22274886359976745,0.0880991552500233,-0.7255079470038239,0.8605411361154544,-0.3513670332582305,0.6392274126283506,-0.07544045471713384,-0.47896266912098273,-0.16276508485212382,-0.19250831273999855,0.030128305449454048,-0.3237518121264742,-0.701210107025107,-0.08672673216189986,-0.6425695416640598,0.9256878708575986,0.4429492235976803,-0.560087543336723,-0.766263028466834,-0.1811451089992012,0.5751974140430199,-0.3363509778561918,-0.4766830702334492,-0.16393996813314773,-0.26574240566899926,-0.7354226253875493,-0.5979525379250263,-0.4805317079095614,-0.35101308344757387,-0.5719697797120533,-0.6145773787808096,-0.4162422350839176
SupraMarginal_L,-0.010866986953702093,0.3917103109251947,1.0,0.46969220796967304,0.38457416837022024,-0.11138542606978438,0.3793985047463413,0.1349365152989776,0.3517480598057035,0.17288825926171822,-0.2046513939979835,-0.00537242350069608,0.1056502023726806,0.13016805338883194,0.6628382277295453,0.27508422417371337,0.06746257333220831,0.7913506862746924,-0.12636179438120812,0.1627129541046473,0.025229119826081576,0.06487385240597605,0.5934391042076985,0.401001019476285,0.4955399277429712,0.14290694513940233,-0.039580678870862994,0.27711253332495794,0.03493319802295828,0.11367116647157587,0.6285667519222352,0.2540695693800979,-0.30265609176732433,0.22215282006907527,0.20627268639240734,-0.264602098136031,0.092724203010675,-0.1111983128709481,0.33066286624894514,0.11181935670532273,-0.12004799262717479,0.5558368431759653,0.6567965525996622,0.4245748227904873,0.051640200864062846,-0.2337294003622122,0.4403256571431277,-0.022108818261683757,0.47504430452010604,0.28569158042354714,-0.030486967481582517,-0.18112602638019634,0.011952725104966892,0.10736662839874378,-0.542345647317557,-0.0949996117179157,0.20550937775801337,0.3898281352364862,-0.08827711327404372,-0.2265675315045005,0.07446684892923255,-0.2094198132885361,-0.1463746960535374,-0.1684129660568107,0.23013755515895573
Parietal_Sup_R,-0.4839168780964816,-0.3719120084133089,0.46969220796967304,1.0,0.6875383608946521,0.3804395502636952,0.12486458349899106,-0.21117949414530857,-0.1975009190716938,-0.5256390697502741,0.46373968815807154,-0.23496109163782083,0.40341955570826493,-0.23079302630009302,0.3354342644366262,-0.4227192680733119,0.6048989223001141,0.26511311140893423,0.529499231653629,0.40533873751718696,0.44563933696803953,0.37620034050296874,0.6415897537736466,0.1843206050287502,0.2844921894244061,0.4384703392134573,0.30047237355363593,0.4294739494340551,-0.18442620521326003,-0.3868459355373988,-0.025169958884495573,0.3914046936565173,-0.03369428683888037,0.4305167009383005,0.03220604103084965,0.33479932959190034,-0.5378544804729364,0.2778514212724949,-0.13716494970562546,0.3155395680865838,0.16823485829367033,0.8311832346478724,0.9107673531101883,0.5383917628664848,0.2908122742472938,0.39560463684758695,0.6172666172931672,0.5298137329286073,-0.1502266929799132,-0.15155352576708137,0.41250260981911113,0.43561903065110413,0.1443854336898563,-0.3921638340218759,-0.21383887423682066,0.30012694682574165,0.2799660345180381,0.676016925390086,0.4807629957185686,0.4119921376108655,0.5118845552767279,0.06100174370074851,0.35062450651116417,0.46833627150872964,0.47108950366839936
Paracentral_Lobule_R,-0.3305992626198227,-0.365607545138502,0.38457416837022024,0.6875383608946521,1.0,0.2879085106082625,0.17068694545536034,-0.296330884096788,-0.08141734426371956,-0.55043222882657,0.6563576493107612,0.13659552833783303,0.7512799312491049,-0.48487441305911483,-0.005247483205339421,-0.3043596709911618,0.5505810156584017,0.02670540942087471,0.4275569543441863,0.655108877204214,0.7460046802717478,0.7467766433979207,0.5201071269805547,0.6986204369637227,0.4397763244820582,0.7568590570053667,0.6854386992042343,0.4373718263806607,-0.043225091866714166,-0.21201378126114956,-0.12471412460170136,0.7352428629699681,0.2946523110422835,0.537188380954816,0.42716233136796006,0.512988987821765,-0.385913382798924,0.5389081146032652,-0.29786409137508324,0.5870316595448355,0.6389090551274831,0.8711468746996194,0.6974744984064387,0.8063068261550078,0.6111538483497505,0.6175211276578059,0.51588528173873,0.7586334312519489,-0.275411765059162,0.05047650741968961,0.7268695906746558,0.5932090401532287,0.6336570987028917,-0.15047925991146957,0.07673895248017738,0.6601501907525812,0.19569381321225043,0.8854219619172242,0.7200291816500644,0.6108483940587143,0.6598275242324343,0.4069663276579363,0.6499209981834299,0.5457542539730231,0.18494727257183033
Vermis_8,-0.5499735218784308,-0.7090628232650826,-0.11138542606978438,0.3804395502636952,0.2879085106082625,1.0,-0.020763252294089603,-0.478495521591461,-0.7186060225354793,-0.688690999340901,0.5590050401119466,-0.4075849670215821,0.296135690937496,-0.37607873586698753,-0.4199200197649235,-0.6734097272896993,0.6626507586292574,-0.340140659172058,0.4596107406078023,0.32353117902983913,0.3478769275998469,0.2557182308949417,-0.14330227929680964,-0.044426426265610316,-0.08143824834209895,0.21290420156296017,0.25834135245732015,0.35236224528057963,-0.22696281464199466,-0.4389821891686593,-0.6063580860989414,0.24251226321128797,0.3159635565939712,0.24872633807160618,-0.08327180846136857,0.49637386076692025,-0.7144532693649344,0.24005916955654394,-0.44601050794726865,0.14523520214881255,0.31840992873897783,0.20505383703672797,0.3127757539432669,0.02632778559327335,0.25890002651057636,0.5244047749299222,0.24193037714628254,0.5719213563526688,-0.663574549935265,-0.25623972883872803,0.396872513066473,0.5344025220535902,0.08911907554633106,-0.37817421702694826,0.21661912771018638,0.31366696911890496,0.43732827405800095,0.2491295954942402,0.5481320429784693,0.4255625036601132,0.4081297780563534,0.3075048983258791,0.4772649639592142,0.4116770111900392,0.5496400905448793
SN_pr_L,0.2746713345555588,0.25769656859838336,0.3793985047463413,0.12486458349899106,0.17068694545536034,-0.020763252294089603,1.0,0.37620316677586724,0.2323890302041092,0.16488677847985134,0.16914685192513274,0.18112126414307056,0.27607211804441717,0.15612864885915106,0.14621694380604333,0.3231414452567696,-0.14046815763004192,0.27733676255224665,-0.12801900405339942,0.045796836174279126,0.05973030206929539,0.24322268518869217,0.275337165522633,0.26102940248373946,0.308627319550879,0.33336741935168956,0.18833837823255153,0.5672298635642776,0.22013024494061412,0.4696734120643293,0.3366143315254944,0.2629236649935079,0.2316851520759693,0.27790688776088596,0.4560940659823342,-0.13563220589367042,0.04384267737674604,0.06600190146046793,0.04721494817136755,0.28113066440849616,0.25607967013793465,0.2397614609798641,0.15566087220332692,0.4035833537913757,0.3086468034415239,0.04011466350526482,0.17925274522690102,0.11594834608999074,0.23712161502623838,0.40448921844661995,0.0657179007731362,-0.1900127453605859,0.31216147725749893,0.47679264884863587,0.21492580702739308,0.1631115267951567,0.32652954716778115,0.2793945753544929,0.1023986915815127,0.10144944255018505,0.24896015525998264,0.14082874709759888,0.16871658135543302,0.0741591064206772,-0.16650609997786203
Cerebellum_Crus1_L,0.47755741470126056,0.5815577724293898,0.1349365152989776,-0.21117949414530857,-0.296330884096788,-0.478495521591461,0.37620316677586724,1.0,0.473548461378827,0.5560547913063597,-0.29731141313596227,0.347682860845998,-0.12198366705828324,0.31087000774103285,0.3371843174383786,0.5979242474584007,-0.4935132985852524,0.3324843175317727,-0.32986586201261625,-0.15233190568654123,-0.2716654807519072,-0.10354154215088106,0.18056270741411662,-0.050902502929743604,0.13679197691372688,-0.04204929662022112,-0.21017196860872367,0.010032008772704786,0.30025528760996073,0.5580484439085887,0.5345975153383222,-0.10292347347654172,-0.16592684584382444,-0.03560226104979328,0.026057825248379747,-0.4091742047684674,0.455056551945118,-0.0835494359384399,0.3647751767267328,0.05109762909389706,-0.22551532195609297,-0.1374651909650371,-0.2298801191995267,0.04008353681364691,-0.013040552992520911,-0.3909942998112094,-0.19408256405635996,-0.3464712169364193,0.513588254829931,0.4863827741800911,-0.27258891049851997,-0.4872285722047188,-0.007722766328550279,0.46569851308594107,-0.018764841014039326,-0.22423970602165322,0.21333919130119602,-0.15791614185173913,-0.32905045004370126,-0.24761962050466393,-0.14989109249586915,-0.09801530621635213,-0.2864737018787153,-0.2816941875068072,-0.43619452020983895
Cerebellum_9_R,0.5573954357745807,0.7222941445159715,0.3517480598057035,-0.1975009190716938,-0.08141734426371956,-0.7186060225354793,0.2323890302041092,0.473548461378827,1.0,0.6371753298546139,-0.4128811014063967,0.49858452403172243,-0.05574024064945091,0.27747500868659153,0.5105102985405504,0.6774544352172779,-0.5190707761605802,0.49573126023624275,-0.3937803314586022,-0.10405055707989885,-0.16880373923963043,-0.06362607720308311,0.3192267803748532,0.2675355045242321,0.35399584382203475,-0.003096924211504865,-0.1621385700528876,-0.11998562723281346,0.22755077644883573,0.47230598258996,0.6916779620999923,0.011048817927424745,-0.24664432520270171,0.0037067631290583396,0.1349726232511286,-0.4427406184835354,0.6912997112527227,-0.17040143829989243,0.5331654666933223,0.10199809573222864,-0.23441818886326238,0.09096060370454064,-0.08381708637154545,0.20445669964058522,-0.05445087677055496,-0.41319605137368004,-0.06876117364469284,-0.35272141386416356,0.6838085437755409,0.4225493076539397,-0.2606724839337148,-0.4569637316300884,0.06219159923873617,0.5171816928735539,-0.22644042597602582,-0.2106598739087868,-0.27881028315720746,0.017063283542337968,-0.43415831771850694,-0.2765322374232022,-0.17121206363190966,-0.10725134952691985,-0.3114505227553197,-0.4126546812454104,-0.3470093972227268
LC_R,0.7734755388026765,0.8975367603147958,0.17288825926171822,-0.5256390697502741,-0.55043222882657,-0.688690999340901,0.16488677847985134,0.5560547913063597,0.6371753298546139,1.0,-0.6906794548600776,0.4348175259212309,-0.441045643504747,0.5148914584485005,0.5042701346517682,0.8864214830336726,-0.7924490144250831,0.49080727908995286,-0.6533755466086065,-0.5279531574232021,-0.6540807295263217,-0.46108182353922494,0.06815092428569976,-0.14961808082275962,0.04137203202903044,-0.402410539718548,-0.5624083869546842,-0.3051417765874393,0.34256864629091144,0.6851892429697296,0.7610079261048471,-0.26706964563737445,-0.3335771902248126,-0.3146711763416946,-0.07354621647128413,-0.7420103915572539,0.8385410652627479,-0.3756870070463753,0.5777993720154152,-0.13652955721702112,-0.565740880468289,-0.3800523931269158,-0.4003895126499545,-0.14507358826088645,-0.37142206242654136,-0.7364015986206454,-0.24266637477496472,-0.7232764259521034,0.8507007695376471,0.4053060086580977,-0.6502287550260194,-0.7767237429949332,-0.24000555652209776,0.6284684412843095,-0.21538762923728122,-0.5033371845643749,-0.2551513713227296,-0.4423205725774435,-0.788914702463246,-0.6155893390457772,-0.5520911099464955,-0.27912473476683763,-0.6246323585916204,-0.6937013552610779,-0.4485784024034599
