,Fusiform_L,Thal_IL_R,Vermis_4_5,Putamen_R,Thal_AV_L,Frontal_Mid_2_R,Cingulate_Mid_L,Thal_PuM_R,Temporal_Mid_L,Occipital_Mid_L,Supp_Motor_Area_L,SupraMarginal_L,Cerebellum_10_L,Temporal_Inf_L,LC_L
Fusiform_L,1.0,0.590558988405309,0.6412499738678687,0.23126532571760536,0.1967623432904772,0.4082523480331301,0.4615177353441034,0.3768915422335792,0.6597079780636698,0.28815870801266746,0.5066635387864594,0.009756604395380977,-0.4057025601267771,0.5448668723717766,0.6013728027554984
Thal_IL_R,0.590558988405309,1.0,0.2196672166370812,0.5958397912901106,0.37448322179356386,0.6906004541752122,0.698739084564871,0.7041286586795442,0.21751268860315998,-0.0672537988760455,0.7541150543662396,0.256229125063828,-0.024737522043254048,0.34613471031637727,0.4163531384485103
Vermis_4_5,0.6412499738678687,0.2196672166370812,1.0,-0.13203410356479833,0.07928021867321511,0.07124529084686818,0.09960690987081045,0.1630379107387954,0.8165783595614056,0.13496943642655485,0.1590892143251893,-0.13700925001559355,-0.7208042095310522,0.22811945879730472,0.4432613475092474
Putamen_R,0.23126532571760536,0.5958397912901106,-0.13203410356479833,1.0,0.4661331000834567,0.8647274814639069,0.8565247569382443,0.7613444383435333,-0.29669048060494574,-0.1857372887706044,0.8483092674597162,-0.030486967481582517,0.18308309219870833,-0.016259869718113183,0.36426260029916496
Thal_AV_L,0.1967623432904772,0.37448322179356386,0.07928021867321511,0.4661331000834567,1.0,0.5259319417012097,0.5123850698914324,0.4749681513466861,0.020186687873570846,-0.03883517908304209,0.5684283511810773,0.3054154143311438,0.19887414638196893,0.03389752351560446,-0.03610621749791212
Frontal_Mid_2_R,0.4082523480331301,0.6906004541752122,0.07124529084686818,0.8647274814639069,0.5259319417012097,1.0,0.8623863583122585,0.8324444833115219,-0.06496229625387803,-0.1393534767214447,0.9428236772554083,0.11231282043817539,0.04001261005238723,0.125615997364927,0.4048937663570148
Cingulate_Mid_L,0.4615177353441034,0.698739084564871,0.09960690987081045,0.8565247569382443,0.5123850698914324,0.8623863583122585,1.0,0.8218545853025062,-0.050611096504604394,-0.017499986425734287,0.9180366816466172,0.12715119169138273,0.08821194525480906,0.0783212487467738,0.4136457319176906
Thal_PuM_R,0.3768915422335792,0.7041286586795442,0.1630379107387954,0.7613444383435333,0.4749681513466861,0.8324444833115219,0.8218545853025062,1.0,-0.05023395363166591,-0.1034102100941029,0.8447429433277001,0.08409047829224736,0.06698377970063252,-0.018055715632828918,0.41981333641295365
Temporal_Mid_L,0.6597079780636698,0.21751268860315998,0.8165783595614056,-0.29669048060494574,0.020186687873570846,-0.06496229625387803,-0.050611096504604394,-0.05023395363166591,1.0,0.17187893297907594,0.031048420006509474,0.11367116647157587,-0.6372231824944772,0.504038631190332,0.27185053173233714
Occipital_Mid_L,0.28815870801266746,-0.0672537988760455,0.13496943642655485,-0.1857372887706044,-0.03883517908304209,-0.1393534767214447,-0.017499986425734287,-0.1034102100941029,0.17187893297907594,1.0,-0.08836156531236372,0.08226484507382542,-0.048985655533076614,0.08210990057282563,0.06603862785746391
Supp_Motor_Area_L,0.5066635387864594,0.7541150543662396,0.1590892143251893,0.8483092674597162,0.5684283511810773,0.9428236772554083,0.9180366816466172,0.8447429433277001,0.031048420006509474,-0.08836156531236372,1.0,0.14290694513940233,0.00023224841941902116,0.16083742018033684,0.4488770328441739
SupraMarginal_L,0.009756604395380977,0.256229125063828,-0.13700925001559355,-0.030486967481582517,0.3054154143311438,0.11231282043817539,0.12715119169138273,0.08409047829224736,0.11367116647157587,0.08226484507382542,0.14290694513940233,1.0,0.23013755515895573,0.17322999868648625,-0.542345647317557
Cerebellum_10_L,-0.4057025601267771,-0.024737522043254048,-0.7208042095310522,0.18308309219870833,0.19887414638196893,0.04001261005238723,0.08821194525480906,0.06698377970063252,-0.6372231824944772,-0.048985655533076614,0.00023224841941902116,0.23013755515895573,1.0,-0.2502550311568382,-0.37834323454214236
Temporal_Inf_L,0.5448668723717766,0.34613471031637727,0.22811945879730472,-0.016259869718113183,0.03389752351560446,0.125615997364927,0.0783212487467738,-0.018055715632828918,0.504038631190332,0.08210990057282563,0.16083742018033684,0.17322999868648625,-0.2502550311568382,1.0,0.17765041435725315
LC_L,0.6013728027554984,0.4163531384485103,0.4432613475092474,0.36426260029916496,-0.03610621749791212,0.4048937663570148,0.4136457319176906,0.41981333641295365,0.27185053173233714,0.06603862785746391,0.4488770328441739,-0.542345647317557,-0.37834323454214236,0.17765041435725315,1.0
