,Occipital_Mid_R,Frontal_Sup_Medial_L,Red_N_L,Frontal_Inf_Orb_2_L,Thal_PuM_R,Thal_LP_R,Temporal_Sup_R,Thal_MGN_L,Precentral_L,N_Acc_L,Calcarine_L,SN_pc_R,Rectus_R,Rolandic_Oper_R,Thal_LGN_R,Calcarine_R,Postcentral_L,Cingulate_Mid_R,Cerebellum_Crus1_L,Frontal_Mid_2_R,Temporal_Inf_L,Hippocampus_R,ACC_sub_R,OFCant_L,Vermis_7,OFCmed_L,Vermis_6,Thal_AV_L,Cerebellum_8_L,Thal_MDm_R,Cingulate_Mid_L,ACC_sup_R,Cuneus_R,Paracentral_Lobule_R,Temporal_Inf_R,Angular_L,Hippocampus_L,SupraMarginal_L,Cerebellum_9_L,Temporal_Mid_R,Thal_VPL_R,ACC_pre_R,Lingual_R,ACC_sub_L,Precuneus_L,Frontal_Med_Orb_L,Thal_IL_R,Temporal_Pole_Mid_L,Thal_IL_L,Cerebellum_3_L,Thal_VL_R,Thal_LP_L,Insula_L,Cerebellum_6_L,ParaHippocampal_R,Frontal_Sup_2_L,Frontal_Mid_2_L,Putamen_L,Insula_R,Pallidum_L
Occipital_Mid_R,1.0,-0.24555504137562584,0.045569660420702325,-0.03265355909364982,-0.165132929651074,-0.1392712846415302,0.20515979650785776,-0.19604776905205926,-0.1823040222927528,-0.2279232582184902,0.3730500197044621,0.26573764576706993,-0.29810424135296737,-0.09969422596356035,-0.2539408367209202,0.6648189014679966,-0.21356866981826944,-0.14295211842587394,0.2845494265504128,-0.15940133988163163,0.15320084204643322,-0.23871102893013782,-0.2793748696501113,-0.0006013978156085584,-0.39365320632748996,-0.1950461944989513,0.24325078815445522,-0.0797864542082624,0.12065273419762074,0.002452110880992156,-0.15166694749190304,-0.22989762928987137,0.28561590624734406,-0.22766579968476322,0.19427437980846948,0.011242390808091527,-0.13091622334384662,-0.010341948451518302,-0.2285543385204828,0.3112561576382313,-0.11568663110188379,-0.3533675484396393,0.411422616704726,-0.267792637776522,-0.18529821008832165,-0.18497035751862118,-0.025405142677552135,0.03259726134718301,0.05495285724116711,0.3131452780498124,0.09257816797944671,0.20827295507767601,-0.1467631790743275,0.43703265539436575,-0.2253019470136758,-0.28560022736231827,-0.2389044240982442,-0.24576827626650233,-0.2807555699577875,0.03145106999362626
Frontal_Sup_Medial_L,-0.24555504137562584,1.0,0.6138617663996174,0.3967558285181368,0.8033156193966633,0.3077071835536468,0.15684548620287334,0.6491575428692151,0.689125955127342,0.8404912176927338,-0.5291010379192751,-0.33098892156524146,0.7558114274145903,0.7043628630271246,0.7373360004834302,-0.31677295113004106,0.6403385557182141,0.8746492506378137,-0.23362635953702357,0.9320820577334339,0.04753285686685666,0.9059118894411328,0.6407724458385607,0.10489490452894547,0.6330397474409679,0.4506193025752162,-0.44735028523734244,0.45725629958933545,0.18502556169831536,0.6143914651608415,0.8673751357320901,0.8507668471212938,-0.37135124963605076,0.7879849497822815,-0.07745893202615504,-0.036021524342755136,0.8831500178071598,0.102312385498641,0.23678280852552944,-0.4441784171168692,0.7239493941091161,0.7432835177379705,-0.35074577578024424,0.6378087251200214,0.7203856318464704,0.3341099392052945,0.6569897992199992,0.36577222960575234,0.3915793399859207,-0.19607051449263038,0.25920523841227255,-0.08569910350243821,0.8874836568951332,-0.4417523213727886,0.8529869270791265,0.9718235849341657,0.9729393315758167,0.8880677294814295,0.8769280410437538,0.43240474129825424
Red_N_L,0.045569660420702325,0.6138617663996174,1.0,-0.026569851073266735,0.5835473125040482,0.3962245320196888,0.39537594349572674,0.2993762153750324,0.393401811607267,0.5957083642336334,-0.232169696449304,-0.08129044939038432,0.4712158688870354,0.6352144424468296,0.6399295921645705,0.10035770972069301,0.3849735590210234,0.7338896599612689,-0.0612035871469461,0.6650330326416598,0.30122844191335185,0.6785570431298265,0.2121804359517727,0.11668791735508958,0.17321288164994694,0.3575812419795714,-0.20423646846608687,0.4667192359958518,0.24404255704210326,0.47080625564265666,0.7437900165975759,0.581848952147979,-0.16968419302482815,0.516066016185868,-0.12722921344108187,-0.0692139905425489,0.7973401154476631,-0.06675312186445609,-0.23329743338072675,-0.16768711214194862,0.6257887163104717,0.29903807097143953,0.17001399460935632,0.3272991190945665,0.4565581496231246,-0.009073269814285353,0.6580179892190373,0.21297305093185392,0.4172253921440094,0.151235776550053,0.27208111780551697,0.09497274346705263,0.6436649006018048,0.007877705318212785,0.6249920352563824,0.5398177353204543,0.6134271175890155,0.6243196205494072,0.5354572389711606,0.5236773691879244
Frontal_Inf_Orb_2_L,-0.03265355909364982,0.3967558285181368,-0.026569851073266735,1.0,0.16565045174739929,0.1908098977341884,-0.14831044867199716,0.36609020898806993,0.2987760013787114,0.16417751609281223,0.0003935385093782755,-0.008328839108628711,0.10323623257431261,0.032866781134015914,0.1250640012052918,-0.11176734471312433,0.382887935034396,0.11956225967642725,0.020010329492351275,0.3214389659750651,0.2480444413812103,0.2070398284979451,0.28611409741132793,0.11548852529338884,0.3680607919871051,-0.024147444826503345,-0.38086402314107,0.2194162508586418,-0.06638974769029171,0.3085129213780913,0.08107531834263915,0.12700500446135313,0.1706823685582334,0.3057240770913214,0.02276414255509578,0.287035202927263,0.2063989171178283,0.41829192291251,0.5062826435733982,-0.19394977943035463,0.1505276415526882,0.41026424422119634,-0.33599669826666223,0.2679000845684359,0.48418951558745815,0.3161812340120156,0.20871532586619718,0.15105645643697035,0.0765388704471027,-0.17669759034664093,0.1561221958954852,-0.12225212236162739,0.5069173600095248,-0.10017398780853626,0.09012240000353301,0.4029975281013682,0.40153275298120455,0.24975676510144795,0.2473478382390364,0.11246384379058487
Thal_PuM_R,-0.165132929651074,0.8033156193966633,0.5835473125040482,0.16565045174739929,1.0,0.18397113359522826,0.38983712762401274,0.5973265208127276,0.6550452670833178,0.6725381038235527,-0.26571449976742595,-0.04228800092387223,0.5478696679534557,0.7110167067339089,0.7041591740363291,-0.03817422094381526,0.5785322745077588,0.8673564479507503,-0.0823070387842284,0.8324444833115219,-0.018055715632828918,0.7877471975585525,0.42304949196094527,-0.019894911159423274,0.3139005928390123,0.2559068700309648,-0.11953617700096462,0.4749681513466861,0.18063691056643025,0.7621176799287376,0.8218545853025062,0.6948449940005248,-0.1762811853509691,0.6130205394821311,0.16385908948833025,-0.05505223293733857,0.7883675095132866,0.08409047829224736,0.07016216280758879,-0.10636298139045548,0.8283667416314252,0.48291339368312386,-0.00994435612487741,0.3358403818205984,0.59442084219849,0.2445302887371866,0.7041286586795442,0.28200701753873375,0.33628272371088064,0.12389999611997964,0.4237882066499344,0.050380721281630896,0.719349637785003,-0.22943956529625775,0.7920631144896991,0.7787567024035214,0.7585160663798158,0.6668889168050343,0.7510364137656087,0.5139680517515118
Thal_LP_R,-0.1392712846415302,0.3077071835536468,0.3962245320196888,0.1908098977341884,0.18397113359522826,1.0,-0.07691576040914526,0.34085659263265145,0.25971674392836364,0.10961149622775244,-0.08672673216189986,-0.03988753498875828,0.20025126667437385,0.015269289026770425,0.27684942457599476,-0.13917364094727444,0.5918598846216648,0.26944169739313295,-0.19408256405635996,0.24160117588939797,0.1779630467066035,0.3894316320103834,0.07976422563391246,0.2560700220997241,0.3502885436233436,0.2588924792034735,-0.35548782831493586,0.5258761720889312,0.24521024862883983,0.09214096013019324,0.4053531050092735,0.09818161048021239,0.10592790895067002,0.51588528173873,-0.18027073209233377,0.48612195911269124,0.31044572444501356,0.4403256571431277,0.17305521391166095,-0.2653136590768401,0.4225093169695748,0.2791539497146008,-0.20373187879744692,0.2407637844940924,0.5963536561349261,-0.07904816451211966,0.3039992336924877,0.0566349518922648,0.19372359135320819,-0.0733644455126212,0.11469965725381058,-0.28354142143368477,0.31384821325945506,-0.15840101502057105,0.14185323976805497,0.23654837943463736,0.29505988185489573,0.3052229457873603,0.2430714875901149,0.21802215127466437
Temporal_Sup_R,0.20515979650785776,0.15684548620287334,0.39537594349572674,-0.14831044867199716,0.38983712762401274,-0.07691576040914526,1.0,0.042814565977820504,0.3885962713103132,0.104340350806926,0.49365965912065773,0.4871613666809896,-0.06915215646103134,0.4960339296580568,0.24595339425258347,0.6316052884689244,0.22192901313668345,0.41637320108940207,0.347682860845998,0.4057060082614372,0.0748425900465159,0.08972557801534721,-0.1804086208625438,0.13704132621058832,-0.45680396990174876,-0.025455512107904425,0.4952995998346429,0.27580940791740705,-0.1559957725283273,0.5275556782235155,0.35210498700528736,0.09804145570075315,0.42283361830557326,0.13659552833783303,0.58023654624629,-0.022228384363879233,0.23298277131597003,-0.00537242350069608,-0.26539803788914906,0.71749025999248,0.45082424954671535,-0.3634116352940361,0.7418587508294926,-0.19654009536721376,0.1730762469833108,0.0912736472315422,0.2842836824249647,0.06975556120704275,0.35891179030694903,0.7989080914382392,0.5482912951466392,0.35682644840916444,0.07166495259989619,0.5483748054801745,0.18714340291277454,0.13897541369043107,0.08700075211673657,-0.06424593687464505,0.26405520964901014,0.49842953549069435
Thal_MGN_L,-0.19604776905205926,0.6491575428692151,0.2993762153750324,0.36609020898806993,0.5973265208127276,0.34085659263265145,0.042814565977820504,1.0,0.6506462393221728,0.36900964630301825,-0.1818312343516897,0.0222312835440479,0.27341055028403005,0.3496195174941028,0.5622475462377939,-0.138694960305661,0.7059817196506005,0.6206226824833028,-0.123999057526947,0.6159328796053133,0.040704111472845556,0.5960566798684284,0.3280816402326961,-0.04598055257816092,0.4878014441285714,0.13545457893344717,-0.09858851944555283,0.4404182606895864,0.18524353597399792,0.5727411451457944,0.5784989317984517,0.4334371880543903,-0.0061819198220166354,0.5938464084451957,0.15598116012292632,0.24853462546080643,0.5561165654951499,0.47659399977120764,0.42840343359669975,-0.23827756368261466,0.6402908024035754,0.43701304341744257,-0.2473471765614021,0.2062364914605443,0.6198436731738638,0.14637776803356495,0.5693346507289717,0.34550328136357167,0.3183126566274549,-0.053986721136845425,0.32624556124607934,-0.1892695647010427,0.5332812213255779,-0.23590488830355452,0.47467604103457584,0.611794096159124,0.6082041297092953,0.47142952465255555,0.517269749517978,0.46516414336656653
Precentral_L,-0.1823040222927528,0.689125955127342,0.393401811607267,0.2987760013787114,0.6550452670833178,0.25971674392836364,0.3885962713103132,0.6506462393221728,1.0,0.4394813064447398,0.00368870739224739,0.03370226569522835,0.3635019019688549,0.46104704499978133,0.5997661714890249,0.05525059056590468,0.7544198000238216,0.7109590882153889,-0.050902502929743604,0.7511665772303049,0.0976775163611863,0.5153623291281314,0.13328814259355679,0.02626361098849487,0.27205301656400727,0.29606458780221984,0.023678687520902405,0.4358734459764861,-0.034626308305021294,0.6373671269231117,0.6784259052087498,0.4054973347181533,0.07875238293314273,0.6986204369637227,0.24691241427013447,0.028566337635163704,0.5344765308186513,0.401001019476285,0.35545508125950087,0.045012079110598686,0.7051318689545079,0.24340557757877315,0.0669684920557405,0.3319364396998827,0.6037148348665422,0.36590292248105627,0.6062302184912168,0.18827502584462655,0.5659645635687608,0.16692815089949709,0.4318850528784824,0.034269600980733915,0.5603990182693975,-0.07848656166785498,0.47238521382358356,0.7046523082019092,0.6105243774201013,0.4962844740231155,0.5750899860198491,0.44713777486046247
N_Acc_L,-0.2279232582184902,0.8404912176927338,0.5957083642336334,0.16417751609281223,0.6725381038235527,0.10961149622775244,0.104340350806926,0.36900964630301825,0.4394813064447398,1.0,-0.6798433162200149,-0.5438575164706551,0.8386128097692468,0.7499016727302747,0.7070580893817319,-0.3774986823941104,0.3138298915321286,0.7606582959779637,-0.3819967668232908,0.7731820501714899,-0.07350059838022106,0.8477450735734917,0.6232600921802124,0.07861714831230883,0.5772262662057495,0.4768545037069648,-0.44292226631501874,0.3006768046517602,0.09812577264433284,0.4078780640542139,0.7468446165414319,0.9192320822733484,-0.6008905272350435,0.6208549708035507,-0.2246648653108605,-0.28786975218782357,0.836113242824505,-0.2545488270957668,0.0208463716222395,-0.5023038381468811,0.5330108225821087,0.7421044152553485,-0.3368602810089652,0.6564447904977009,0.4766160699892496,0.3013937318914833,0.4630654477584111,0.27402658230695426,0.23242024466505237,-0.3167376069193652,0.057020949058503696,-0.10983639382480129,0.7938255084779872,-0.5467688930032714,0.8888133079618787,0.8548257821859591,0.8788913473638724,0.8753729632128991,0.8382580062173167,0.3166206527797533
