,Thal_VA_R,Temporal_Pole_Mid_R,Thal_VA_L,Vermis_3,Red_N_L
Thal_VA_R,1.0,-0.07346620374308513,0.8168412673346875,-0.10746765965879908,0.5025055393672483
Temporal_Pole_Mid_R,-0.07346620374308513,1.0,-0.10066094397228892,0.35154363401634936,-0.20495986753152062
Thal_VA_L,0.8168412673346875,-0.10066094397228892,1.0,-0.28453687693167784,0.6726321225727866
Vermis_3,-0.10746765965879908,0.35154363401634936,-0.28453687693167784,1.0,-0.09041608737770929
Red_N_L,0.5025055393672483,-0.20495986753152062,0.6726321225727866,-0.09041608737770929,1.0
