,Thal_PuA_L,OFCmed_R,SupraMarginal_R,Cuneus_L,Cingulate_Mid_R,Cerebellum_Crus2_R,Temporal_Mid_R,Precuneus_L,Thal_MDm_R,ACC_sub_L,Cerebellum_Crus2_L,Frontal_Inf_Orb_2_R,Precentral_R,Thal_VPL_L,Cerebellum_6_L,OFCpost_R,OFCant_L,Cerebellum_8_R,Angular_R,VTA_R,Postcentral_R,Parietal_Sup_R,Cerebellum_7b_L,ACC_sup_L,ACC_pre_R,Vermis_6,Calcarine_L,Parietal_Inf_L,Raphe_D,N_Acc_R,Thal_VPL_R,Cerebellum_6_R,Thal_MDl_R,SN_pc_R,Rectus_R
Thal_PuA_L,1.0,0.150856421721064,0.10884207433309256,-0.4131683121890558,0.8249102111365771,-0.565706071226862,-0.4429058756595253,0.5248268952086174,0.5269316527145567,0.5913988567266717,-0.24155518110896343,-0.3642196767750407,0.6932978402598604,0.805776621068658,-0.41614603175330167,-0.4512357594857007,0.033430772946001316,0.3306280958629351,-0.46875987042989675,0.4748293534582752,0.5887147986770905,0.35062450651116417,-0.6862985181736149,0.7244187474089998,0.6213434302948777,-0.3225992000670036,-0.5719697797120533,0.07664432841386387,0.6947388332320229,0.6767839931966492,0.6383886665555693,-0.48385346892097303,0.5807002091649527,-0.42715392025241417,0.7697855674077106
OFCmed_R,0.150856421721064,1.0,-0.004574320197539534,-0.39032183045496405,0.09582458155898467,-0.3167034275301097,-0.31953224986417905,0.16625896106090451,0.05886067880770258,-0.07844926110514246,0.13895563254888796,-0.1896603679954022,0.12453780892595472,-0.15610422559942005,-0.30264474005522757,-0.013091011260331572,0.1532398299055101,0.006996474306357574,-0.14930861038156923,0.5065706937583558,0.241192441838337,0.23983099274692016,-0.289244414087942,0.4428202901231966,0.3953495206613197,-0.33177243107140797,-0.38320622020069833,-0.16716384894206465,-0.028739711006608364,0.10983577992058544,0.043661495896669664,-0.3307270740120544,0.038903540371876544,-0.3069637248111922,0.12616231522719365
SupraMarginal_R,0.10884207433309256,-0.004574320197539534,1.0,0.24550147923079021,0.44214641224432494,0.2547812432929625,0.18954791160864407,0.7393855154682002,0.4796882152762263,-0.0649706830580085,0.009793396646896057,0.24634522052431218,0.5867326872594705,0.09679380832356116,0.2116343468549211,-0.021772975846764502,0.15133420477273507,0.21867581534667144,0.7189946460597471,0.08273742581527574,0.6823314210422677,0.6415897537736466,0.14137822957899335,0.3362049472280101,0.05641608398109106,-0.14174916319018818,0.2702531358434807,0.7214917255128381,-0.16415048599809598,-0.00753086946940243,0.4996155095745346,0.13663061036034335,0.34275893258070866,0.37710849631448234,-0.039325442777273636
Cuneus_L,-0.4131683121890558,-0.39032183045496405,0.24550147923079021,1.0,-0.19111673124848833,0.8591023996676868,0.8713257003221427,-0.15660868072415815,0.1983134537779614,-0.6110691350426872,0.06819136971673756,0.4887953666453244,-0.10905794934467022,0.031947066776571276,0.8736494469390004,0.6580692186475968,-0.06481203789600748,0.06406371499299303,0.5315496469119211,-0.3002940974755088,-0.4035363005360265,-0.4227192680733119,0.7261429885179219,-0.4226377236397155,-0.8304206315276715,0.6903630012109857,0.9377591966302219,0.2532811579281366,-0.2270866807661037,-0.5561574780880852,-0.003016683697268827,0.8861318354722676,-0.1299600238646553,0.7596772301216265,-0.6181958773192618
Cingulate_Mid_R,0.8249102111365771,0.09582458155898467,0.44214641224432494,-0.19111673124848833,1.0,-0.3156301083314732,-0.19969555139503772,0.6687438038615481,0.725085646464807,0.4492224585297175,-0.13903145336644523,-0.25863336864976477,0.9012839726596638,0.7274621873290716,-0.21793562134478422,-0.35655546524110265,0.040859582453731294,0.3937889228635843,-0.17876695135122192,0.43549230478090345,0.7026327899922367,0.40341955570826493,-0.4328892878037577,0.7692581150895166,0.4895089655125741,-0.19756522140481994,-0.33140394529650485,0.3236539626099468,0.5655482371748046,0.5653871741073496,0.8152271443165776,-0.2698178432171979,0.68831851394201,-0.12167874752052482,0.6393299543601245
Cerebellum_Crus2_R,-0.565706071226862,-0.3167034275301097,0.2547812432929625,0.8591023996676868,-0.3156301083314732,1.0,0.8626495674594183,-0.2119521957013463,0.1277219056120894,-0.6101828407751917,0.27325787548278924,0.6126113247826956,-0.16237366270650247,-0.19134126828788475,0.7994318824162517,0.6475931320456015,-0.011773533938037484,-0.039840283910965966,0.5759749321782619,-0.3182796269112888,-0.412745699302751,-0.40426834310875565,0.7501159071100667,-0.45268924025846097,-0.7699044246883167,0.6304953856011393,0.895902289744364,0.11788184070337768,-0.3877967793430566,-0.6471757871919865,-0.16541819352054662,0.8719111303788074,-0.1534597174110546,0.7562037833024553,-0.6543746296771336
Temporal_Mid_R,-0.4429058756595253,-0.31953224986417905,0.18954791160864407,0.8713257003221427,-0.19969555139503772,0.8626495674594183,1.0,-0.24832085831876283,0.12330170727906964,-0.5977311411857851,0.1658634429262824,0.5600961649848404,-0.1505155872177627,-0.056623909067040804,0.7476233808557756,0.6022290798631439,0.04697174344543331,-0.10704450916395038,0.4817477220032699,-0.34762074755760525,-0.4872498861755931,-0.5378544804729364,0.6874325445529635,-0.4020144144335384,-0.7510411897226843,0.7533235664003719,0.8605411361154544,0.045592605613095596,-0.2740126138218574,-0.5350680287091638,-0.05957982392698397,0.8612911696645987,-0.22065196129542014,0.7291670750124406,-0.6157709053077994
Precuneus_L,0.5248268952086174,0.16625896106090451,0.7393855154682002,-0.15660868072415815,0.6687438038615481,-0.2119521957013463,-0.24832085831876283,1.0,0.5184128850131708,0.34659327794752154,-0.030426623382306842,-0.0441330263155486,0.7730451489588939,0.3680030333348485,-0.23125777124352487,-0.3783813593692102,0.1593614035057419,0.3206068534718519,0.31762274350564745,0.33515886213135865,0.8945889489017281,0.8311832346478724,-0.24302250429200367,0.6492202646552353,0.5053470398081624,-0.4329962657614086,-0.16276508485212382,0.6383743936221999,0.12868187059352598,0.385672273957446,0.6892144611498855,-0.28559581223380004,0.5483354020213262,-0.06332851767720306,0.38461540511467573
Thal_MDm_R,0.5269316527145567,0.05886067880770258,0.4796882152762263,0.1983134537779614,0.725085646464807,0.1277219056120894,0.12330170727906964,0.5184128850131708,1.0,0.09515198889088708,-0.013872080539743056,0.09585930513107596,0.7445970647473248,0.548652412100032,0.16428805339368716,0.08371419893286816,0.011144666378414115,0.4128250268523151,0.054874061796112414,0.3341761374745935,0.48275355764915395,0.22503821568733878,-0.06934941118341285,0.6154200152186141,0.16922108659685153,0.08170053618259152,0.07507109083292005,0.33628230014946187,0.37806301128323067,0.1550277273781303,0.7130796884015981,0.13528253400399295,0.7178809237282063,0.21155537985714756,0.2832536604884933
ACC_sub_L,0.5913988567266717,-0.07844926110514246,-0.0649706830580085,-0.6110691350426872,0.4492224585297175,-0.6101828407751917,-0.5977311411857851,0.34659327794752154,0.09515198889088708,1.0,-0.06995563644215234,-0.4239781664380615,0.41660747237209456,0.434527417059451,-0.6244401881275029,-0.680358848429111,0.013962981141839529,0.0077810910384183895,-0.48942456920845673,0.20887395974332135,0.47056483149852013,0.3563451700527167,-0.5897255017061668,0.4067699016387638,0.6913487470305025,-0.5624233957653496,-0.6628348569422489,-0.07169865357304349,0.4467908385654913,0.7273582600744737,0.2852416417030234,-0.6636671871473595,0.38619769181111957,-0.5439389617477143,0.7994604614666196
