,OFCpost_R,Olfactory_R,Frontal_Inf_Orb_2_R,Cerebellum_9_R,Cerebellum_3_R,Paracentral_Lobule_L,Thal_IL_R,Insula_R,Thal_PuL_L,Thal_PuM_L,Cuneus_R,Cingulate_Mid_L,Cerebellum_Crus2_R,Angular_L,Parietal_Inf_R,Lingual_R,Cingulate_Post_L,SN_pr_L,SN_pc_R,Cingulate_Mid_R,Fusiform_R,Thal_MGN_R,ACC_sup_L,ACC_pre_R,VTA_L,Angular_R,Cerebellum_10_R,SN_pc_L,Occipital_Inf_L,Vermis_3,Frontal_Sup_2_R,Cerebellum_Crus1_L,Pallidum_R,ACC_sub_L,Thal_LGN_R,Amygdala_R,Frontal_Sup_2_L,Frontal_Sup_Medial_L,Cingulate_Post_R,Precentral_L,Frontal_Inf_Orb_2_L,Vermis_1_2,OFClat_R,Temporal_Sup_R,LC_R,Heschl_L,Postcentral_R,Red_N_R,Frontal_Sup_Medial_R,Cerebellum_6_L,Supp_Motor_Area_R,Temporal_Pole_Sup_R,Thal_LP_R,ParaHippocampal_R,Cuneus_L
OFCpost_R,1.0,-0.5982249314348976,0.5185543997559613,0.4575817917867566,0.43516325264161837,-0.41292044517918586,-0.28261572664861556,-0.4438658119251313,-0.4692880183571064,-0.23063303213175956,0.5475810835984587,-0.4377080998017185,0.6475931320456015,0.010767766065362033,-0.206187820807298,0.5551442904129276,-0.2515901803538244,0.15354598479643375,0.48455929084115285,-0.35655546524110265,0.5239018834796498,-0.29839660225806885,-0.3768592844586356,-0.6737203745666935,0.07237084326804963,0.3148349442013365,-0.19362136252460999,-0.2516682420070069,0.23772505505203456,0.6306673722426982,-0.573504349535563,0.5230635908521611,-0.146616821330783,-0.680358848429111,-0.44378483731327706,-0.48056867000116704,-0.5120878400922947,-0.49748578132925325,-0.4393453637965303,-0.16495852924850055,-0.1482966913156692,-0.0535195339457129,0.37012074861674227,0.31610107463006154,0.7130905115887265,-0.4711499061828769,-0.5133150916449274,-0.18608340871068657,-0.4772080927200274,0.6240223911224181,-0.3764094991841178,-0.22000690542043005,-0.47659287330240324,-0.5241967167449918,0.6580692186475968
Olfactory_R,-0.5982249314348976,1.0,-0.4238754896466716,-0.4427406184835354,-0.2550141538458811,0.5113312136298193,0.39568725973464375,0.752449425966276,0.7764378044825306,0.5898835171737195,-0.6661789474044999,0.6318572345445728,-0.6883906920644418,-0.236397372689003,0.08629199244595817,-0.45530803992920305,0.5279565926847879,-0.13563220589367042,-0.5920278648741317,0.6227436425441402,-0.4502209821191456,0.5043479492983588,0.6837834623169373,0.7575937623727634,-0.02137823015183496,-0.5595762895530345,0.20923328757905152,0.2627660660374755,-0.11650419765252182,-0.6190349741080111,0.7539220509067704,-0.4091742047684674,0.507787809051843,0.6562768414441745,0.5500143999003738,0.7786290754531852,0.766874321523965,0.7478579087721291,0.716838486029841,0.30657623992904287,0.13707808712473796,0.2060111670745191,-0.5940039652470173,-0.0915682853806328,-0.7420103915572539,0.6801339542213476,0.5258948091664509,0.3277269941170133,0.7418820778187741,-0.6761104578800015,0.6721673308574239,0.4838629485739802,0.14346348288768096,0.8118374522326833,-0.6508133225220023
Frontal_Inf_Orb_2_R,0.5185543997559613,-0.4238754896466716,1.0,0.5331654666933223,0.3555463069747761,-0.1850896636955032,-0.24099788032224204,-0.18042975980480086,-0.4260081643837741,-0.3171236272693383,0.6428628525157054,-0.3262878698054378,0.6126113247826956,0.4108312249992224,0.08112407067393117,0.34588474313442513,-0.27094934959389616,0.04721494817136755,0.4291579013364048,-0.25863336864976477,0.45297036198946744,-0.23922292679655652,-0.29601280028129723,-0.39103517467569276,0.11496865461571869,0.5566175113860634,-0.15994211319257506,-0.26105421832471964,0.2225301722625227,0.6220840359122398,-0.39545591534706515,0.3647751767267328,-0.15900039459676724,-0.4239781664380615,-0.34679790786483894,-0.34498024005972616,-0.2676184473748167,-0.291081957809781,-0.3944503981828855,-0.05047576620291276,0.26949308227622515,0.23496746344618924,0.2785785841906906,0.31723768981688266,0.5777993720154152,-0.3261665183327372,-0.23214303420833904,-0.11991123214407434,-0.2495270718970443,0.5156851073368878,-0.25496904060530756,-0.2962922223255745,-0.12224705099139196,-0.4236461648564228,0.4887953666453244
Cerebellum_9_R,0.4575817917867566,-0.4427406184835354,0.5331654666933223,1.0,0.5171816928735539,0.017063283542337968,0.024260951070601926,-0.20938990967599472,-0.4622511558590367,-0.06540534405419145,0.6916779620999923,-0.13054146135921682,0.744551681861893,0.2516547147656413,0.03621567274871423,0.5566263623243484,0.06219159923873617,0.2323890302041092,0.6179964895376433,-0.05574024064945091,0.5573954357745807,-0.10725134952691985,-0.20542326668164476,-0.49768867675201167,0.15534169508319198,0.5105102985405504,-0.04061925982819012,-0.11998562723281346,0.05150430110115283,0.7472149913900141,-0.25704284609148004,0.473548461378827,-0.05445087677055496,-0.40840477364956235,-0.19674939329688632,-0.2765322374232022,-0.16880373923963043,-0.17787014434861645,-0.2106598739087868,0.2675355045242321,0.12547239714152264,0.1614798687718528,0.27747500868659153,0.49858452403172243,0.6371753298546139,-0.13297669374304055,-0.16924507984963577,0.10199809573222864,-0.2946808872201778,0.5934037814019562,-0.06362607720308311,-0.17040143829989243,-0.06876117364469284,-0.3328024408522621,0.6774544352172779
Cerebellum_3_R,0.43516325264161837,-0.2550141538458811,0.3555463069747761,0.5171816928735539,1.0,0.06629519988693698,0.3898543000375017,-0.06111947464936618,-0.1393817823679572,0.22708401991149266,0.46614544993614004,0.11196862222645242,0.5516750364996877,-0.08411337347507575,-0.010549973609598908,0.8100286956274413,0.384691218518624,0.47679264884863587,0.5194910389438973,0.2058207475206767,0.7946431551337186,0.3083686377469538,-0.02705452309125163,-0.4893881964645338,0.28911835696456356,0.11529785260334184,-0.27600145731743325,0.17575495124415846,-0.035285558890913414,0.6894379509720119,-0.16056413951172405,0.46569851308594107,0.23328025831451682,-0.3632138029927211,0.11851994949811953,0.015465962710513228,-0.04998605341084398,-0.019533222551046392,0.13476566011417215,0.3143284708052699,-0.07938110660330434,0.22780245347356617,0.22152594804400133,0.6491708573578074,0.6284684412843095,-0.002762772532001301,-0.1907269349041178,0.3046889307065517,-0.1713207496011693,0.6912778164121122,0.18873359083877536,0.02894753789490501,-0.14421177392573553,-0.029325095636402905,0.698472751209007
Paracentral_Lobule_L,-0.41292044517918586,0.5113312136298193,-0.1850896636955032,0.017063283542337968,0.06629519988693698,1.0,0.6740888873133161,0.7199700806469744,0.5058242068117418,0.6937229937153544,-0.04403491009931962,0.817397176461138,-0.26083570413057794,0.22337774475353211,0.5585567537035052,-0.19725779072295171,0.674635592655844,0.2793945753544929,-0.15072180768197918,0.8314850373599808,-0.19854365649852565,0.5129393865003501,0.7291258695104171,0.5401732004101308,0.14848263629288402,0.06354508250396199,0.2895263147897997,0.5364778077962936,-0.07931077257608722,-0.17352069870288947,0.7648733274167583,-0.15791614185173913,0.6388454642227908,0.4560558337218065,0.7080782067520709,0.6710142964873228,0.7976663762153049,0.8462851624918339,0.6785171026172422,0.7732341024730557,0.3727656679780587,0.4828591193717817,-0.4459893889356209,0.26538107691937446,-0.4423205725774435,0.7479924489491152,0.8832124136061581,0.6760311858526349,0.7080677602391957,-0.28000430190824566,0.8639731656981168,0.5115870913506774,0.5045359689101319,0.6423642248719045,-0.21026509604053825
Thal_IL_R,-0.28261572664861556,0.39568725973464375,-0.24099788032224204,0.024260951070601926,0.3898543000375017,0.6740888873133161,1.0,0.44266604705357254,0.4676994865690351,0.684206819847641,-0.036521749754517795,0.698739084564871,-0.1632378904864768,0.011959595283369132,0.34438826690743074,0.10604785984452596,0.6757827744355096,0.5045392145115779,0.11034906361643203,0.7310142828023145,0.09615701980773124,0.48152302630865357,0.6091296088232169,0.316327255227969,0.17145464389657036,-0.12083975515329229,0.09585405292403715,0.6235193118418174,-0.0252656240990183,0.006591104436698255,0.567401497735106,-0.03435675686163264,0.626109811489476,0.36002812773800075,0.6359711730791131,0.5708159210687068,0.5872369703715571,0.6569897992199992,0.6035661219822953,0.6062302184912168,0.20871532586619718,0.34838997019840484,-0.17398589508743578,0.2842836824249647,-0.2360707713641839,0.5873904734841416,0.5305908183078271,0.5409722799050499,0.4930314338835773,-0.036982125340282404,0.69001136330689,0.37357542326825605,0.3039992336924877,0.5841782968114874,-0.006412519928256545
Insula_R,-0.4438658119251313,0.752449425966276,-0.18042975980480086,-0.20938990967599472,-0.06111947464936618,0.7199700806469744,0.44266604705357254,1.0,0.6878987595331757,0.6333378353346008,-0.4352140788024945,0.7898296528349532,-0.46875450425397275,-0.09728639615111898,0.21632616351496786,-0.3175688964849343,0.6389716195958504,-0.08240893011386867,-0.3939401315939695,0.8012951823360962,-0.25016361331313425,0.6698222249995093,0.7262687395701339,0.6974951620681008,0.1364740793299556,-0.32743900166660966,0.3422203993489306,0.25570340302013306,-0.08046520922011433,-0.39956078517178173,0.8177118209701821,-0.29469091551644,0.6721273441112493,0.5610709447974205,0.7282997422160367,0.822574382574582,0.9032946062444414,0.8769280410437538,0.7087758762477883,0.5750899860198491,0.2473478382390364,0.5415509781150081,-0.6137906411776265,0.26405520964901014,-0.6006104209244065,0.7989385949471411,0.662303177593775,0.6632623904156016,0.8272288722505622,-0.4617807086047574,0.8363284499146177,0.5749177906779995,0.2430714875901149,0.8553655813398292,-0.4634911337164426
Thal_PuL_L,-0.4692880183571064,0.7764378044825306,-0.4260081643837741,-0.4622511558590367,-0.1393817823679572,0.5058242068117418,0.4676994865690351,0.6878987595331757,1.0,0.7183024608311782,-0.6182233837580489,0.6140757914328414,-0.6754654828231466,-0.25059633223535277,0.11046343974980825,-0.4025630191107947,0.5328637703838907,0.08095994573337074,-0.5369464149678997,0.6060654200690496,-0.3994286617294737,0.5096677951767529,0.6557596442801531,0.686300955144783,0.032722164869397184,-0.5662797051892968,0.15498285975883433,0.43408641182672536,-0.1512074205705539,-0.6116748455046508,0.7066806736950415,-0.2898784891291998,0.6532680763237854,0.6021297746057513,0.5599053643244291,0.7946780783724914,0.7201928478082856,0.7410220022806734,0.7498333608721997,0.27078107335139007,0.13853082479381018,0.17353471223804992,-0.5367025391863502,-0.09381659378660959,-0.7328051534206378,0.6632642495355137,0.5386370237100985,0.3429149198167459,0.7590135079515906,-0.5252225661359615,0.6454028448444775,0.5276001984122158,0.0905757410856383,0.791494308451895,-0.5816502714752553
Thal_PuM_L,-0.23063303213175956,0.5898835171737195,-0.3171236272693383,-0.06540534405419145,0.22708401991149266,0.6937229937153544,0.684206819847641,0.6333378353346008,0.7183024608311782,1.0,-0.24095979049563165,0.7964370040036189,-0.2747197504635034,-0.21235146518722178,0.19182010310827816,0.047338116611429504,0.8256213189882458,0.3606213240403604,-0.18129825276411868,0.8125484873262357,-0.012318224209047542,0.5906124120356907,0.6152232245229711,0.3628365395513565,0.08607357042697908,-0.37440750568325054,0.19799780858280072,0.5066416209142582,-0.1368268996212397,-0.1551918494572535,0.6861208369099733,-0.07438141734272966,0.7961027729311778,0.46877075720483957,0.6375831659735465,0.7353825548174554,0.7258676982374371,0.768231053559459,0.833846991329199,0.6486249703509173,0.08343208076546055,0.35645828993187956,-0.4527430317085499,0.3521741129209946,-0.4100920112068404,0.6513611497123216,0.5139012396450477,0.5676025458208604,0.6419718002652967,-0.18378393935663276,0.8184452689278241,0.5914181704460714,0.1137888582201709,0.738393186931384,-0.12262249129874471
