,Cerebellum_3_L,Cerebellum_Crus1_R,Thal_PuA_L,Supp_Motor_Area_R,Thal_MGN_R,Thal_PuM_L,Thal_LP_R,Frontal_Sup_2_L,Precentral_R,Thal_AV_R,Cingulate_Mid_R,Cerebellum_6_L,LC_R,Thal_MDl_R,OFClat_L,Thal_PuI_L,Occipital_Sup_R,N_Acc_R,Thal_VA_L,Frontal_Sup_Medial_R
Cerebellum_3_L,1.0,0.7757129684266293,-0.21572894250164568,-0.008660648714701877,0.02797027539666856,0.014434624765847016,-0.0733644455126212,-0.23356747507193074,0.12030367554420067,0.04409620399429242,0.08768917620131825,0.7688084669978894,0.7213780119561942,-0.027427718497796922,-0.4665083775886256,-0.19623460376952467,0.7194629605948103,-0.3605499363646502,-0.0914143935260779,-0.40050253813557996
Cerebellum_Crus1_R,0.7757129684266293,1.0,-0.47577801894300814,-0.27747375125497187,-0.2554278056667764,-0.2530087614181894,-0.17300725016061058,-0.44592683440680386,-0.15553902249007226,0.10313853045518612,-0.24776044073221862,0.7857057922905487,0.8301771564424525,-0.18084561466875948,-0.4439513819709859,-0.4517006669587579,0.8408435240500827,-0.6484627381060308,-0.3400577331749978,-0.5084741640220487
Thal_PuA_L,-0.21572894250164568,-0.47577801894300814,1.0,0.8142385282279379,0.634187494347017,0.8601848617820665,0.17860020731744736,0.8010687495267765,0.6932978402598604,0.30232240113626585,0.8249102111365771,-0.41614603175330167,-0.6246323585916204,0.5807002091649527,0.42512000628446545,0.8199935647656555,-0.5401778245907066,0.6767839931966492,0.7227060562523134,0.7398019458552676
Supp_Motor_Area_R,-0.008660648714701877,-0.27747375125497187,0.8142385282279379,1.0,0.7032886501005462,0.8184452689278241,0.24495776719191836,0.9081343959368829,0.9387987762897262,0.3576540474009624,0.918790523901893,-0.26609388278611384,-0.46108182353922494,0.7021162454022546,0.37362719757070867,0.7646331142412462,-0.3643077520394995,0.6012315031486125,0.7102764381056225,0.7712628251536532
Thal_MGN_R,0.02797027539666856,-0.2554278056667764,0.634187494347017,0.7032886501005462,1.0,0.5906124120356907,0.1342957549655267,0.6369040050873398,0.6340466895125592,0.2532564602764165,0.6851511498672194,-0.1500854714779244,-0.27912473476683763,0.5300195064325787,0.2235791344845075,0.5472195050291094,-0.38123030883865694,0.4914258462937817,0.5874578420139919,0.5289105180039428
Thal_PuM_L,0.014434624765847016,-0.2530087614181894,0.8601848617820665,0.8184452689278241,0.5906124120356907,1.0,0.1137888582201709,0.7258676982374371,0.7707568282331095,0.12340049605808218,0.8125484873262357,-0.18378393935663276,-0.4100920112068404,0.7102707552047475,0.2430048062171159,0.9027583559761116,-0.3102779474400988,0.5112401188997603,0.6571099774354134,0.6419718002652967
Thal_LP_R,-0.0733644455126212,-0.17300725016061058,0.17860020731744736,0.24495776719191836,0.1342957549655267,0.1137888582201709,1.0,0.23654837943463736,0.32300498843905007,0.20156913283968458,0.26944169739313295,-0.15840101502057105,-0.24266637477496472,0.2031923382174927,0.15820428099766876,0.06207878137951951,0.006447806325507348,0.3048006087515186,0.3972328438028241,0.1645683118138792
Frontal_Sup_2_L,-0.23356747507193074,-0.44592683440680386,0.8010687495267765,0.9081343959368829,0.6369040050873398,0.7258676982374371,0.23654837943463736,1.0,0.8418514119449745,0.3460922855205871,0.8341728422364411,-0.4883688550522356,-0.6540807295263217,0.6749473815089629,0.5760904654103511,0.7262282645560323,-0.5549659677650384,0.6938847868496426,0.6980487650468177,0.91879646497277
Precentral_R,0.12030367554420067,-0.15553902249007226,0.6932978402598604,0.9387987762897262,0.6340466895125592,0.7707568282331095,0.32300498843905007,0.8418514119449745,1.0,0.3805179202316177,0.9012839726596638,-0.1392159358303062,-0.35357960477961353,0.7545287800229168,0.3251530547874058,0.6793013104385381,-0.18851966431658487,0.5210444670129736,0.704146418565254,0.7141279114498387
Thal_AV_R,0.04409620399429242,0.10313853045518612,0.30232240113626585,0.3576540474009624,0.2532564602764165,0.12340049605808218,0.20156913283968458,0.3460922855205871,0.3805179202316177,1.0,0.41005851856163994,-0.09014634927641094,-0.09645851495165446,0.23260360002735117,0.17343315708117335,-0.012006759460458634,0.026842918149418898,0.0967621040440835,0.39108077124380397,0.3051120905479858
