,Parietal_Sup_L,Vermis_1_2,Paracentral_Lobule_R,Cerebellum_Crus2_R,Thal_PuI_R,Heschl_R,Vermis_9,Olfactory_L,Cerebellum_8_R,Thal_LGN_R,Thal_Re_L,N_Acc_L,Frontal_Inf_Tri_L,Heschl_L,Pallidum_L,VTA_R,OFCant_L,Lingual_L,Vermis_10,Precuneus_L,Frontal_Sup_Medial_L,Thal_MGN_L,Thal_PuL_R,Thal_PuM_L,Rolandic_Oper_R,Temporal_Pole_Sup_L,Fusiform_R,Thal_VPL_R,Precuneus_R,Insula_R
Parietal_Sup_L,1.0,0.05926776610189954,0.3952559561276987,0.28453506637380804,0.2922267041766362,-0.031537146066971854,-0.33616560537299944,0.07097035541726524,0.3270111339446153,0.1515721785188573,0.08433632515225628,0.06053326956467326,0.14621465095481806,0.2797179521575148,-0.2796557881050077,-0.14204507457226864,-0.22195968500259713,0.3723706475590048,-0.10151780875288512,0.7344282688667528,-0.008201726701251284,0.02145558872993393,0.39342942473085024,0.2531936793885263,0.34102872862508316,0.020552568544248594,0.3048920073562059,0.270866282294943,0.7141967280490409,0.07615502074411779
Vermis_1_2,0.05926776610189954,1.0,0.11890171426473492,0.20825893349068308,0.16029669298902985,0.08993285691856567,0.01654123027173147,0.029902286351571522,-0.15307409597320903,0.21342304954724103,-0.38673833707768596,-0.115964420928823,0.24523026926427183,-0.16678256705407057,0.03468966440415394,0.22875440256106883,0.047263569523540265,0.6524321865844299,-0.002032349706840037,0.09426311407029533,-0.009057066645876796,-0.07811908758594856,0.33702499737110525,0.2738023889420827,0.42439099981696987,0.1662108740598791,0.3108666048724879,0.0677285801575085,0.1092753878503622,0.17501890032904827
Paracentral_Lobule_R,0.3952559561276987,0.11890171426473492,1.0,0.29475684024320614,0.3996315440756361,0.4550088097095234,0.34417214472001123,-0.0964326160584122,0.25302719469355056,0.4294139567269352,0.15448716019612035,0.13449088969920378,0.617238324239875,0.43374778054049107,0.3883183577743252,0.10186448839294608,0.14590351059303983,0.32365964357692517,0.11476818611365708,0.7600902566732736,0.45392013087147715,0.22891322380267348,0.4011207442662824,0.6332721102319887,0.09628963314369507,-0.11922061056107844,0.2392696405539408,0.5664278852586558,0.7599810495652852,0.36852457138415645
Cerebellum_Crus2_R,0.28453506637380804,0.20825893349068308,0.29475684024320614,1.0,0.49297282080877614,0.38546760769373734,0.006652621184329116,-0.00024685902818619843,0.38585897986596357,0.02166921044146643,-0.013434942686739107,0.019493431177242334,0.26046797578253106,0.21925876015481804,-0.13469289369332607,0.05311462118931512,0.03710535536647159,0.16497070029152267,0.03408336831859741,0.37206839203235814,0.20890235387985423,-0.16574237108840378,0.26262043447108957,0.2946426795636099,0.1376680303284816,0.24915072077162606,0.2858380111744735,0.39400030031654043,0.2763556376754721,0.43053082065897336
Thal_PuI_R,0.2922267041766362,0.16029669298902985,0.3996315440756361,0.49297282080877614,1.0,0.46447885722497073,0.22734039965800645,-0.08310233144250953,0.548030194824398,0.025027272630923875,0.059538935754834044,-0.21557141103101696,0.3022289822309967,0.31412383336280303,0.0058413087165273695,0.24750389799002892,-0.016496627931732268,0.1801550061216881,0.4055441762259151,0.4326441790316298,0.17449080814766496,-0.05839816971803371,0.22527672558976414,0.6257331156788434,-0.30370376758300904,0.07471025766181669,0.14702494739102567,0.5832529466924955,0.3577082691234321,0.29757266176394087
Heschl_R,-0.031537146066971854,0.08993285691856567,0.4550088097095234,0.38546760769373734,0.46447885722497073,1.0,0.5335539145761866,0.1077719821259684,0.41702431840994897,0.13452761292732812,0.21997784554925243,-0.0005195905937403038,0.4458806256083605,0.48764502564650253,0.34305675967273247,0.3218530897238672,0.21772074716120035,0.024281814997841312,0.31458573160998726,0.24155137603579022,0.5555721136966825,-0.030497631259610802,0.2566627266430747,0.4155908821799974,-0.04178645718546494,-0.03610956185447934,0.11294645579075774,0.5747823647697138,0.23850285787339567,0.5307006994549195
Vermis_9,-0.33616560537299944,0.01654123027173147,0.34417214472001123,0.006652621184329116,0.22734039965800645,0.5335539145761866,1.0,0.09319980086119013,0.09736024579701635,0.0630480998544092,0.15852457248706167,-0.19279053511825328,0.352737193225737,0.3073689438602766,0.48761087072624687,0.13693435472978824,0.27491135791120874,-0.18044417731393592,0.2943747564379151,0.009603460574413808,0.3387351219164625,0.10606461513119622,-0.09702496898000869,0.2540935305512942,-0.32038655993424126,-0.15563182310023177,-0.19608248132989878,0.31345538874368356,0.001980935794572012,0.22505516049608543
Olfactory_L,0.07097035541726524,0.029902286351571522,-0.0964326160584122,-0.00024685902818619843,-0.08310233144250953,0.1077719821259684,0.09319980086119013,1.0,-0.04074823572583315,-0.08889460657074255,0.09646672281236114,-0.012584050775451336,0.00034484801327136613,0.19037496488842892,-0.10257390821266275,-0.07125736553325876,-0.0009079145145377215,-0.17885495097485116,0.12307484398258797,-0.05403905456723253,-0.13378842478392264,-0.11416595812636203,-0.03584005269206151,-0.2064925767771346,0.017128337381925398,-0.14681454154739937,-0.31632015988977474,-0.030311162425632126,-0.05834361983965106,-0.09499209241684281
Cerebellum_8_R,0.3270111339446153,-0.15307409597320903,0.25302719469355056,0.38585897986596357,0.548030194824398,0.41702431840994897,0.09736024579701635,-0.04074823572583315,1.0,-0.05929127061547976,0.09209310623696676,-0.15611866812821576,0.22458678607480265,0.4049974701452492,-0.15095662536134552,0.07991619023488394,-0.22382368430309196,-0.12509363383649907,0.28581064776156984,0.31617224163536883,0.2805182821127168,-0.13259447638274888,0.0888997447510792,0.342972686505742,-0.1757315672840215,0.13289021406206214,0.06769619497053014,0.4423968675868675,0.23432436223000233,0.22715651969536851
Thal_LGN_R,0.1515721785188573,0.21342304954724103,0.4294139567269352,0.02166921044146643,0.025027272630923875,0.13452761292732812,0.0630480998544092,-0.08889460657074255,-0.05929127061547976,1.0,0.006542602566847796,0.4832093727030544,0.5888884258340998,0.33147956598563183,0.5933499847200692,-0.08979467507756253,0.36837529789742046,0.4898897064512809,-0.3366566528655724,0.39518135746813815,0.5365415635717936,0.46482022285329244,0.07556474811197973,0.3704013363502883,0.519381928171676,0.1157895549313282,0.4738522506279579,0.3595945698371332,0.3989912273931208,0.5725716779997876
