,Caudate_R,OFCpost_L,Cerebellum_7b_R,Thal_Re_L,Parietal_Sup_L,Occipital_Inf_R,Cerebellum_6_R,ACC_sub_R,Hippocampus_R,Parietal_Sup_R,LC_L,Cerebellum_8_R,Calcarine_R,Temporal_Pole_Sup_R,Thal_PuM_L,Cerebellum_Crus2_L,Paracentral_Lobule_R,Cuneus_L,Thal_MDl_L,Thal_VL_L,Temporal_Sup_R,Temporal_Mid_R,Vermis_10,Temporal_Pole_Mid_R,Vermis_6,Thal_VL_R,Lingual_L,Cerebellum_3_R,Occipital_Mid_L,Pallidum_L,Lingual_R,SN_pr_R,Frontal_Med_Orb_L,Insula_L,Cerebellum_Crus1_L,OFClat_R,Olfactory_L,Pallidum_R,Heschl_R,Frontal_Inf_Orb_2_L,Precuneus_L,Thal_PuM_R,Red_N_L,Putamen_L,Thal_MGN_R,Occipital_Sup_L,ACC_sub_L,Thal_VA_L,Putamen_R,Cingulate_Post_R,Temporal_Inf_R,Thal_VPL_R,Fusiform_L,Cerebellum_Crus2_R,OFCant_R,Cerebellum_8_L,Vermis_1_2,Temporal_Sup_L,SN_pc_L,Cerebellum_3_L,Postcentral_L,Temporal_Inf_L,Thal_PuL_L,Rectus_L,Hippocampus_L
LC_L,-0.024989941213745027,0.2984844052357167,-0.030756107198638992,-0.2589642785371008,-0.21322940725666764,0.0544633179345233,0.3626719626444403,0.10487387105749599,0.003944431437795951,-0.3093049427987187,1.0,-0.3325426513748082,0.20012148464557827,0.15104952444769298,0.123046791554863,0.0723729668837779,-0.0243416919839062,-0.12823171631096686,-0.2752659310334937,-0.041472258843611956,0.09138458088891586,0.12412857850030015,-0.05929894208175022,0.23264128581586,-0.31898141955107806,-0.12482556486673754,0.5689323752532123,-0.1304160540446825,0.13331923429251125,0.14080659420881228,0.32183592401226196,-0.1082530039390367,-0.052762263223844835,0.3264945217675313,0.42390618176931905,0.04060069698508962,-0.23367232015484757,-0.05293200024860027,-0.07758074557756663,0.1651977427914487,-0.09686688358259128,0.114379764306998,-0.15814725200136648,0.14669210311125153,0.2516540818007993,-0.07815538028985651,0.021579518686977186,-0.05767924632308058,0.07583960377073538,0.0972143103404602,-0.04332218381598281,-0.030801448141050677,0.30927856693046624,-0.09983152996959048,-0.03437999242843544,0.13988716439838988,0.608059277595773,0.2891676630223298,0.21638180099860385,0.34513000015384554,0.012467685492425997,0.36598909057089063,-0.07939161075822587,-0.26367467198023337,0.015686412363634473
Cerebellum_8_R,0.16865883815109495,-0.041792566827422384,0.12875597047615592,0.09209310623696676,0.3270111339446153,0.042428644613020525,0.10702266978858223,-0.028598295073372467,0.07560507684477091,0.47161264591977975,-0.3325426513748082,1.0,0.1345455091391599,-0.0180114925555159,0.342972686505742,0.10354724295976939,0.25302719469355056,0.4375540936533293,0.11116286704334088,0.24971248842749136,-0.08436246705175823,-0.006054495662164555,0.28581064776156984,0.09642261864748296,0.08437020505249423,0.1756663392473665,-0.12509363383649907,0.574236792176233,0.042634595685773866,-0.15095662536134552,-0.07678469589915375,-0.12840649494196796,0.19554332601484545,0.010788070702778069,0.3745766842863678,-0.0697650383734158,-0.04074823572583315,-0.16945899392851382,0.41702431840994897,-0.041223451984300476,0.31617224163536883,0.33435377793449533,0.10597801051156047,-0.1082660102671238,-0.02147688143829168,0.21404422275404641,0.032440235186677956,-0.007429393453375456,-0.04687091136522845,0.23318987303428002,-0.0388041192649222,0.4423968675868675,0.19562857532808456,0.38585897986596357,-0.00330624548578685,0.5095413077800431,-0.15307409597320903,-0.0449608427896802,0.177625868480566,0.05525424304944356,0.30847122910828473,0.03179460034889314,0.07790838842269114,0.11233002700397711,0.15938963309983256
Calcarine_R,-0.14738234907567374,-0.030798111875290867,0.12529395619895178,0.023777151219314858,0.42931900417359226,-0.04996997302972444,0.7169354526847367,-0.0952585824163308,-0.12883898883076028,0.30982937676869166,0.20012148464557827,0.1345455091391599,1.0,0.5104158696812543,0.23727608346593085,0.24935367127495356,0.11932010659988615,0.688848772818676,-0.22225716041261714,0.023972512665161677,0.22269927084422286,0.3878443857715521,-0.09444956337136778,0.18323359088301694,-0.4408116963588423,-0.2532669562857306,0.6114915403329882,0.2320026031669126,0.6644310613390304,-0.22349481491831835,0.542069587960513,-0.12456322335840948,0.05272902029641416,0.08806361454357432,0.33457677044053774,0.12801090034502657,-0.11920953746087942,-0.11892265719393717,0.07647806147391419,0.09235146842393603,0.4964262113443067,0.3595609361544478,0.0454253024497338,-0.18316142875080538,0.270086356000483,0.6300373765488935,-0.11572200534992201,-0.07444249952441093,-0.1371599534018718,0.5603488850318029,0.010265960463114924,0.3551498471335074,0.24510521004028465,0.3089176549110376,-0.07084732390673035,0.41637371520139715,0.22152516487726387,0.1472562082809947,0.09321878678021096,0.4376963366536433,0.22735727694563046,0.14873772189145362,0.1970969408590759,-0.1319195383706505,0.032713811781515466
Temporal_Pole_Sup_R,-0.19878097923466118,0.10796365820353397,0.16778886497015522,-0.1698772328492961,0.24185806513592198,0.008189543828064319,0.7858738439250966,-0.12496388147275325,-0.38621758185446947,0.19088428336514046,0.15104952444769298,-0.0180114925555159,0.5104158696812543,1.0,-0.09308098413086728,0.6323030785723555,-0.1439341135791567,0.32818304018791067,-0.21077657594911278,0.010098435580048427,0.3533596124962254,0.3167441897230408,-0.5196920444724554,-0.045595702163050145,-0.6218034222119133,0.0727981521036209,0.4671562420967839,-0.20266969399950582,0.36319497781318716,-0.23901486473952874,0.6047804976938715,-0.17014795295331694,0.033711241279829766,0.0797743339075221,0.12569263921276153,0.5056697668032853,-0.1012096300395433,0.12972597018848822,-0.027563976878178766,0.23469886461686082,0.1508065616925265,0.054662884716474715,0.4013256099243537,-0.031688871205274485,0.10343138340066518,0.5319170710669117,-0.09693215072125196,-0.09756199367269337,0.03281475413041519,0.2992128014037323,0.4360793570843513,0.036343423267144064,0.054625879651287186,0.38406491408724835,-0.06992015519709062,0.48613437204603865,0.29174262653128546,-0.019229461887354294,-0.1338272695813533,0.5635989158574713,-0.034046292128713754,0.32939584981046777,0.007948410883755148,0.18852967024801096,-0.2003943591837668
Thal_PuM_L,0.35952991344297547,0.3258759255046761,-0.029158051020368995,-0.08133119939136259,0.2531936793885263,-0.017100025269753474,0.1419215015609767,0.06913373416018798,0.5165344779080326,0.23621550927398352,0.123046791554863,0.342972686505742,0.23727608346593085,-0.09308098413086728,1.0,-0.11524384644233097,0.6332721102319887,0.2223637685773637,0.25694825786470527,0.601546812921614,0.27073612509604006,0.3714686352720049,0.1910926608011418,0.03236926471735233,0.08614829362454499,0.42763407809420056,0.4638381161229868,0.6104907289151706,0.1506679639137139,0.35683495544718213,0.3427080316511622,0.022725982474477935,0.12294595375259605,0.493041815818285,0.2715421884117342,0.045502828482684464,-0.2064925767771346,0.12815816176235145,0.4155908821799974,0.295983970046415,0.5312240343977535,0.262884249042063,0.18164880107112127,0.2860265670470724,0.4814923456036781,-0.031972092186449315,-0.002375092040339026,0.14785009985380204,0.2860290515265209,0.5279874998188522,-0.05310471618389272,0.6134457431346435,0.677868607470969,0.2946426795636099,0.09548102207894002,0.17072414877371025,0.2738023889420827,0.5549881750306013,0.1956840733848843,0.3170658426839135,0.5911153089345365,0.3583828558687564,0.4515820609260259,-0.19581479880891645,0.6216857731668276
Cerebellum_Crus2_L,-0.2473975168153222,-0.1817762585885839,0.4315513756217377,-0.15169014206520356,0.39133775190697784,0.31566566609809243,0.5237799713805361,-0.16138497606102278,-0.3533132123707175,0.35270695642505645,0.0723729668837779,0.10354724295976939,0.24935367127495356,0.6323030785723555,-0.11524384644233097,1.0,-0.2063024491997472,0.1763129447623462,-0.1528871770031449,0.1211290803214949,0.3276911634794626,0.2628789048598211,-0.4663073192852382,-0.260897758065341,-0.6478784983121425,0.16355720956349287,0.35206420982157643,-0.340520775476731,0.2376689060769715,-0.3308647030077904,0.5335905084504504,-0.22332253847589953,0.2064096210318307,-0.1614608781078746,0.3089901587940416,0.2029982250352996,0.0007040484352863548,-0.04281179602672566,-0.2384100399702929,-0.10853929150059068,0.0736226301173105,-0.14040677426447035,0.4759318675698903,-0.16948023029188075,-0.02679917457835422,0.4969226445613322,0.1091222337551156,-0.22473864577517455,-0.05546445340996774,0.10584048840126076,0.3514713688273515,-0.13393969689472227,0.0871171028572928,0.16905084078868882,-0.08249915986212732,0.449372849036452,0.16762854280800005,-0.13989944246427588,-0.28116184603299493,0.5881660468929385,-0.09409756188065885,0.41968274944772666,0.14263205773214005,0.26698959341862305,-0.22762479033147823
Paracentral_Lobule_R,0.4437305177961234,0.3241192486816431,-0.0998986431914305,0.15448716019612035,0.3952559561276987,-0.09551731645121637,-0.01998189991889467,0.05939476128824007,0.7119686615675413,0.43504747022818485,-0.0243416919839062,0.25302719469355056,0.11932010659988615,-0.1439341135791567,0.6332721102319887,-0.2063024491997472,1.0,0.1416986036772491,0.3429640812293642,0.46155312810979315,0.5607637808312212,0.49196382238104114,0.11476818611365708,-0.1292904797554119,0.26425781334492404,0.31444720953139177,0.32365964357692517,0.6199088837285083,0.05722743345157707,0.3883183577743252,0.30690437633527745,0.27290870592107164,-0.05736304471381626,0.37088977134006695,-0.08584335111396173,0.08337874042154102,-0.0964326160584122,0.38099045527578823,0.4550088097095234,0.3257861005360019,0.7600902566732736,0.29034505452518433,0.12114926938553244,0.3753372862514888,0.42579486878214334,-0.1672910472200588,-0.14374526019127534,0.3564182258176146,0.4535882022843929,0.5358857619237422,-0.03595186320520754,0.5664278852586558,0.6092394565021964,0.29475684024320614,0.08175323309344613,-0.007903437164188253,0.11890171426473492,0.5551768585103274,0.16259088531969199,0.19203876819437532,0.7566293796957769,0.2235526583923954,0.44769392900477,-0.09041682145316075,0.6856335528083616
Cuneus_L,-0.28341108480548854,-0.07045447088816595,0.14368434787454884,-0.00421961679114279,0.5352946148906278,0.00024411991776187209,0.5302910627545505,-0.0863673146336286,-0.2415428994312354,0.5159065926184679,-0.12823171631096686,0.4375540936533293,0.688848772818676,0.32818304018791067,0.2223637685773637,0.1763129447623462,0.1416986036772491,1.0,-0.33193004914662166,-0.10017310727456519,0.013404441431786668,0.2705440461060895,0.1581854233415442,0.31449477551499155,-0.3611837921763672,-0.24492914609115768,0.28147928527173127,0.41521776419589773,0.7137102132736022,-0.3453776561310326,0.2332822370374062,-0.26373783204090684,0.10217301890054682,-0.022706942102711705,0.3252965603770494,0.04490204036057239,-0.025222460286998507,-0.22525814404360378,0.1898592981245919,-0.029071059354428153,0.43958414602094126,0.47412275022250117,-0.10335407067888533,-0.20670291661008555,0.05013145826525881,0.7643163888849127,0.0037085222288023825,-0.01788839033278436,-0.28189519165517596,0.3455298989417756,0.24542072998782624,0.3047511126648683,0.13379762727263164,0.4215219311598377,-0.07569393626017211,0.5129204754460859,0.05297766892377685,0.02243394306022657,0.20312455072321667,0.204050715705383,0.1718750573873966,-0.021401641473972995,0.1809865623713103,-0.09251129082112781,-0.09589729078707493
Thal_MDl_L,0.6472414941979431,0.2585944919616617,-0.16986818728720085,0.21554345167015737,-0.06465949840474634,0.07206148568140372,-0.4192219000021319,0.039332886123085116,0.6034836124220085,0.024383738635802014,-0.2752659310334937,0.11116286704334088,-0.22225716041261714,-0.21077657594911278,0.25694825786470527,-0.1528871770031449,0.3429640812293642,-0.33193004914662166,1.0,0.6959895266120449,0.2247802156991972,0.07801939483926851,-0.07474051548670495,-0.5785678279991496,0.5128099046180352,0.6846716545712471,-0.15925133312086076,0.21039189361176078,-0.41338777770043056,0.4872338296145486,-0.039762011815600025,0.46856561884616305,0.016568656596192364,0.2705116291649014,-0.3685763421597434,0.1821423736668538,0.10799408981327278,0.3152173522993626,0.3497811397458322,0.3714273442035228,0.17960093790196419,-0.24824599980013837,0.2718351023213377,0.31155173991267104,0.2853966411856197,-0.4283542542177215,-0.02288000751361769,0.10965146221284179,0.4570752470527931,0.16769819873309078,-0.08839346722108872,0.3726703063574674,0.23040881182706907,0.0179297820184264,0.02640484630596967,-0.2965534078936546,-0.2731359329884356,0.20401571778059172,-0.10605810257282437,-0.09966231171717473,0.284689846792554,-0.03830253337819695,0.11600147304890232,0.08045260659057829,0.5714851458048213
Thal_VL_L,0.5824739569302076,0.3295248965286073,0.09752291634338431,-0.014272857416563119,0.2256416976723047,0.11872192713598571,-0.0728851280122559,0.009691472962725614,0.56910886727013,0.1993619282765394,-0.041472258843611956,0.24971248842749136,0.023972512665161677,0.010098435580048427,0.601546812921614,0.1211290803214949,0.46155312810979315,-0.10017310727456519,0.6959895266120449,1.0,0.3839353361865643,0.312455663559234,-0.16307375815308037,-0.4221640656974598,0.2077685634217718,0.7555294602967536,0.2766892230265557,0.27548041500618725,-0.1181442762634528,0.4995434595044805,0.3484979035803322,0.3824493558219396,0.11396317887814342,0.4747003682986193,0.00026388151082833194,0.19811037709022636,-0.04762923411117774,0.31173436021752865,0.28973175408980667,0.4213315005544237,0.3669263765011856,-0.07623637147665413,0.49512847312830066,0.4524340184624197,0.3825178330042895,-0.1455958006260391,-0.0313419099985641,0.1698985735960418,0.5388622957624738,0.3632771378654416,0.02362793196386719,0.504858173604799,0.6376017192770288,0.11552279588230581,0.12165187423610412,0.0061831681149577605,0.06062998174855436,0.5315379788385137,-0.05220268719106065,0.39970575476421055,0.5519814845957707,0.43406814754485884,0.3396281442527192,0.07077925750430623,0.6811149515031906
