,Cerebellum_4_5_R,Thal_LP_R,Thal_VA_R,Hippocampus_R,Frontal_Sup_Medial_R,VTA_R,Caudate_L,LC_R,Rolandic_Oper_R,Insula_L,Insula_R,Raphe_M,Paracentral_Lobule_L,Thal_PuI_L,Caudate_R,Cingulate_Mid_R,Rolandic_Oper_L,Temporal_Inf_L,Cuneus_L,OFCant_R,Temporal_Mid_R,OFCmed_R,ACC_sup_L,Cingulate_Mid_L,Frontal_Inf_Oper_L,Parietal_Inf_R,Angular_R,VTA_L,Vermis_3,Vermis_7,Frontal_Med_Orb_L,Frontal_Mid_2_L,SupraMarginal_R,Temporal_Inf_R,Occipital_Sup_L,N_Acc_R,OFClat_R,Vermis_6,Paracentral_Lobule_R,Precentral_L,Lingual_L,Cerebellum_Crus1_L,Thal_AV_L,Precuneus_R,Amygdala_L,Thal_VA_L,Cerebellum_10_R,ACC_sub_L,SN_pr_R,Cerebellum_4_5_L,Frontal_Inf_Tri_L,Occipital_Mid_R,Thal_LGN_L,Thal_VPL_L,Vermis_4_5,Red_N_R,Cerebellum_7b_R,Thal_VL_L,Vermis_9,Raphe_D
Cerebellum_4_5_R,1.0,0.15240473039661176,0.3166813137279084,0.36229648612942716,0.3056975938480478,0.04802721546823678,0.30290164629782584,0.22128886665027078,0.47869681246670703,0.399980636317111,0.6068559235952442,0.3492079088121169,0.7314212135431186,0.5339654550202638,0.23054530605430054,0.7427824196663095,0.36990917554836955,0.5324549696896701,0.372405180166254,0.055869342786796054,0.6618179957504572,0.11061834568789612,0.2975036219634384,0.7689019390458548,0.3666447104513204,0.47461701474335255,0.5302120185307866,0.2815967614317605,0.6953904775137478,0.16673298830506772,0.0497848455230265,0.5499195635457531,0.6083217294938806,0.26442907749651823,0.30754196660482497,0.006504178100029941,0.2036977897199067,-0.18714009351567695,0.5822751001227159,0.6440988788733558,0.6927414384123689,0.17912044637333557,0.2755701941324487,0.6967732794690147,0.11957534034511154,0.2559815864359715,0.4465439445296135,-0.1623800521952333,0.23565714908043955,0.8224243906305219,0.45256688164463427,0.293333183476005,0.6597818782161425,0.6135703514162388,0.7016578113023918,0.30147102757760896,0.24005099366503627,0.5170173417994636,-0.04888838711807513,0.13810701015005558
Thal_LP_R,0.15240473039661176,1.0,0.5386735456674494,0.20576882443704242,-0.0735432410404414,-0.6436483975974095,0.4570461315070254,-0.4542694531924379,0.3077526809134532,-0.00662134540923918,0.04373396142190808,-0.1784751229467549,0.2787103315265853,0.07070970923443219,0.18478752625048356,0.04924678702754748,0.11645883422515857,0.25638287964468076,-0.3063216622767163,-0.022875419954604778,0.08917148702133745,0.20909878737137713,0.33910542390127146,0.08458674539767864,0.13101586217540337,0.23814123086590136,0.24527712649342004,0.5617893077813618,0.24266602380297927,-0.2964603434631713,0.09818527270028007,0.19120883949258083,0.298473490938027,0.06941726159179136,-0.07167904151415518,0.11162502097429998,0.14462677998955978,0.0027503630618005664,0.1357256784937758,0.3629213383465486,0.03787889943583881,-0.12696745630461354,0.1586511553166483,0.0824079259567293,0.31035762014985235,-0.22625847431713528,0.5031721181566884,-0.018565712546281227,0.03776482167498967,0.1324415392424701,0.21874834596088225,0.19757995000203935,0.1466930509337393,0.07147339135001755,-0.2660773989511443,-0.04655945860649567,0.1932774777952077,0.5854270490996515,0.0004266970483047964,-0.512821715277885
Thal_VA_R,0.3166813137279084,0.5386735456674494,1.0,0.6419304764478804,0.2884682867968374,-0.267046956013581,0.6533875044280143,-0.3583294291644352,0.18838814378671914,0.47385954083628407,0.4308928096043741,-0.18489400205169934,0.4279178813706331,0.23122552050112322,0.6225042444072405,0.20855881798001227,0.40687426644311636,0.22341870937995217,-0.34085188467481936,0.08470567837006157,0.15394538300775287,0.2472999241949785,0.5500330541296402,0.2583791319953508,0.4352369166851764,0.14415739400855823,0.03576861129855307,0.6140367933890858,0.5674931681983355,-0.37295485492662084,-0.07424009526653526,0.5337142249846355,0.23143928118991985,-0.11680654330773554,-0.3003157649856775,0.20856741790694885,0.3541191979037803,0.3659360615896183,0.37243012694386307,0.5053732539068483,0.10167236473485766,-0.3954161363976637,0.4787764609165733,0.2650950626601663,0.7167785380189726,0.14642583744165272,0.48256655205355076,-0.1489458916030378,0.5549282661238059,0.0889171190761384,0.49976054709743506,-0.09474340411260612,0.4016618880315892,0.3956399587892506,-0.19290112625741385,0.22224576605313676,-0.14031032457821668,0.614356136488928,0.21231697058406002,-0.49987768834046203
Hippocampus_R,0.36229648612942716,0.20576882443704242,0.6419304764478804,1.0,0.5585622029156357,0.13066704352457265,0.7411680682956713,-0.3362574703607624,-0.0016802840980569944,0.5588934522312009,0.4162801507781221,-0.18807031790592962,0.5750301663445955,0.42032531130614786,0.7969272394298498,0.4672027234849392,0.5282495248058966,0.14195493184712799,-0.2415428994312354,0.11377598068497852,0.310629100593406,0.13153382395673616,0.6689624563759017,0.42102799462977664,0.7565441182453716,0.1914177194862979,0.08036736713702236,0.33707691121155114,0.8017905019517787,-0.3856996773425689,-0.027029030686310403,0.73589575451036,0.32740586968988883,-0.21025543932569754,-0.5116130156979434,0.2768326356210343,0.24157520546218134,0.5976068510035842,0.7119686615675413,0.6211174113294662,0.14585957155628537,-0.2744838231179799,0.7554414271437004,0.49894407385020595,0.768242541852835,0.401609361628251,0.22406369468157794,-0.09365128147253052,0.615933054627399,0.1763628277860234,0.6831679749810664,-0.38158757444406793,0.36438478099747973,0.6237389339210974,-0.060640008240028145,0.2282752441950263,-0.2648341580947428,0.56910886727013,0.4819455905310516,-0.34133328935411317
Frontal_Sup_Medial_R,0.3056975938480478,-0.0735432410404414,0.2884682867968374,0.5585622029156357,1.0,0.2498829580873067,0.5242477178791982,-0.06823909224308666,0.11562987262334648,0.6143488743779951,0.5973578574012247,-0.04274802858127999,0.28379479020285237,0.2695378729648878,0.7056078570966433,0.5903804354898219,0.5491865344549266,0.0937501573493959,0.03243073486278005,0.06761063651981446,0.24340562391503157,0.11905705928152757,0.6415536281973819,0.6076117756672559,0.6643566227882408,0.2948810171672225,0.020509925702647015,0.14266015080230424,0.4916923026241553,-0.0503483083686756,-0.06769998214699682,0.6214267998426172,0.2836527900422299,-0.004871699744075529,-0.27172982502440607,0.2201455283383396,0.5194575053332215,0.33349052227077286,0.43890453269643626,0.3615721762006723,0.04954198856519905,-0.11766015106620326,0.46947748738100237,0.2644360591540303,0.3621070853194096,0.39150339316017285,-0.11337904153331721,0.008370547288064077,0.447275222316398,0.19744009976675966,0.5211536588839544,-0.21809791539597675,0.3839984793532331,0.32419533638795067,-0.0006374895672653602,0.5024300583199975,-0.36200243424338163,0.42268767594282985,0.35341356012196545,0.16926640882000732
VTA_R,0.04802721546823678,-0.6436483975974095,-0.267046956013581,0.13066704352457265,0.2498829580873067,1.0,-0.07277546352033219,0.3911200220811158,-0.18275330007560325,0.3148339248954137,0.19867039936887224,0.2697471110691475,-0.03867354089349464,0.12143371673438698,0.13009929434945425,0.2619623958990373,0.15131521787795815,-0.023351956185457712,0.1802518432744925,0.067385599471522,-0.009217485406527549,-0.10813914404312033,-0.09236098145055444,0.2442634714709971,0.17915843932842485,-0.06446879388160184,-0.10681201928680495,-0.36545866204417754,0.10459446052857908,0.2883385495212875,0.032177060615174655,0.043428248130448946,-0.05928657587465587,0.010822756727563608,-0.07615903890917172,-0.0922990562413506,-0.08693752949004381,0.12228608844284068,0.10186448839294608,-0.062430850255402834,0.10804444368665819,0.23869666203799486,0.14292016317023523,0.01486243303035382,-0.10560322187962928,0.2845926881650997,-0.33551809940293914,-0.0029769218693776016,-0.009812607438161335,0.08304014279967802,0.18304047215727218,-0.22495742946889125,0.09928122993173909,0.12499786783724055,0.2726197455741634,0.2549963571137708,-0.21346489723963852,-0.20039860843315596,0.13693435472978824,0.45651066639276755
Caudate_L,0.30290164629782584,0.4570461315070254,0.6533875044280143,0.7411680682956713,0.5242477178791982,-0.07277546352033219,1.0,-0.33723159588713186,0.1172606406674495,0.645418921238369,0.5138300418350847,-0.18728172769937312,0.42877548987940733,0.42856016357171317,0.729650587734787,0.4278325540883095,0.6080346584603475,0.1981577363658153,-0.15554335193904717,0.019170537105471154,0.29645923215264464,-0.0037905836783970652,0.6678594331601558,0.42169847028971225,0.6859239945089423,0.18111323526924655,0.03866221779473612,0.48437347034202755,0.6683351229319761,-0.331359192908783,0.06145913108447423,0.6058485836417217,0.3084843608494564,-0.05417544664502323,-0.3536464114142645,0.40096709392314006,0.42282720820893505,0.43969427236151515,0.4743807114741386,0.45975644753748907,0.14365684164198858,-0.1511273946553654,0.6993622085478003,0.2900903434390838,0.6620521805857826,0.15190643931159914,0.33460419582643564,0.008739159864266578,0.4122601052809824,0.24579613348761972,0.5972958988434988,-0.2423541149063537,0.4819051272898222,0.3922485008116743,-0.11702988370797464,0.2281824938046417,-0.23790102297170332,0.7182037524163012,0.40437602672040185,-0.34318077094515587
LC_R,0.22128886665027078,-0.4542694531924379,-0.3583294291644352,-0.3362574703607624,-0.06823909224308666,0.3911200220811158,-0.33723159588713186,1.0,0.4360028377687442,0.23081097669063552,0.16279596875234967,0.3808056466974179,-0.08869435403392925,-0.15456344802123795,-0.29989136706285063,0.25965184443478495,0.17672771919140068,0.3953895960273238,0.2032796227547231,0.028050194957109937,0.1425178845532259,-0.182333965501398,-0.1861262963696901,0.2755071002985037,-0.09926831800765686,-0.10641108719913552,0.06102998152192138,-0.3051196636032336,-0.01228313032951632,0.5934285135021845,-0.07401902483205887,-0.2523629955502741,-0.060076542874202624,0.3789433021140871,0.30711648709173034,-0.16111987707958916,0.0851692894016789,-0.5578315014561602,-0.1960535653985053,-0.23171934417279172,0.5541754624425138,0.3215446782447904,-0.23787586337945232,-0.05183827626347773,-0.3492154038770398,0.17055207178477114,0.1224992583820431,0.02480575776301704,-0.19905869046522726,0.38708315192714987,-0.06491677042188529,0.3844924970480206,0.3070767419665081,-0.03782495089606434,0.6363540792282149,0.15407483352002055,0.1842750464911683,-0.27045564047783094,-0.3180725562844329,0.3127712332511343
Rolandic_Oper_R,0.47869681246670703,0.3077526809134532,0.18838814378671914,-0.0016802840980569944,0.11562987262334648,-0.18275330007560325,0.1172606406674495,0.4360028377687442,1.0,0.20833100070032415,0.38138719393345705,0.26962755889992857,0.2522975363271738,-0.1675199132727855,0.010504317050470637,0.45949086212233103,0.235176964328494,0.5518886614358804,0.026772465513752328,-0.02048892112884944,0.5444391223561679,0.2148850877658249,0.11869853620481441,0.5278032017075583,0.10466483279193625,0.44719890605401613,0.5543105487350525,0.21369796531259508,0.2913714280902769,0.19306224753762855,0.07066510291302178,0.10545048042178387,0.5538915179134131,0.46068157534321597,0.28632100517230835,-0.006456705111753306,0.5611458415459559,-0.496067376959877,0.09628963314369507,0.21448861472890962,0.5976788146420625,0.04948499064675397,-0.005116351178713314,0.24115440921812978,0.010867914852908056,0.06606434226607448,0.5969704057298133,-0.08908844417113136,0.008810780014235072,0.5508279640773652,0.203065802367283,0.7323628726756141,0.42669975393956616,-0.0050851352263437425,0.38587199371151343,0.2687494177739991,0.1899549843713827,0.18305193055698715,-0.32038655993424126,-0.1312456462265248
Insula_L,0.399980636317111,-0.00662134540923918,0.47385954083628407,0.5588934522312009,0.6143488743779951,0.3148339248954137,0.645418921238369,0.23081097669063552,0.20833100070032415,1.0,0.7369188049418528,-0.0174016094083353,0.29880225442784913,0.3582289589074068,0.6425256135366676,0.5462610202940826,0.8363405577660763,0.44455057342699816,-0.022706942102711705,0.04587611522671818,0.2200006622167446,-0.1261297003378838,0.6370188665801395,0.5584426305605334,0.6764127754607663,0.010280689937593708,-0.1204696771773782,0.3304054672536784,0.6647371884473814,0.08451016382672923,-0.11124194411623141,0.5156551111068076,0.07965155706762654,0.019060377498369894,-0.2549215095221943,0.2730541232588278,0.4469263734848569,0.2830726344416992,0.37088977134006695,0.3103783828867149,0.3709860501807142,-0.10519434503703542,0.5847886168557055,0.16602919578274525,0.4714190995859533,0.39241934139282864,0.24678414568052667,-0.05690476188377897,0.3571058331870222,0.3939058387650679,0.6410205809795001,-0.2580257323340718,0.7272199492858,0.42531078597424105,0.22602958067116843,0.5333900359156148,-0.319963608303031,0.4747003682986193,0.4044334393824717,-0.06749589208377078
