,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pr_L,Temporal_Mid_R,Frontal_Inf_Orb_2_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Temporal_Inf_L,Vermis_1_2,Thal_VL_L,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VPL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_L,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,Thal_MDm_L,Postcentral_R,Thal_PuI_R,Lingual_L,Red_N_L,Thal_VA_R,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_AV_R,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_IL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_R,Thal_MGN_L
SN_pc_L,1.0,0.3283701523096563,0.06491685681921826,-0.16937325564931519,0.11212490298860046,0.38859893671987905,0.20312455072321667,-0.27908412125978277,0.05697123830081524,0.3669766131034596,-0.11522152301390365,0.2016658808799208,0.18201817168584766,0.16259088531969199,0.23193294284379187,0.3243494380936646,0.227559396835369,-0.08565128684507908,0.03246565628567329,0.06837511003518577,0.41467987967074643,-0.10573428625221612,0.41267633014272087,0.2868308159192579,0.2408917291652182,0.2499259565370437,-0.2667725513924212,-0.1201586290137617,0.04178665216066501,-0.06955749947801668,0.2579933511399163,-0.07228358466120342,0.10311827471837726,0.09392881638321657,0.11057637656655109,0.07219070213902724,-0.045791517325614615,0.23402245980762187,0.14879500416674873,0.3406076165601995,-0.016953038610322588,0.12948302567703,-0.05220268719106065,-0.5472877989147936,-0.15701452557673085,-0.07755171545459412,0.42675197482733207,0.02747304381068841,-0.060168829832870724,0.16336577858257448,0.48226467537804124,0.2303123848636493,0.4892125619376655,-0.2056708446578083,0.22295521996659257,-0.07492845116541721,0.00906207091182804,0.6189874045182093,0.08063186169698343,0.24567493315073743,0.07130332618986283,-0.5801987620696099,-0.0973452895287685,0.30911564911319606,-0.044804889728123756,0.03497750345661965,0.02270196261039234,0.16439080588271116,0.04175665697183473,0.24395025446000895,0.42609894680193167,-0.4011843238897475,0.1956840733848843,-0.0027698342138722846,-0.013350420768790247,0.21959002357032287,-0.1338272695813533,0.06729629193319034,0.05757658347264653,-0.12592693186176637
Thal_MDm_R,0.3283701523096563,1.0,0.44157275717245964,0.3365619798663093,-0.15163988048722107,0.5181032214552592,-0.19671421882277415,-0.06251615937699688,0.2198318766286831,0.3631322299279797,-0.3133555544609812,0.5346135189678279,0.3089122387642327,0.48587725097254963,0.41276606977352864,0.47045071653878134,0.3869360573154887,0.24475973619254132,0.19150847184327116,0.4755431341587833,-0.24366975927737516,0.5396316076702515,0.4984201490064521,0.48803563924319837,-0.2813415382101991,0.680905321383651,0.293351550793782,-0.011270332158592414,0.245827460515939,0.28713340947725063,0.5056610150004315,-0.07235746678396929,-0.008635764293729508,0.6159330664929865,0.3308460138222781,0.5157433953561409,0.1615370642473771,0.4660471956677803,0.6359110748043691,0.4198842367322038,0.10702367908261588,0.0011143535775863932,0.5675734148844995,0.307192470593047,0.1151963495627792,-0.40232551093889585,0.49945455432852576,0.634011135535106,0.21734083095533238,-0.2853482880565254,0.5176442653114075,0.6031179080324967,0.32717377656167884,-0.2251709809027048,0.5874034008749767,0.17793439541771608,-0.32564620700109004,0.43674018488802796,0.5440456544556919,0.1129027999940987,0.011474078081898601,0.050604841277488585,0.5674529207739898,-0.22412219783097934,0.09612556369136345,0.4786628264049054,0.2543941437070678,0.652299964883486,0.1757091307291047,0.26738911505830465,0.5637360587568352,-0.09274117981801702,0.29249273530322467,0.0078096461822360205,0.32317009619517456,0.30551129882859923,-0.09557732420659457,0.38706127882862146,0.0997970476736902,0.19864815289078802
OFCpost_R,0.06491685681921826,0.44157275717245964,1.0,0.20817166336526619,-0.4579400161739921,0.2654821258079534,-0.4187201747064455,0.05392885311665238,-0.3283999747547147,0.19659156698515937,-0.46221632682851155,0.45994775233005325,0.09298829694814192,0.2733206809239054,0.32492644145750593,0.5537981389284742,0.15677651117886773,0.19969000278771998,0.34831680659710645,0.28236338713268344,-0.3571460882087176,0.573030833339123,0.3381123958031432,0.19650454929683117,-0.38435235066226575,0.6733778358372161,0.0993311244531438,-0.1069911164810044,0.08815781641849564,0.06957844973966808,0.5413436838574538,-0.12593118756551555,-0.18457787978716803,0.6969599280781874,0.1013844455024545,0.6227880380015302,-0.04735024670728616,0.39938978241447565,0.6150680420301089,0.2672563174907977,-0.005246573278059909,-0.29883580209237964,0.34969079564052397,0.23877189756929004,-0.07142910924837735,-0.46142913808426533,0.21938648298742316,0.5212251032289466,0.06697390195055117,-0.026598641528507095,0.12935915158757028,0.46054782345630807,-0.05511586202981336,-0.14077842271324,0.5916222163970198,-0.00909914648388919,-0.5419004480630247,0.14580099960836995,0.27897840171411414,-0.08695610801032669,-0.23676848308464596,0.09438463003061083,0.6137001597524104,-0.43351124313470735,0.08997976363656861,0.3734067945293801,0.11715005976594127,0.6289768690695582,0.005293370476940055,0.02971580070934916,0.4274004239447209,0.07457693986517619,0.10038030158874495,-0.13420652635018718,0.23045833593992923,0.11781715216902611,-0.3766380566947679,0.18709409137720212,-0.17902603438541417,0.3375689260273298
Temporal_Sup_R,-0.16937325564931519,0.3365619798663093,0.20817166336526619,1.0,0.041557437843478845,0.18652435545954693,0.013404441431786668,0.24467682458473403,0.25685317244138034,0.12144323051370308,-0.005061683078453791,0.3062254846020028,0.39670591056480853,0.5607637808312212,-0.047126810479879606,-0.03383056837539648,0.40831238744195597,0.4076996061559885,0.08206028313357548,0.5224411153076702,-0.27120564837363714,0.6495677264918384,0.23117759656047446,0.4685870442897681,-0.05032225830363649,0.4632109355531611,0.5946684500115086,0.5251560445911069,0.6099198311091337,0.7690168665242136,-0.17595161242337398,-0.15684678417759357,0.32097369848651,0.47418065955861105,0.2717580657925913,0.2714195898916171,0.7389453100741618,0.3074703136907391,0.4762198616435868,0.2246766554557383,0.4365675535043278,0.23407343081100151,0.3839353361865643,0.396281929083585,0.7422774560885955,0.0634413267346906,0.2519610815893827,0.3848075541674169,0.6310226266211214,-0.0386675831078539,0.12190166677368272,0.35213802584754716,0.15227145622934407,0.1596371056598652,0.28293616459286575,0.0966799516563788,0.27169608592866995,0.04044807301604854,0.7581435965330336,-0.07937049956609858,0.5821069199686071,0.43832097820056415,0.43441549122596684,0.048421758061575226,0.16231227129649536,0.7391889394776862,0.5564057470813065,0.3744140569043592,-0.01837971648293762,0.07467340319513385,0.22780320394423875,-0.033238162120888266,0.27073612509604006,0.3936904842667254,0.4496626174060138,0.4643886574452427,0.3533596124962254,0.5742363030851407,0.17895419885720995,0.29760799048431924
OFClat_L,0.11212490298860046,-0.15163988048722107,-0.4579400161739921,0.041557437843478845,1.0,0.10883652670559722,0.4069996183572253,-0.047029743000881676,0.29171463968354466,0.41789299824106324,0.3782801327742963,-0.21467571735325283,0.34573783875571973,-0.1301136034734417,-0.1894269969695029,-0.441586688787346,-0.07223004448826417,0.02844734691504197,-0.24839383970744952,-0.16020050579370743,0.47217650542152206,-0.04791564555048452,0.2305730701760066,-0.061606217821234883,0.3066147317208318,-0.333026817692258,0.022893119520841672,-0.009947111194212304,0.041967235647400125,0.13728467697521038,-0.4601930046410326,0.023774116284625075,0.07598339270269547,-0.2660465593101058,-0.007590633196074549,-0.2864050831051627,0.25323354588935515,0.26046913455720466,-0.1736353837075476,0.23479721873126685,0.18015643539624096,0.3170447566188487,-0.08474496217840306,-0.16832223806076335,0.3573066398262019,0.43392816897344694,0.13441743742053894,-0.08685991557243454,0.2191083955268812,0.03280445192114571,-0.1721444285978479,0.09230458424051306,0.21528493990971093,0.06206439285411934,-0.1865603755188485,-0.09843114601102328,0.7712235319767625,0.06548922728830672,-0.027046672798875394,0.23979590152200886,0.3982618413193239,0.06185842245323653,-0.24718096051124375,0.45809570276449796,-0.06859796673921972,-0.04901241162454054,0.09260117150660171,-0.2292067013889378,-0.18929437427994436,0.08094794511154237,0.12984297751917984,0.01700615486706568,0.17286712387670464,0.1998223458022947,0.12622583329409925,0.16593149490045694,0.6538053324309385,-0.11393393428587843,0.4414857345654041,-0.16887804110749313
Heschl_R,0.38859893671987905,0.5181032214552592,0.2654821258079534,0.18652435545954693,0.10883652670559722,1.0,0.1898592981245919,-0.14577494988153725,0.06626695973638956,0.3621253322909838,-0.33413733517726046,0.441695270173195,0.26935722982028876,0.4550088097095234,0.5335539145761866,0.2710978166989467,0.35972846207927317,-0.0005195905937403038,0.21997784554925243,0.27709567646210537,0.11320308279484813,0.3366505027139107,0.5158484210754598,0.4329876639828048,0.12423471275089411,0.48983799237389686,-0.07335263504333188,-0.031537146066971854,0.24155137603579022,0.2982724662147651,0.36624801920737643,-0.06744548605142821,0.22337052131778326,0.4176789108623258,0.3248654496121833,0.4505194370649053,0.06130394537863198,0.4217387891688319,0.6079001339661579,0.5337133849772061,0.004416550164493666,0.08993285691856567,0.28973175408980667,0.004376780189556012,-0.04178645718546494,-0.2788899591542493,0.5747823647697138,0.48326820341699406,0.3375778104080327,0.11423456162526116,0.2638108456479514,0.5555721136966825,0.49079476550790824,-0.3507029980027623,0.34305675967273247,0.03799566881800772,-0.025242438206967463,0.48894393490675003,0.48962769836829195,0.46447885722497073,0.024281814997841312,-0.04612957497808888,0.25260330625802213,-0.19229549294855072,0.25906284701080373,0.29255039371090796,0.23552167979378322,0.5023158471507262,0.1077719821259684,0.3957885984567621,0.6089491006279757,-0.018175659953057633,0.4155908821799974,-0.06687424073600695,0.2039001347218542,0.3315407997658534,-0.027563976878178766,0.1462230391856223,0.38546760769373734,-0.030497631259610802
Cuneus_L,0.20312455072321667,-0.19671421882277415,-0.4187201747064455,0.013404441431786668,0.4069996183572253,0.1898592981245919,1.0,0.00024411991776187209,0.24542072998782624,-0.07587940602544585,0.3937714065539453,-0.21832204769701985,0.07468097069530487,0.1416986036772491,-0.178012283503354,-0.22247589857696998,0.02243394306022657,-0.09123937050338744,-0.00421961679114279,-0.004147425265731219,0.5118425713105172,-0.2534531345129625,-0.022706942102711705,0.1718750573873966,0.4036309366956108,-0.2415428994312354,-0.146898100168906,0.5352946148906278,0.43958414602094126,0.31964895568211743,-0.3611837921763672,0.0037085222288023825,0.713902365160084,-0.25736281918142,0.26693739278158,-0.2362823961973884,0.2705440461060895,-0.029071059354428153,-0.09917639421627873,0.22989979153735668,-0.021401641473972995,0.05297766892377685,-0.10017310727456519,-0.3063216622767163,0.026772465513752328,0.7643163888849127,0.3047511126648683,-0.15554335193904717,0.37813657465751077,0.2102280487845296,-0.01788839033278436,-0.06318498095043808,0.3338146958595318,-0.04246535790015977,-0.3453776561310326,-0.09251129082112781,0.5302910627545505,0.1712995816674109,0.11282824691320562,0.5048954885211671,0.28147928527173127,-0.10335407067888533,-0.34085188467481936,0.2032796227547231,-0.07898883744060099,-0.050965574198423215,0.13379762727263164,-0.2841377438735511,-0.025222460286998507,0.4121253606142786,0.03243073486278005,-0.19350930601156066,0.2223637685773637,0.28096717515424213,-0.03389659259541432,0.3143111222370793,0.32818304018791067,0.1322347134752672,0.4215219311598377,-0.2663540672408249
Occipital_Inf_R,-0.27908412125978277,-0.06251615937699688,0.05392885311665238,0.24467682458473403,-0.047029743000881676,-0.14577494988153725,0.00024411991776187209,1.0,0.08442665010248958,-0.2884107504783719,0.03158710334503013,-0.07344153002583301,-0.1612274408284803,-0.09551731645121637,-0.31671351851385,-0.05496753886066452,-0.21235530732584046,0.019505704978083405,-0.014416870984678958,-0.10341353672390667,-0.06458411887295358,0.1376250706071911,-0.23436831227285207,-0.19700867455162507,-0.009656128747126739,-0.08049187611981556,0.0624558995140333,0.31592293933140475,0.01639220304653529,0.3267323327090715,-0.3103039840943613,0.08507108902067861,0.13835270143135894,-0.1527400615016379,-0.12183732523463142,-0.03769616173879815,0.2468055092846115,-0.19111292103951158,0.0059480205816277,-0.3235236623800805,0.08120273574918396,-0.07222727478027101,0.11872192713598571,0.31229347778737365,0.24737499955972422,0.21763728217883824,-0.20200393525535554,0.10583474376222358,0.31887616551192377,0.07441534271990376,-0.4177638857917931,-0.06373424165478427,-0.2945543698757819,0.10266605070766976,-0.16446519033580143,0.022359138033566095,-0.015923876760444933,-0.3960096691730884,0.08531039672090941,-0.12178568415234924,0.08978526630203215,0.11923125509250582,-0.014263738404480303,-0.09404342263724133,0.10534457468986419,0.11227963558596257,0.1353765399749536,0.006135632613813359,0.014608721361416561,-0.23863714060438085,-0.08258821142735129,0.009252506904157663,-0.017100025269753474,0.16216562465007142,-0.06700715628141557,-0.10003918285607528,0.008189543828064319,-0.03497097537006025,-0.1617739289299604,0.20974538744725876
Temporal_Inf_R,0.05697123830081524,0.2198318766286831,-0.3283999747547147,0.25685317244138034,0.29171463968354466,0.06626695973638956,0.24542072998782624,0.08442665010248958,1.0,0.062073451422618296,0.3303812128411968,-0.21356091410365194,0.09737938571943404,-0.03595186320520754,-0.11301480182654895,-0.23503519596359504,0.062354947813899206,0.09995247208235579,-0.26824396546883056,-0.10093851400727549,-0.04487752435096924,0.08462709417462222,0.019060377498369894,-0.006886840298574964,0.3288744999246328,-0.21025543932569754,0.3621494259676158,0.19514525681117179,-0.01820096387919679,0.20793592539136516,-0.34841002300112134,0.06094445930793667,0.15544018523487813,-0.2474905728606866,-0.030431606287243007,-0.2598994619129256,0.2914629902896683,0.020766491831804578,-0.19718361528882428,-0.04815785970780816,0.19468193467297779,0.26436197470965545,0.02362793196386719,0.06941726159179136,0.46068157534321597,0.24028771612930458,-0.014011012984296349,-0.05417544664502323,0.2304122811699117,-0.22857837807678522,0.2167801497975215,0.05984705703860941,0.14497705759146187,0.056684882288084576,-0.13527398527150242,0.24795703153262713,0.2689359364201297,0.0991548076282938,0.10618803639943561,-0.11833674162272967,0.2523597443127603,0.07083500692500376,-0.11680654330773554,0.3789433021140871,0.06607291109590288,-0.04165455138265843,0.03575914161539381,-0.2529491547638421,0.1270885227298945,-0.1306648377452138,-0.004871699744075529,-0.1226349516997073,-0.05310471618389272,0.14907233466220135,-0.1451652388173964,-0.0557858563521501,0.4360793570843513,0.007689827580762795,0.1900466531371675,-0.14480483758128004
Red_N_R,0.3669766131034596,0.3631322299279797,0.19659156698515937,0.12144323051370308,0.41789299824106324,0.3621253322909838,-0.07587940602544585,-0.2884107504783719,0.062073451422618296,1.0,0.08127765898918876,0.13868396598400476,0.5441456744226407,0.09403446807850095,0.17399483989190137,-0.03253233383548856,0.16824094000245246,0.17579521222466038,-0.02946661305520543,0.15182563752439426,0.23564200392670243,0.29309146115864304,0.5333900359156148,0.1820902111813209,0.07969481875861613,0.2282752441950263,0.07470386380074771,-0.18842156845529712,0.04191097999932404,0.03708070091814565,0.1352153761694862,-0.14155647114909042,-0.2117304188778414,0.308854275288777,0.18915063141778218,0.20111658424240425,0.11402948956955974,0.4684073386706811,0.24314660179615813,0.45658809123124106,0.331306681542604,0.1879924112708652,0.2796945662185625,-0.04655945860649567,0.2687494177739991,-0.12287971093401678,0.4167449290874364,0.2281824938046417,0.11496526500390217,-0.053386300252228056,0.29577725071288175,0.45236018222339586,0.30013675263555567,0.09230391396435046,0.28104397272199544,0.1992884866035028,0.24772569421135726,0.4488945754718795,0.19120466895918445,0.03345063339656628,0.16387008289980018,0.10081470907854928,0.22224576605313676,0.15407483352002055,0.021139074779737144,0.24952249740751867,0.16748837435657735,0.24864219108691152,0.006514737807338158,0.1655108826208753,0.5024300583199975,0.16616503160519136,0.1886262808732526,0.09034742261646063,0.32661280401719367,0.23856488551496546,0.3182236416143358,0.06618246241725659,0.25017225949026345,-0.025335453476151393
