,Precuneus_R,Cerebellum_9_L,Frontal_Sup_2_L,Occipital_Sup_R,Cerebellum_7b_L,Putamen_L,Hippocampus_R,Parietal_Sup_R,Temporal_Sup_L,N_Acc_L,Occipital_Mid_L,Rectus_R,Temporal_Mid_L,Thal_LP_L,Cerebellum_7b_R,Cerebellum_8_R,ACC_pre_L,Vermis_3,Caudate_R,Rolandic_Oper_R
Precuneus_R,1.0,0.26442662584027643,0.41135082790055283,0.7224617352368516,0.1738814716630338,0.16930059368923353,0.49894407385020595,0.6690546462969749,0.42756996209439235,0.1779327798529118,0.45576627410245835,0.05224615050686691,0.4332689286973963,-0.16788372679667232,0.10604457524867707,0.23432436223000233,0.07508769595952176,0.6039254010379805,0.2086147000649161,0.24115440921812978
Cerebellum_9_L,0.26442662584027643,1.0,0.4139188085757991,0.10545251749500072,0.24641217168548074,0.28938959312905715,0.6081938192273071,0.046577453855887664,0.23548249914081829,-0.12469960249650239,-0.24635213707052336,0.030023535671828343,-0.2569508060794161,-0.20431647128433778,-0.23905608754433905,0.36057936760572046,0.28717553693229814,0.38154575108359,0.5777801199579577,-0.38305013223462436
Frontal_Sup_2_L,0.41135082790055283,0.4139188085757991,1.0,0.18837600440562358,0.3204929576355455,0.59337560364954,0.5459344458086048,0.050197939296972215,0.5983410675233036,0.25919663357631123,-0.014381417158924346,0.108551371857243,0.3426477652576846,-0.04353130682159671,-0.1794606900159283,0.33242310942737424,0.33617587939109256,0.6462429376632758,0.6243693827826649,0.11700644865530031
Occipital_Sup_R,0.7224617352368516,0.10545251749500072,0.18837600440562358,1.0,0.16544307467054292,-0.10836663594804398,0.059132080911637255,0.704115982781326,0.20169973579294237,-0.09253156299806876,0.7001780099253897,0.0998558423328089,0.3279546172936425,-0.12782632882171385,0.033971639765368655,0.30986199324188846,-0.19666349253253798,0.15568629876522244,-0.13492677911222792,0.025993210626382005
Cerebellum_7b_L,0.1738814716630338,0.24641217168548074,0.3204929576355455,0.16544307467054292,1.0,-0.06286440241512076,0.09674292212806204,0.22963283416582547,-0.0194000681161905,0.0034357179921827236,0.0676982194787395,-0.10512292542613529,-0.06199333533650212,0.056993790596886224,0.0719489068680087,0.4153041086467057,-0.14619129925055768,0.06647930048091588,0.16678356298882016,-0.11544561756131308
Putamen_L,0.16930059368923353,0.28938959312905715,0.59337560364954,-0.10836663594804398,-0.06286440241512076,1.0,0.6238446554136307,-0.1698146249967968,0.6693363315245748,0.37292006531937416,-0.21277368843938788,0.18430274214024991,0.2746580748808687,0.09704947481953764,-0.17254196736937336,-0.1082660102671238,0.46123120483809316,0.6364570413265583,0.6872850060595794,0.24751424094677676
Hippocampus_R,0.49894407385020595,0.6081938192273071,0.5459344458086048,0.059132080911637255,0.09674292212806204,0.6238446554136307,1.0,0.07471355992160694,0.5510657180384387,0.24076561282836623,-0.33947173440157535,0.16012843296195273,0.092273514201209,-0.2771255992535885,-0.2648341580947428,0.07560507684477091,0.5479321062894195,0.8017905019517787,0.7969272394298498,-0.0016802840980569944
Parietal_Sup_R,0.6690546462969749,0.046577453855887664,0.050197939296972215,0.704115982781326,0.22963283416582547,-0.1698146249967968,0.07471355992160694,1.0,0.07770638006022597,0.06187436110112771,0.4435364691908757,0.13096797602777843,0.2952529769613489,-0.11749251960125405,0.24942102004304567,0.47161264591977975,-0.17663915419361872,0.13091921420469427,-0.09168139816976727,0.2820626014789587
Temporal_Sup_L,0.42756996209439235,0.23548249914081829,0.5983410675233036,0.20169973579294237,-0.0194000681161905,0.6693363315245748,0.5510657180384387,0.07770638006022597,1.0,0.20088430839351493,0.08363449933200967,0.22331997817927324,0.5892660791478411,-0.10975939488798894,0.03679437139918865,-0.0449608427896802,0.3553832036433997,0.717056477533731,0.45638129913888376,0.19624297468421548
N_Acc_L,0.1779327798529118,-0.12469960249650239,0.25919663357631123,-0.09253156299806876,0.0034357179921827236,0.37292006531937416,0.24076561282836623,0.06187436110112771,0.20088430839351493,1.0,-0.10132640445165332,-0.0402522178646044,0.2001934519323764,-0.04652409535257216,-0.08138874239892742,-0.15611866812821576,0.3022967769832923,0.2864145589957043,0.20825328217373507,0.44547283208738847
