,Fusiform_L,Amygdala_L,ParaHippocampal_R,Red_N_R,Rolandic_Oper_L,Occipital_Mid_L,Frontal_Inf_Oper_R,Frontal_Inf_Oper_L,Precentral_L,OFCmed_R,Thal_PuI_R,Frontal_Inf_Tri_L,Vermis_7,VTA_R,Cerebellum_Crus2_R,Temporal_Pole_Sup_R,Temporal_Mid_L,Rectus_L,Raphe_D,Hippocampus_L,Occipital_Mid_R,Cerebellum_4_5_R,Thal_LGN_L,Angular_R,VTA_L,Thal_PuA_L,Cerebellum_10_R,Cerebellum_8_L,Thal_PuL_R,ACC_sup_L,Parietal_Inf_L,SN_pr_L,Frontal_Med_Orb_R,Vermis_4_5,Cingulate_Mid_L,Thal_IL_R,Caudate_R,Thal_Re_L,Temporal_Mid_R,Pallidum_R,Frontal_Inf_Tri_R,OFClat_R,Temporal_Pole_Mid_L,Cerebellum_9_L,Cingulate_Post_L,Parietal_Sup_R,Putamen_L,Temporal_Inf_R,Cerebellum_Crus1_L,Cerebellum_3_R
Fusiform_L,1.0,0.28030158951233985,0.38779487673347257,0.16748837435657735,0.5686678029562232,0.17317513193188752,0.5615979668783998,0.6458512804225491,0.48788516310381524,-0.21949680127878754,0.3579507819370595,0.5397098958891232,0.03397572637036192,-0.0011893742989812506,0.17886507495483173,0.054625879651287186,0.6130532421652005,-0.18338636551018098,-0.10382278116296449,0.5982491495102978,0.0613832786835029,0.6672413966359206,0.6583262059159267,0.4193345902511235,0.3528409598036934,0.25568502070602694,0.41334687347586,0.1513278514276896,0.19091023032510768,0.42371077905703763,0.32449374985072277,0.3210262722924004,-0.04898396893501016,0.5571514985038145,0.6507009064190653,0.5224776176426323,0.3131081717020162,-0.10013758426213319,0.6298616145248903,0.23684284971980546,0.5122176590292239,0.13816788962781074,-0.2788760036980728,0.11397618590734798,0.43747557720030367,0.3125483284639932,0.3985452937180307,0.03575914161539381,0.2868684822035791,0.3331032388243952
Amygdala_L,0.28030158951233985,1.0,0.7594200042663578,0.23109759799685226,0.4266851091249305,-0.49305234418657967,0.4203906969400053,0.50418967319478,0.3796367428582327,0.1415771378640491,-0.13426826236302675,0.46068556070273586,-0.5187167102742708,-0.10560322187962928,-0.23043042877441147,-0.36739060425717757,0.0023246514404521037,-0.034570520494137336,-0.5554226258251171,0.717039874656292,-0.3166413552438441,0.11957534034511154,0.2877529216763644,-0.19900865432158957,0.366028470271535,-0.26740785299056075,0.3492942378867535,-0.4716366301889996,-0.25845502053291214,0.5856566189303369,-0.23289943179450348,0.5998774052310862,-0.1374725199472122,-0.2812083304182775,0.13903139425135547,0.4272243704813687,0.6744427368097309,0.2148126115825476,0.11781615025697784,0.5999537178721073,0.5917904458407202,0.3017422619707802,-0.17259250153864208,0.3999229682261862,0.1736508778100143,-0.17623078761534797,0.6346562563956267,-0.16354471492719472,-0.44551493951637794,0.007891798408779075
ParaHippocampal_R,0.38779487673347257,0.7594200042663578,1.0,0.3741010564747934,0.4499582261326129,-0.3309486740354264,0.5806581870227102,0.5852761727248694,0.5089617790362828,0.2837175033013326,-0.015317678495091462,0.5295335681796044,-0.30322165943900237,0.05873957135412662,-0.030085379706108233,-0.15394438454337345,0.05586988145823787,0.05246346705003942,-0.3474435458299078,0.7977273714689359,-0.18489983024053216,0.40603566519964257,0.36541243150049496,0.10561525570839837,0.25877363694617567,-0.13913387093467636,0.30166160522509655,-0.18918007934759173,0.060231275465544507,0.6215849304131663,0.03338885685814273,0.625009974981281,-0.16094314100103682,-0.061894578764096306,0.41654195042778824,0.5475223084528166,0.751641840265516,0.25647911258357137,0.39523210325419716,0.6322203148087328,0.7599142112538391,0.4350292710100787,-0.101102027335574,0.45126890570746936,0.40468063531622067,0.08632958916668246,0.678930197405781,0.05844649246760037,-0.4263450332027523,0.25434218869593855
Red_N_R,0.16748837435657735,0.23109759799685226,0.3741010564747934,1.0,0.39633294701045635,-0.17274450274160624,0.24952249740751867,0.22914096040234275,0.15182563752439426,0.17136997440132037,0.03345063339656628,0.3912928404296429,0.07969481875861613,0.2549963571137708,0.25017225949026345,0.3182236416143358,0.09034742261646063,0.1992884866035028,0.23564200392670243,0.3400090575673966,0.01194281443411572,0.30147102757760896,0.5441456744226407,-0.09893337245870545,0.09866523312775226,0.1257803819112077,0.07470386380074771,0.33497881504576055,0.16046988543442,0.28530592372455976,-0.022224822462541646,0.20111658424240425,0.09230391396435046,0.1324393812312414,0.49607810289960574,0.48653700238538533,0.4555901740488982,-0.02946661305520543,0.11402948956955974,0.3442603639342344,0.30170801352079984,0.3827460633978763,0.17361846896986258,0.20004345496859663,0.23856488551496546,-0.1397443160201913,0.44996037557310997,0.062073451422618296,-0.03042487337678434,0.1735713410657141
Rolandic_Oper_L,0.5686678029562232,0.4266851091249305,0.4499582261326129,0.39633294701045635,1.0,-0.17648325086309039,0.4520771730949813,0.755668512319458,0.3813088264715056,-0.2696543585605071,0.16008256768890666,0.6802076839293779,0.04293649569925774,0.15131521787795815,0.1146685496218628,0.058588450097723885,0.4014099656233161,-0.10010253418790675,-0.16376985626203217,0.6104487955590833,-0.2797409024557117,0.36990917554836955,0.6717987293442202,-0.11052012049822177,0.2706721188956713,-0.04727793155406126,0.32806971786077327,0.00504475561541473,0.10651099254233205,0.7165375560140964,0.009361948007663668,0.37155491195155493,-0.13830235494590973,0.2132259277128899,0.5327113140343056,0.7168024861686337,0.5739896319554454,-0.08509528069468532,0.188465419964507,0.5683887813806856,0.5027648033528761,0.2790212362367897,-0.10534590557963812,0.2273646192405989,0.3287909908651919,-0.2526706450321758,0.7449471617638508,-0.02563102954834918,-0.0616276296954304,0.24705960536451305
Occipital_Mid_L,0.17317513193188752,-0.49305234418657967,-0.3309486740354264,-0.17274450274160624,-0.17648325086309039,1.0,-0.022784188073328677,-0.17849614349261267,-0.004879139956583399,-0.1123075225775849,0.24658800069537926,-0.1427862389672677,0.43471173115330153,0.06351025101304326,0.2749798575368528,0.36319497781318716,0.5273364130184507,-0.06555788963474386,0.3375114172239661,-0.1926835389296316,0.44719709251389833,0.35143883203620857,0.05909467012568179,0.4860047629245435,-0.06305847440544994,0.3989580882239284,0.0424283669892775,0.33839116751162746,0.4481911397531471,-0.2988207247323505,0.5521385264801698,-0.4623066391788537,0.17075686636394496,0.6232501428431007,0.15067154756242973,-0.16134214375984493,-0.43216856584338625,-0.15649083813348444,0.28743780302185795,-0.24017264656754714,-0.20860030230980123,-0.034814810292653514,0.0959093032780453,-0.24635213707052336,0.19790189136179825,0.4435364691908757,-0.21277368843938788,0.19153418450779602,0.35152320428324363,0.07980355508652141
Frontal_Inf_Oper_R,0.5615979668783998,0.4203906969400053,0.5806581870227102,0.24952249740751867,0.4520771730949813,-0.022784188073328677,1.0,0.709444620891903,0.8507478075213933,0.2002558417354886,0.15558207865272725,0.7808906251695292,-0.15710598486139968,-0.03939084711890634,0.23284007722679798,0.14238935573732545,0.384411070695833,0.09260410770901337,-0.14352039611842454,0.6878842841172932,0.1923095578503214,0.6257868919416537,0.45473691819928486,0.5529501264051728,0.39615705023600156,-0.029152016275084305,0.42509616264193345,0.05108513010689846,0.3004069127233489,0.5501826915673699,0.45647592328165926,0.5052378855251268,0.07974291874305124,0.21014389104507958,0.697081346311915,0.5556118489975872,0.5414450171021821,0.19834247943808067,0.5163748258389008,0.565731243088842,0.902739226517983,0.34383457124878825,0.002668373384274787,0.2949016278979959,0.6620916182937665,0.4459948891300216,0.4643248231389957,-0.04165455138265843,-0.026550862322661548,0.31179338242352006
Frontal_Inf_Oper_L,0.6458512804225491,0.50418967319478,0.5852761727248694,0.22914096040234275,0.755668512319458,-0.17849614349261267,0.709444620891903,1.0,0.6194878549202048,-0.15630400514746431,0.29231181367221415,0.8406811443318607,-0.0825010335098385,0.17915843932842485,0.07128726637551355,-0.22594951319232862,0.3477752946665514,-0.15734142923618163,-0.08562494538119203,0.7302675376830633,-0.28366227546010503,0.3666447104513204,0.4875409644802363,0.16153958332343551,0.2765891328764762,-0.023938517294459987,0.1578023964286438,-0.041445359410511515,0.2081798493736001,0.7242756103702549,0.16347637082148234,0.6044433575270928,-0.22926764466443394,0.13070264990021396,0.6076514023854129,0.7555495772849827,0.6859823691245338,0.1176773084675172,0.2981352877441757,0.46956618262981664,0.7547466745922697,0.24010619248302686,-0.20108895926873588,0.4367147857432641,0.4855122129673728,0.08146953347133777,0.6623044233149631,-0.22132083380730905,0.003507220361666168,0.4563173529437017
Precentral_L,0.48788516310381524,0.3796367428582327,0.5089617790362828,0.15182563752439426,0.3813088264715056,-0.004879139956583399,0.8507478075213933,0.6194878549202048,1.0,0.10388100651517751,0.3550708140517242,0.7124890203932428,-0.17833395261092683,-0.062430850255402834,0.2582306110945504,-0.024181170742054812,0.3145703466872589,0.14502830535438377,-0.07712249094038867,0.6865409396031652,-0.024498445055060727,0.6440988788733558,0.3786011291366611,0.3981101213054665,0.31176250106832903,0.06999382470098921,0.3837815153839037,0.01616768516812978,0.24820229941732846,0.542488385887458,0.5502047075252661,0.4825584773397108,0.06915530192012925,0.19419579884674001,0.5730194048312008,0.4763424778246534,0.502971680185844,0.22509037929396827,0.35165228975724355,0.4583419051293178,0.7505480519788026,0.0679199446484009,0.051569576562027555,0.45398630952981134,0.6591272355423622,0.42920678326350487,0.37056164678259046,-0.10093851400727549,-0.016187596880967804,0.4542475281711223
OFCmed_R,-0.21949680127878754,0.1415771378640491,0.2837175033013326,0.17136997440132037,-0.2696543585605071,-0.1123075225775849,0.2002558417354886,-0.15630400514746431,0.10388100651517751,1.0,-0.20507176924943368,-0.01783485198295279,-0.13612124922353297,-0.10813914404312033,0.013766717528082666,0.16182361930482034,-0.1039277333900796,0.31001046380062647,-0.07433994781980262,0.09360820466728483,0.2667720741590456,0.11061834568789612,-0.11842441040582705,0.213912789220776,0.16323030482008588,-0.24553705149945526,-0.013301278258117279,0.03477450106334523,0.04432228429301593,0.025209645913769344,0.024928575523726217,0.09257049477059746,0.17872595541598027,-0.19706652995043206,0.03712101286899658,-0.036041208705794005,0.179059983575937,0.2913000439043375,0.10652657612344334,0.18580987228965856,0.2224770760301765,0.22888841722036807,0.09707494208122298,-0.06123891988462983,0.14394766213866397,0.26713541705455235,-0.0033080045419409797,0.09938680551852025,-0.26242103169954456,-0.0495494049605949
