,Cerebellum_Crus2_R,Thal_VA_L,Frontal_Sup_2_L,Frontal_Inf_Orb_2_R,Vermis_4_5,OFCant_L,ACC_sup_L,Supp_Motor_Area_L,Cerebellum_7b_L,LC_R
Cerebellum_Crus2_R,1.0,0.00806206067613371,0.3402528553809623,0.052722783606108055,0.28602531583022534,0.03710535536647159,0.14459580842905942,0.4002131243659052,0.2693553891777598,0.07180267907268324
Thal_VA_L,0.00806206067613371,1.0,0.39568214837369714,0.1466326370741625,0.13667607889530528,0.30289713568416593,0.4273552027552434,0.17058431671883867,0.052482233285566414,0.17055207178477114
Frontal_Sup_2_L,0.3402528553809623,0.39568214837369714,1.0,0.4067877732706981,0.26926791928218413,0.48958517795743495,0.6421625361522161,0.44982158750930096,0.3204929576355455,-0.011677922616754923
Frontal_Inf_Orb_2_R,0.052722783606108055,0.1466326370741625,0.4067877732706981,1.0,-0.2390802899888382,0.43785844908241883,0.6144366647711477,0.07179061652662858,-0.011468215608962946,-0.2803250925153387
Vermis_4_5,0.28602531583022534,0.13667607889530528,0.26926791928218413,-0.2390802899888382,1.0,-0.04870314704053089,-0.07975848567212784,0.21021221784906863,0.09779055625293574,0.6363540792282149
OFCant_L,0.03710535536647159,0.30289713568416593,0.48958517795743495,0.43785844908241883,-0.04870314704053089,1.0,0.5275820218695666,-0.15734819914393489,0.011785908276101759,0.09336747556264136
ACC_sup_L,0.14459580842905942,0.4273552027552434,0.6421625361522161,0.6144366647711477,-0.07975848567212784,0.5275820218695666,1.0,0.28029848787604,0.0013987296109271414,-0.1861262963696901
Supp_Motor_Area_L,0.4002131243659052,0.17058431671883867,0.44982158750930096,0.07179061652662858,0.21021221784906863,-0.15734819914393489,0.28029848787604,1.0,0.4160224117662377,-0.24429776653427365
Cerebellum_7b_L,0.2693553891777598,0.052482233285566414,0.3204929576355455,-0.011468215608962946,0.09779055625293574,0.011785908276101759,0.0013987296109271414,0.4160224117662377,1.0,-0.12495984342829627
LC_R,0.07180267907268324,0.17055207178477114,-0.011677922616754923,-0.2803250925153387,0.6363540792282149,0.09336747556264136,-0.1861262963696901,-0.24429776653427365,-0.12495984342829627,1.0
