,Cerebellum_Crus2_L,Parietal_Inf_L,Cerebellum_10_L,Insula_R,Frontal_Inf_Orb_2_R,Thal_MGN_L,Thal_LGN_L,Thal_IL_R,Cerebellum_4_5_R,Occipital_Sup_R,Frontal_Sup_2_R,Temporal_Pole_Sup_L,OFCpost_L,ACC_pre_R,SupraMarginal_R,ACC_pre_L,Temporal_Sup_L,Temporal_Mid_L,SN_pc_L,Cerebellum_3_L,Cerebellum_9_R,Frontal_Med_Orb_L,Thal_AV_R,Calcarine_L,Frontal_Inf_Tri_R,Lingual_L,Rolandic_Oper_L,Precuneus_R,Thal_VPL_L,Cerebellum_6_R,Precentral_R,OFClat_R,Thal_Re_L,Vermis_7,Thal_VA_R,ParaHippocampal_R,N_Acc_R,Cuneus_R,Cerebellum_Crus1_R,Vermis_8,Occipital_Inf_R,Thal_AV_L,Pallidum_R,OFCmed_R,Cerebellum_Crus2_R,Thal_PuL_L,Temporal_Pole_Mid_L,Cerebellum_4_5_L,Hippocampus_R,Fusiform_L,Parietal_Inf_R,Thal_IL_L,Thal_MDm_L,Insula_L,Thal_LP_L,OFCant_R,Amygdala_R,Thal_VPL_R,Thal_PuI_R,Heschl_L,Supp_Motor_Area_R,Thal_LGN_R,Paracentral_Lobule_L,Vermis_4_5,Vermis_6,Amygdala_L,Frontal_Mid_2_R,VTA_L,Pallidum_L,ACC_sup_R,SupraMarginal_L,OFClat_L,Raphe_D,Postcentral_R,Caudate_L,Cerebellum_Crus1_L,Cerebellum_8_L,Vermis_10,SN_pr_R,Cerebellum_3_R
Cerebellum_Crus2_L,1.0,-0.2847327134637273,0.4633795983536931,0.5855379741902601,0.37743216202228086,0.10366264893674229,0.24785021757626302,0.21175751192250353,0.6934379347207104,-0.18805185579403405,0.6360637565241967,0.5916881287280521,0.21595215548090604,0.545581125481818,0.3632859253810881,0.45291915736651306,0.5871212825896273,0.6588635076091837,0.4056644685922511,0.49435587569177475,0.7414065293657812,0.4790276383288715,0.46294904228191974,0.7162111439535279,0.4649588681236007,0.7489643124790822,0.4354927883125892,0.6093502860758269,0.36619685964978943,0.7703848505656383,0.41522311844429466,0.37269218458534975,-0.05231565016421802,0.6137047103137202,0.17669240471291742,0.33425890975917955,0.4781317315199387,0.1115973656275509,0.7370610174434713,0.6029041301368794,-0.030878801217888004,-0.05680759093157929,-0.1621687960772826,0.602375507049946,0.7055724907303231,0.19113976261685664,0.6477999351516659,0.5536120176696968,0.24271052053864847,0.614039517111854,-0.0303218928342169,-0.23120279315333386,0.4518493448919332,0.3358916554753789,0.5352860470833979,0.3803669995012418,0.07134502866375074,0.297585708331222,0.2716001130221814,0.4384006365903727,0.48062447440823786,0.019606532417803996,-0.13469539236876282,0.6738895699430775,0.7061660744847437,0.024161175434746728,0.5599660363280107,0.013562842261625069,0.4199771015206367,0.3097463712823904,0.00016250057646647226,0.6086509402131567,0.25536067673322416,0.3188316532214299,0.37905070654435574,0.9468877926888337,0.8399478924551004,0.6448947931359362,0.4055650842331073,0.5015417139193091
Parietal_Inf_L,-0.2847327134637273,1.0,-0.03601625927395845,-0.053874088163966716,0.03853307879457581,0.08255322085463429,0.1891356886476932,0.0893240006575316,0.012196429633993804,0.09019845039479403,-0.16454578323294589,-0.07035203889101133,0.14037233892466028,-0.014620054720495393,-0.2119177027947765,0.1683994681205453,0.043271875243642795,-0.059807959605262556,-0.10657101108736401,0.1273052409109703,-0.013465957951653156,-0.009845817301175216,-0.014543115354936109,-0.06705778418784751,-0.11020208647846934,0.028300515372303093,-0.00872412757434542,0.001105368406081584,-0.09212337956044213,0.0167515112731563,-0.201135065343732,-0.018323041728126654,0.13904839085378798,0.0388823204644985,0.20565106829922825,0.037905018657932804,-0.08169165551401403,0.05463080164215427,-0.002202974143952561,0.041353187391679765,0.07297590468006837,0.02220897034005993,0.1702705010906971,-0.25404933968436555,0.00392175475249409,0.05253105469036784,-0.210874090063913,0.07171207748914922,0.1354312117955671,-0.027719851986648603,-0.0890119709767875,0.34017704304817636,-0.03349200111478602,0.05434692646872169,-0.0512355444059666,0.062322273372130345,0.09961908024931265,0.13638861851794618,-0.2878196384676864,-0.025427205926841917,0.029563445707747327,0.07231038348435138,0.0344392743214178,-0.09286160074035732,-0.013364714455457642,0.05256841285529027,-0.23033807507812712,-0.10966012828708764,-0.06571841691376505,0.07898997221865924,0.4665059438048783,-0.15865978148708168,-0.08168041469196949,-0.16858538291706007,-0.11342652048229558,-0.25765403320251323,-0.1481394822672814,0.0014323605744636114,-0.060417238592290215,-0.029781481396366757
Cerebellum_10_L,0.4633795983536931,-0.03601625927395845,1.0,0.5676877645068125,0.461603806222638,0.2041827680217751,0.24015273464752523,0.2488335603457395,0.6132033306226842,0.007926069859256953,0.42845387260347806,0.6663765300301399,0.4210996163695526,0.466424048822761,0.1751172212533681,0.5010824240266416,0.557924617514391,0.5879526052254966,0.45748788732163825,0.3542222516282577,0.6034423056587243,0.5552771004653859,0.25510871246488637,0.48861135438982595,0.42152666198081884,0.5390913178482873,0.4750370661749305,0.41110318937525675,0.224933038301629,0.6084685301233398,0.25285579649406154,0.3871050063551444,0.08036208806893748,0.47327058008801115,0.1313937390345147,0.5140274302850445,0.5661472713863194,-0.01284003496467677,0.473492111294168,0.4069524430016702,-0.10256656700951125,0.001273075520339835,0.1434563873121529,0.37613627351321566,0.4622143547984315,0.2884567774088832,0.676741662330993,0.5343593213712345,0.36564362847438375,0.4901897402882063,0.019799804845550276,-0.06887840082022317,0.49246187903515887,0.5330721445703415,0.440083930464417,0.5013442446626672,0.1515295829987437,0.24153085954127199,0.3224859562577446,0.48073804212836635,0.26644785135719135,-0.08593176391157299,-0.11846894830044095,0.4357501540048831,0.5089701324039805,0.31613422033528077,0.29786632478277836,0.11523579495488244,0.49391345218885174,0.406924927785047,0.06719190135055493,0.5731568654623498,0.31753513295465513,0.1922052037826737,0.3582609941353791,0.539826552395518,0.5810348428631711,0.4748643692492748,0.48571361421171233,0.42626086065999014
Insula_R,0.5855379741902601,-0.053874088163966716,0.5676877645068125,1.0,0.7846327835299567,0.2057372652408008,0.2907939558238096,0.21364229357546297,0.6470039538442017,0.04040713737623383,0.6097796566660102,0.856869841600507,0.6113286367532911,0.6908985174272487,0.49648734457681487,0.6554877351264781,0.8386015893166578,0.7892970223466095,0.36290610757269903,0.3248427488399473,0.6963086002742144,0.6371596958374229,0.4555354690828928,0.5828039618337454,0.6285889666453621,0.6569405835166334,0.802408577465634,0.5879614847568585,0.1833764758384498,0.7301517446646477,0.5887526903532146,0.6479985738009116,0.05326702699106367,0.3790462292160079,0.3157852995251064,0.4090127660910433,0.5480345345040508,0.13734303840252937,0.6528851074602691,0.42076690599500044,-0.007576443773953237,0.013924533984398272,0.09974214956156419,0.3728057421103374,0.5340798936961397,0.3262724825288694,0.7005370394873113,0.5152459540320056,0.39862549931652264,0.5279883755481029,-0.0247151909573088,-0.021889316054115003,0.47107666984708824,0.8024957436625997,0.7273372426611187,0.6392927141027834,0.19055831469950638,0.3461547904708655,0.2848034515744125,0.7950841221373207,0.4749017197731416,0.03110420972462143,-0.14294100335147183,0.4541491284505704,0.5943524380939639,0.38091764459844335,0.5568187037862917,-0.06563571963212245,0.4527834793904465,0.7385855758603712,0.27293488323107007,0.7304901093241462,0.27123581152658727,0.515406834290608,0.4309538165833102,0.6781000874142225,0.6531972710554809,0.6591472780679737,0.35382559550399645,0.4470992982060879
Frontal_Inf_Orb_2_R,0.37743216202228086,0.03853307879457581,0.461603806222638,0.7846327835299567,1.0,0.23301439398574333,0.20464353140546654,0.20423345232416917,0.4428315586052556,0.09754010543220923,0.5242426267607481,0.7952973250076484,0.7453256119988672,0.6712417368876271,0.3889476522668615,0.6169468541606495,0.7359994375645037,0.6322579647361163,0.3332311888717774,0.23405836430502974,0.5464044556818743,0.47387577099689365,0.34668131006623726,0.5094950058800726,0.6454651222469879,0.5464307080507309,0.6494865640079487,0.5374252224346544,0.05770886191335384,0.5957344648203904,0.4509743920176141,0.820742977926626,0.15076322016235585,0.32506991411738956,0.334370452129045,0.4048937351658026,0.384131091243809,0.22038296069089958,0.5481192242003213,0.3490585217423964,0.09298267951506003,0.13733634134060219,0.27644415973185515,0.3529508383840998,0.40592722802295417,0.1087882866826036,0.544868389561197,0.37399277022151634,0.4516787575194142,0.4157967991619879,-0.15828919641007982,0.1356379764200663,0.42791694385627316,0.7614190250639766,0.5547711111766044,0.6197038804102541,0.22610295609590794,0.30977938328918453,0.19247315181173277,0.6636989603987281,0.4074016441569692,0.1388628247479521,-0.028013035277506985,0.19972456940796543,0.4256082741466747,0.3856777525924712,0.5151105513673078,-0.07910121334780924,0.3068802165200279,0.78484838078683,0.37275846783656635,0.6012926711464499,0.21209376555855056,0.39484542564172337,0.3050690447235184,0.4780399888038479,0.49049112999759137,0.5226129498498121,0.29219230170387334,0.2599177148654852
Thal_MGN_L,0.10366264893674229,0.08255322085463429,0.2041827680217751,0.2057372652408008,0.23301439398574333,1.0,0.28381803052537347,0.25901380667323165,0.18249538095181853,0.1536931780579338,0.12840397396260755,0.18502906079689363,0.3836826949899107,0.3271677088333322,-0.16859818248437883,0.3988795439088154,0.01876386605081872,0.2624776425808675,0.5829709347647305,0.3061993632305485,0.21310370143722784,0.45862821070321647,0.01728918835876948,0.0027464031403743846,0.09230030217385116,0.08402125119956436,-0.06523986601425887,-0.034823128394659224,0.5788068813852388,0.16319059385290427,-0.19085046241086537,0.22433947452853187,0.4100772741050567,0.27139965317794795,0.5282669308654239,0.6472309252478863,0.19432842501778594,0.12888207335688098,0.12115453141695441,0.11617236884723135,0.1940608297388072,0.4300790082378121,0.6682357127493995,0.36471975013109426,0.1748240351687358,0.1940026439188455,0.2907742888912757,0.5659253992617983,0.5440707650373223,0.5417072811863741,-0.06264932569301157,0.6758802190661146,0.20154971879435685,0.13584987473156068,-0.08351125935974522,0.5437952970678878,0.458359922875404,0.17672913603074553,0.15721303946504,0.014575185611156106,-0.011174810090470897,0.6020436317036648,0.27042648080904497,0.1375867402407246,0.06048965740633747,0.12211002570237464,-0.026924425253160716,-0.03190499042928775,0.4114465684012841,0.22836158186669192,0.03572756505414967,0.025132778554918408,-0.2246605999873019,-0.19877530336965352,0.5137635959688029,0.0706665308363234,0.04988201377329284,0.1523046358223891,0.4394236599112798,0.3210917232823385
Thal_LGN_L,0.24785021757626302,0.1891356886476932,0.24015273464752523,0.2907939558238096,0.20464353140546654,0.28381803052537347,1.0,0.4146078170308369,0.47347993082725415,-0.050010900365122665,0.29859235974383147,0.2641192874026462,0.2906569826432655,0.3736926969575694,-0.22409004330469276,0.47139811555580685,0.31603845148659054,0.37403830674694216,0.34180959987248877,0.3993572201805504,0.3872715987993432,0.2997439308932942,0.3345168605214733,0.3506416125299732,0.23177633046748844,0.4026130490075317,0.18343395470413723,0.34644606075972495,0.3244310699050858,0.42391957937575875,-0.10826740117812783,0.2388259312534966,0.13833659369548262,0.373947701363229,0.30767881926588664,0.4638383836143059,0.40959894656042345,-0.08705551946283778,0.4238345225904362,0.350822741326442,-0.1444747600943253,-0.058319671356851545,0.110565543680077,0.07060525106817614,0.5285960538609817,0.26428979667743013,0.1816025778618334,0.5333220316597582,0.41940325696079495,0.3952697861380395,-0.031652814374482974,0.14851750235945443,0.14795062895876224,0.21367092614452313,0.17466641119330525,0.3310388905501943,0.1871709930478643,0.3293976044920534,0.01117324200231691,0.1948483798212652,0.2907715819834427,0.026843611937713435,-0.12399268882419721,0.37569278150169577,0.3162530092496986,0.17282559725334595,0.0396942961500233,0.12075671637537967,0.3038256727826736,0.2550559531620361,0.4107248808105579,0.21535077138764783,0.09490345329339235,-0.15331236984906682,0.1779827251395458,0.2511202202146505,0.36586937681375764,0.29661786945001,0.4700077114630037,0.2925215038989745
Thal_IL_R,0.21175751192250353,0.0893240006575316,0.2488335603457395,0.21364229357546297,0.20423345232416917,0.25901380667323165,0.4146078170308369,1.0,0.5390777672790873,-0.25107029591525887,0.3324786393292006,0.2201731050851476,0.2235409647016679,0.47561221941342047,-0.21130057944211825,0.364491087986289,0.10600889292039078,0.3479828446447918,0.34918916612095313,0.5564443751786445,0.357454985806652,0.2970278629839454,0.35454739398314894,0.3350423733077568,0.342450114262681,0.3044266820026445,0.02106804144458077,0.32691334071488154,0.41434698798533215,0.33044414289280727,-0.23164715136979375,0.2362808858051885,0.0905112702806304,0.2378423722515808,0.4066630032432358,0.4897234773215451,0.35521744862392873,-0.034335646336079405,0.2626993366260326,0.46012332988308335,-0.053540592867203175,0.07322862239061287,0.3468466447429577,0.30376068221555885,0.3776504924039266,0.13349804900373105,0.15802994996416136,0.6389590199989731,0.6139152330418015,0.4441398367095552,-0.2312815410526113,0.09485260317313002,0.4248534101182704,0.15804781382064667,-0.01098135264147181,0.4805094201680524,0.4171013585709905,0.5709208360879903,0.35493476420302433,-0.022541252148318973,0.004565216231351878,-0.01464540770711347,-0.05821421196103859,0.5451188564593942,0.22455582496345647,0.36019685726258627,0.0861071846832995,0.03476873551321765,0.25408772388901685,0.24674154040736204,0.15532738356905587,0.19822429333089786,0.4786955562296471,-0.16987005735427407,0.06996699468366178,0.13582118372774488,0.35849050010014605,0.38684674279038167,0.20175213986077836,0.461715004052952
Cerebellum_4_5_R,0.6934379347207104,0.012196429633993804,0.6132033306226842,0.6470039538442017,0.4428315586052556,0.18249538095181853,0.47347993082725415,0.5390777672790873,1.0,-0.20501035731292672,0.6217301589725361,0.6572491968959517,0.32093246531302255,0.6501220315344067,0.1265092285751062,0.6196691278122062,0.6365089841974345,0.7267578229411672,0.39249687925476046,0.7256692200632103,0.7934936535547018,0.5768452856442321,0.5579898769868696,0.7609572071721497,0.5811220957111084,0.7675490166221219,0.49731396127869243,0.6848741800183876,0.3541396648247874,0.8017650789872596,0.2001292291943193,0.37496082308250295,-0.07789034627410332,0.4969076471723228,0.28401746403337474,0.5147767349904468,0.6590941929756567,0.022969293168364904,0.6677660592390714,0.686545391698818,-0.13915161803640164,-0.09882115184507788,0.047174986589683096,0.4690731590424284,0.7268985860456021,0.27104391274388095,0.5836010208532036,0.8083116744526402,0.5235302469016716,0.6986869771338411,-0.1409664839866069,-0.19040692985922147,0.5983935443414111,0.5246815359350495,0.5298164470355697,0.5607094118133771,0.2078228372256968,0.5137541256964049,0.2759574978601642,0.45236670682080016,0.385214774729195,-0.15306927836848616,-0.1546539192774319,0.817104906802434,0.7286147735890629,0.2907346879564817,0.41804284618910176,0.01242491328655273,0.46267174843390657,0.45541575644694077,0.2638594980753941,0.6371290057382405,0.47396991729794646,0.1575867680036671,0.24478544181075432,0.6872998585738506,0.8278327124651483,0.761353432247643,0.38329907990740314,0.7633018359478468
Occipital_Sup_R,-0.18805185579403405,0.09019845039479403,0.007926069859256953,0.04040713737623383,0.09754010543220923,0.1536931780579338,-0.050010900365122665,-0.25107029591525887,-0.20501035731292672,1.0,-0.07564198903587879,-0.007131885573650485,0.07890287312281948,0.05708686886768888,0.09177027494954104,0.12268807502307126,-0.011150728284587042,0.008387669109908022,0.07883909570069558,-0.24093602579812007,-0.046670160393776916,0.15157955637354575,-0.047738483397083274,-0.10784463302507355,-0.03888203881750889,-0.06681384452095171,0.00040818045547216374,-0.051965901575983,0.08407482795282999,-0.07183866886370008,0.05072777893935936,0.13572957312636658,0.1131816680051327,-0.03210357876524019,0.14576018857282694,-0.052222812680612476,-0.09928060503358246,0.17951461315287212,-0.09519622413559024,-0.11499022459571545,0.2073938345033682,-0.00472611224453853,0.14696587033003886,-0.16791752096806958,-0.15661509589991493,0.25202718756276177,0.01821378002443639,-0.1266756877114234,-0.09918684940508445,-0.049798352264659236,0.0876727825808135,0.24773784712530253,-0.07844819926745858,0.06542938832145324,0.07046755796835252,0.09075300565832696,0.14191312137555714,-0.14715397604700117,-0.005247411042667998,0.029037158747458745,0.004706691841975942,0.17355216855291267,0.1694165593557269,-0.1769967677190205,-0.08281611513398235,0.04438080978195963,-0.06923881337287445,-0.3528876403856303,0.18409688694411946,0.08976546958309316,0.0033307974456102955,-0.02714054527283667,-0.27937310449055747,0.035074378131745194,0.24191647551397422,-0.10016355055573872,-0.17794535242206388,-0.07183624361013874,-0.051136116290314525,-0.15806410746844698
