,Frontal_Inf_Tri_R,Caudate_R,Thal_VA_R,Thal_PuM_L,Vermis_1_2,SN_pc_L,Precentral_R,Paracentral_Lobule_R,Raphe_D,Red_N_R,N_Acc_L,Vermis_9,Precuneus_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,OFCant_R,Hippocampus_R,Rectus_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Thal_LP_R,Vermis_10,Postcentral_L,Temporal_Inf_L,Cerebellum_Crus1_R,Vermis_4_5,Cerebellum_Crus2_R,Pallidum_L,Cerebellum_10_R,Cerebellum_4_5_R,Frontal_Med_Orb_R,Thal_Re_L,Thal_PuL_R,OFClat_R,SupraMarginal_L,Frontal_Sup_2_L,Temporal_Pole_Mid_R,Thal_PuL_L,Frontal_Sup_Medial_L,Calcarine_L,ACC_sub_R,Insula_L,Frontal_Inf_Tri_L,Temporal_Inf_R,Amygdala_R,Frontal_Inf_Oper_L,N_Acc_R,Putamen_R,Hippocampus_L,Thal_PuA_L,Parietal_Sup_L,Lingual_R,OFClat_L,Cerebellum_10_L
Frontal_Inf_Tri_R,1.0,0.44709964108405886,0.14981477751910802,0.4333979062557904,0.6173881558830677,0.31151982151294005,0.5460184020083453,-0.13344215017566619,0.30733709595678854,0.2965028632841997,0.256210272431905,0.3725204757797386,0.6955559148300225,0.6454651222469879,0.5761732571350856,0.7451320526903743,0.48715616600853284,0.3349289905730991,0.5538905866015442,0.7377163363211264,0.530652471704866,0.31713216533562205,0.5032890708002569,0.28465643115776224,0.6466066972462869,0.5492265230366441,0.5124241957905529,0.4215686883738013,0.2552227716572094,0.39561467546846407,0.5811220957111084,0.48123716293838115,0.025815742325995313,0.49942370553731125,0.6215770393875032,0.16999958486181432,0.6161404584134687,0.5811427476658328,0.10296274395283592,0.7637076093742918,0.6143360880785786,0.48763470166020156,0.6662363871236038,0.7026488620161503,0.46588377685507365,0.07582276441231696,0.7299788340069242,0.5398341193187955,0.2441090575616774,0.557904716026536,0.3519297747322238,0.1428666978686016,0.4566837255297978,0.7475817055029713,0.42152666198081884
Caudate_R,0.44709964108405886,1.0,0.4518848103437483,0.34668942939753816,0.14399512209431745,0.4111924202103287,0.2522349300446671,-0.1601246317074122,-0.02039735674788098,0.22039724209485778,0.24254945252932644,0.28965004593837956,0.1851395564202904,0.5772820282342599,0.32793004637847123,0.30493635934764723,0.6169906089271104,0.6100323920005694,0.3479270980260734,0.3154495253520605,0.5410517673618439,0.367657844772622,0.3990378333769737,0.3431807504439897,0.34045244937926816,0.4217434182276373,0.21786300037780887,0.33783410336388564,0.38882305848638576,0.3771481615216095,0.39232016559735716,0.4751265848737912,0.5203273504147642,0.3749762574137621,0.4338852461623244,0.2550919893553724,0.3059075823986682,0.6589097608498661,0.26779897342083764,0.4513770668544475,0.23550174323882317,0.7153742119977727,0.5638702785926147,0.45989196598127147,0.49048147403433284,0.3984445354564909,0.44655969786244676,0.2564921365691002,0.5503507106455454,0.7099553868643964,0.31149779224513396,0.21509925531023313,0.2731019399773342,0.37102878323293004,0.4350966945982013
Thal_VA_R,0.14981477751910802,0.4518848103437483,1.0,0.2765230195151689,0.05833071706701549,0.416383257136503,-0.0592241221634548,-0.04339644395287038,0.0648015944638714,0.39400431960669857,0.23704555979887373,0.22505451777508703,0.2142028484764386,0.334370452129045,0.12702577231862894,0.16051841976869544,0.5627614156563441,0.5646091132997273,0.1421602352742276,0.21893218490188415,0.37008666034314486,0.2302182527602006,0.29359868138510603,0.20487154294906734,0.1337927408503249,0.19321599283726784,0.30326461685990397,0.19778689713253048,0.29383516126362746,0.18483638776386518,0.28401746403337474,0.3962143291422153,0.257757378038941,0.07102543173664543,0.41377963654288447,0.15609137485855304,0.20497045225006677,0.32875547098389024,0.2242932043554289,0.20293890503215342,0.1506824277572616,0.33291028006751616,0.2025835989158525,0.10240685327331456,0.41762086749711,0.5109545409582068,0.052942913989621934,0.08546532885723115,0.4407028868564315,0.47476742091807894,0.1272506429081339,0.1491282085933852,0.37408165960317447,0.011748169972924626,0.1313937390345147
Thal_PuM_L,0.4333979062557904,0.34668942939753816,0.2765230195151689,1.0,0.5276473884914525,0.3583250466179592,0.12984580000507495,0.12209086806455091,0.4847286142228232,0.3044370883235237,0.36468567606020336,0.711859454274226,0.4986541467724506,0.4002007205995712,0.5905847122151207,0.29885012873033356,0.5500585726479624,0.4776966705890719,0.5616028157476574,0.5689350025358337,0.5645641616551527,0.5206292865531189,0.6804060891074882,0.44362863853047585,0.5691050965941524,0.5579260792746993,0.6739757740395756,0.6496821702737952,0.4729701333504769,0.37846925709143686,0.8045968984235672,0.5958708096187147,-0.16616918553927026,0.5731086516188316,0.344817119888292,0.23965418252727383,0.6528812903534296,0.5242231687754968,0.3528531768782882,0.5758150609477695,0.5965401758876521,0.32428986229364754,0.46054839577684403,0.5478207863040319,0.4600380167489936,0.21483794934584277,0.4660986017171655,0.6157320100671771,0.2440734414835991,0.6102720519545551,0.5834378967397877,-0.04093446085089132,0.6691833853513378,0.5713365255423195,0.49220303386017294
Vermis_1_2,0.6173881558830677,0.14399512209431745,0.05833071706701549,0.5276473884914525,1.0,0.16136283363245155,0.2478548240455339,-0.03190228338060702,0.5026572599573552,0.22047410305736612,0.3836343370474173,0.4342694375265505,0.5388546571644214,0.2966429346059781,0.6660771497888074,0.44205152526793284,0.2895894822106821,0.2598784630358532,0.508750604469655,0.6811543512538075,0.4991115747813748,0.2945632394233965,0.48676498980768457,0.39000775216953376,0.45301824657058154,0.3839814892762441,0.6017673877170616,0.3903900506702221,0.30096529214067724,0.17746099307337476,0.595634907664749,0.5019258664486485,-0.3752106736209716,0.5004400350931663,0.16202527043628523,0.23997386812856683,0.6809864992570168,0.29497359964105063,0.16316166021119027,0.7090697795950446,0.5675521852746751,0.21107248428716355,0.44974569788021185,0.6447840477640908,0.4057946851726525,0.14560912460714687,0.589050520606287,0.5761216055640934,0.19839687757257116,0.38770532492866283,0.4892069925917347,0.13900681642147694,0.3889468022367521,0.5747195744147232,0.2706067486079679
SN_pc_L,0.31151982151294005,0.4111924202103287,0.416383257136503,0.3583250466179592,0.16136283363245155,1.0,0.03054962287504423,-0.06271691371389242,0.06781709244244868,0.47084185007706564,0.6912280081013396,0.3171206302531683,0.27362332632355807,0.3332311888717774,0.22042211966586586,0.23491190890553806,0.5885482428610433,0.5732253425549546,0.530382289077803,0.3548821432094492,0.6850766788737201,0.20854150616431644,0.3197421078848564,0.04253511211056764,0.4514750345535571,0.2970605950905896,0.37724900059551364,0.41492818517687075,0.6192265734382312,0.25493874451146803,0.39249687925476046,0.5575816390999064,0.08545744564542225,0.19587710159045402,0.3141720649467046,-0.07638650268048384,0.3353618537184314,0.5659458010072178,0.2502918472106766,0.4364936348353623,0.30899207245326427,0.25624567576462975,0.32784736529623426,0.27591919472736576,0.48569748048818906,0.41454571724871636,0.28313186730069295,0.5992292773741937,0.48203567735701996,0.5885641856981767,0.22414856561703989,0.08640656950230875,0.39624619742866535,0.3569062702770345,0.45748788732163825
Precentral_R,0.5460184020083453,0.2522349300446671,-0.0592241221634548,0.12984580000507495,0.2478548240455339,0.03054962287504423,1.0,-0.09920159631298761,-0.03354898044108052,0.03412382294082379,-0.008295455985862054,0.11762753895745645,0.4986915736136061,0.4509743920176141,0.10408011955488589,0.7467382463393916,0.09481807989947666,-0.12596649657560066,0.2881253313303517,0.4044973357005148,0.21916379325861904,0.15492512053707544,0.30388865020628625,0.1073981131946614,0.43458121391019944,0.4285666908398484,0.11133886354061436,0.10663284772731758,-0.06671026841537858,0.39499140126012683,0.2001292291943193,0.10009466377741573,0.03140226761078346,0.3325576606575057,0.4500563886455872,-0.03756506384059892,0.16313617503100677,0.33705097829237407,-0.04980742019544604,0.34207642140172956,0.3352283169985503,0.38898085016277056,0.6050102650275244,0.2752035561651953,-0.22082402094591674,-0.21394581285054623,0.4298529402330192,0.19215284740578453,-0.21958007587369846,0.2799637643389099,0.09858987926192196,-0.0443042248131421,0.2484217006385528,0.5138859016452522,0.25285579649406154
Paracentral_Lobule_R,-0.13344215017566619,-0.1601246317074122,-0.04339644395287038,0.12209086806455091,-0.03190228338060702,-0.06271691371389242,-0.09920159631298761,1.0,-0.004952894715202503,-0.02651860830694359,-0.03552665928713327,0.09126619892548309,-0.06414126921575486,-0.11002942139313412,-0.0659640153615548,-0.1281765965123295,-0.08748426229301351,-0.07025938917103301,-0.013052910620474444,-0.022230507822327845,-0.11979379473702674,0.07261882010536988,0.04549432882957027,-0.04690040672324799,-0.06553621928929763,0.08546846201461172,0.03153748443194482,0.11641408587078685,-0.04129563381688873,-0.011389425317023581,0.0059704693434983165,-0.040980288542547906,-0.004273107443344265,0.04183763904988083,-0.06946077134980387,-0.06521473324682994,-0.05645920682132702,-0.05929560284721756,0.06293485735048836,-0.0579828028212615,0.05297041811129489,-0.13660228975687644,-0.21477784654364512,-0.13861194107056407,-0.05883298198780058,0.01175450472342029,-0.12121391456439774,-0.0243620095477331,-0.008445644806118615,-0.12025625440437882,0.03845050967706341,0.017941416859359544,0.04976586941823434,-0.07503155832546647,-0.08731510106970472
Raphe_D,0.30733709595678854,-0.02039735674788098,0.0648015944638714,0.4847286142228232,0.5026572599573552,0.06781709244244868,-0.03354898044108052,-0.004952894715202503,1.0,0.36632916398474397,0.2768839796109413,0.4721095594376411,0.33967330864737233,0.21209376555855056,0.3700454332890319,0.20198509812730844,0.32725628201109647,0.35200108049498524,0.43832078427933163,0.34323307220548055,0.28903530652932025,0.38353634725090097,0.4039720702253814,0.05226587449870942,0.3825975744002825,0.16750768945558459,0.5242874703108437,0.2710365392994133,0.2593044573221065,0.16450736937505822,0.47396991729794646,0.4830979443792408,-0.32472058964924777,0.3015237899267392,0.1811822683331785,0.05725530237045898,0.41048499652980647,0.15059110689022828,0.058255726925401215,0.31930313331927634,0.4435873283932956,0.12718301688385025,0.2218252367033969,0.3015940465894515,0.27982418545751997,0.26621427229366523,0.20091792948884218,0.3965938226616567,0.1362302679052444,0.3461518767644601,0.3062222448586144,-0.1687048766303694,0.41746980978736964,0.36501412707815095,0.31753513295465513
Red_N_R,0.2965028632841997,0.22039724209485778,0.39400431960669857,0.3044370883235237,0.22047410305736612,0.47084185007706564,0.03412382294082379,-0.02651860830694359,0.36632916398474397,1.0,0.45323949518529794,0.20662210278346763,0.3051304720568507,0.2576216110286117,0.18772632729640432,0.2885003217164783,0.42500496407873917,0.4561614651228894,0.4273287070822489,0.2739280211269078,0.39721318607138406,0.2709535485716167,0.24956535366979732,0.06281736195905215,0.340963188110895,0.20671114756920916,0.3764043707309756,0.21810196629725023,0.4167047191091143,0.22748051097881455,0.35742007437969286,0.46983682772797875,0.05231014998981081,0.15898508102518108,0.35337078928282206,-0.03258949639508255,0.28641487304943763,0.3518839809740091,0.1554015014956641,0.29627829704093817,0.30962327278583035,0.26592589551753165,0.211293405069057,0.16901697716917352,0.2883925394165361,0.38357564957506063,0.14206358897042512,0.4443771946275598,0.31209633714839696,0.4397639507789721,0.2148392093147437,0.036098496696459606,0.38383180050604504,0.23213031886595614,0.38286218891889845
