,Rolandic_Oper_L,Frontal_Inf_Oper_L,Frontal_Sup_Medial_R,Supp_Motor_Area_R,Calcarine_L,Thal_PuI_L,Frontal_Inf_Orb_2_R,Cerebellum_7b_R,Thal_VL_L,Rectus_R,N_Acc_R,Cerebellum_6_R,Thal_MGN_R,Amygdala_R,Paracentral_Lobule_L
Rolandic_Oper_L,1.0,0.7379723500425345,0.521664237404171,0.5575353636268058,0.4895967414735058,0.08324913968520388,0.6494865640079487,0.4056691113317828,-0.16564288536319094,0.144975650154379,0.5072978862773622,0.5714049757635891,0.04415423348402667,-0.17739594861371014,-0.18110586419183403
Frontal_Inf_Oper_L,0.7379723500425345,1.0,0.6923283165716972,0.622518445204356,0.5831914023074818,0.2060376176040933,0.6046822126366471,0.574106477578586,-0.014619574013708772,0.24304326565768303,0.6199403493784745,0.5983294799398142,0.11714488072309122,-0.02954495989641757,-0.12294292820400854
Frontal_Sup_Medial_R,0.521664237404171,0.6923283165716972,1.0,0.6967009149334746,0.6508677674940697,0.19561532760740893,0.44719178163646023,0.6733540139356357,-0.05877842102030394,0.30655718990266073,0.6066531757465289,0.6327979700725115,0.005057282895236155,0.1092827836290634,-0.17027632062694195
Supp_Motor_Area_R,0.5575353636268058,0.622518445204356,0.6967009149334746,1.0,0.4646325001132155,0.01428549186150154,0.4074016441569692,0.3934218586864067,-0.05657752361349483,0.025921793709928618,0.33391716671311206,0.46669231797392324,-0.11955343309106828,-0.15658927769377634,-0.22835163428205746
Calcarine_L,0.4895967414735058,0.5831914023074818,0.6508677674940697,0.4646325001132155,1.0,0.21953232759778019,0.5094950058800726,0.6920929357267628,-0.014038045194319884,0.19544962839202015,0.5992383321449762,0.827588559827141,0.13411565518219098,0.14802412681344373,-0.10123993218908355
Thal_PuI_L,0.08324913968520388,0.2060376176040933,0.19561532760740893,0.01428549186150154,0.21953232759778019,1.0,0.12418129818278939,0.2554374016783783,0.20425930899110245,0.2519798818258421,0.312609924942713,0.2806171896942489,0.24976891471060467,0.181397231723624,0.019648200907969253
Frontal_Inf_Orb_2_R,0.6494865640079487,0.6046822126366471,0.44719178163646023,0.4074016441569692,0.5094950058800726,0.12418129818278939,1.0,0.38875041660570275,0.2253636697555037,0.442299577820162,0.384131091243809,0.5957344648203904,0.24743720980119496,0.22610295609590794,-0.028013035277506985
Cerebellum_7b_R,0.4056691113317828,0.574106477578586,0.6733540139356357,0.3934218586864067,0.6920929357267628,0.2554374016783783,0.38875041660570275,1.0,0.05332700735170499,0.19594683410222719,0.6263127048002916,0.792485558984062,0.08370215704250798,0.124461342163532,-0.08748480487073866
Thal_VL_L,-0.16564288536319094,-0.014619574013708772,-0.05877842102030394,-0.05657752361349483,-0.014038045194319884,0.20425930899110245,0.2253636697555037,0.05332700735170499,1.0,0.4562291108464268,-0.021394103407712084,0.1745403941648946,0.2777673966713552,0.5453502788604846,0.24147857719305046
Rectus_R,0.144975650154379,0.24304326565768303,0.30655718990266073,0.025921793709928618,0.19544962839202015,0.2519798818258421,0.442299577820162,0.19594683410222719,0.4562291108464268,1.0,0.3875327237121803,0.26159526029811875,0.34117673503219403,0.5032312038528265,0.02450071842108053
N_Acc_R,0.5072978862773622,0.6199403493784745,0.6066531757465289,0.33391716671311206,0.5992383321449762,0.312609924942713,0.384131091243809,0.6263127048002916,-0.021394103407712084,0.3875327237121803,1.0,0.611621134792988,0.2778056579056566,0.19561630651587397,-0.0955795943969087
Cerebellum_6_R,0.5714049757635891,0.5983294799398142,0.6327979700725115,0.46669231797392324,0.827588559827141,0.2806171896942489,0.5957344648203904,0.792485558984062,0.1745403941648946,0.26159526029811875,0.611621134792988,1.0,0.23512791781580192,0.25773150366247,-0.09753333052811795
Thal_MGN_R,0.04415423348402667,0.11714488072309122,0.005057282895236155,-0.11955343309106828,0.13411565518219098,0.24976891471060467,0.24743720980119496,0.08370215704250798,0.2777673966713552,0.34117673503219403,0.2778056579056566,0.23512791781580192,1.0,0.3195841288882276,0.15828104983020452
Amygdala_R,-0.17739594861371014,-0.02954495989641757,0.1092827836290634,-0.15658927769377634,0.14802412681344373,0.181397231723624,0.22610295609590794,0.124461342163532,0.5453502788604846,0.5032312038528265,0.19561630651587397,0.25773150366247,0.3195841288882276,1.0,0.08940290853736876
Paracentral_Lobule_L,-0.18110586419183403,-0.12294292820400854,-0.17027632062694195,-0.22835163428205746,-0.10123993218908355,0.019648200907969253,-0.028013035277506985,-0.08748480487073866,0.24147857719305046,0.02450071842108053,-0.0955795943969087,-0.09753333052811795,0.15828104983020452,0.08940290853736876,1.0
