,Thal_PuM_L,Angular_L,Precuneus_L,Rolandic_Oper_R,Vermis_10,Cerebellum_Crus1_R,Thal_PuM_R,Vermis_7,Pallidum_L,ParaHippocampal_R,Hippocampus_R,Frontal_Inf_Tri_R,Supp_Motor_Area_L,OFCmed_R,Cerebellum_6_L,Thal_PuL_L,Vermis_6,Frontal_Sup_Medial_R,Olfactory_L,Thal_VA_R,OFClat_L,Occipital_Sup_L,Calcarine_R,Cerebellum_9_L,Thal_MGN_L,Thal_VL_R,Thal_VPL_L,Thal_VL_L,Cerebellum_6_R,Temporal_Sup_R,Heschl_R,Cerebellum_Crus2_L,Cingulate_Mid_L,Parietal_Inf_L,Lingual_L,Cerebellum_Crus1_L,Occipital_Inf_L,Cuneus_L,Thal_LP_L,Cerebellum_3_L,ACC_sub_R,ParaHippocampal_L,Temporal_Inf_R,Frontal_Mid_2_L,Lingual_R,Parietal_Sup_R,Temporal_Inf_L,ACC_pre_R,OFCant_L,Vermis_4_5,Thal_IL_R,Heschl_L,Fusiform_L,Cuneus_R,Paracentral_Lobule_R,Thal_AV_L,Caudate_L,Cingulate_Mid_R,ACC_sup_L,Vermis_8,Thal_Re_L,Thal_IL_L,Rectus_L,Frontal_Inf_Oper_L,Hippocampus_L,SN_pc_L,Temporal_Pole_Mid_L,Thal_MDl_L,Frontal_Sup_2_R,Amygdala_R,Angular_R,N_Acc_R,Putamen_R,SupraMarginal_L,Thal_MDm_L
Thal_PuM_L,1.0,-0.0791954840299495,0.6322611017544463,0.5065950371663113,0.6804060891074882,0.5579260792746993,0.6306249475055007,0.4210528510574568,0.4729701333504769,0.4632512885081643,0.4776966705890719,0.4333979062557904,0.3355544149618219,0.3897865600134578,0.7213996219890223,0.3528531768782882,0.6478807559961133,0.5689350025358337,0.40224076640595063,0.2765230195151689,0.5713365255423195,-0.17463739381291551,0.6048774972531489,0.7254739100712968,0.10522650058280729,0.6092678488244817,0.40792752647767816,0.0683118462034962,0.7282319912400563,0.44979112794435977,0.5949319492957592,0.6050953323090604,0.5973081276706581,0.009474490124827078,0.6179311207535115,0.6121375961927067,0.2255116300307298,0.3640606460411603,0.5079840674409247,0.5520336359588441,0.32428986229364754,0.44739767385535045,0.4600380167489936,0.5905847122151207,0.6691833853513378,0.09993328633885645,0.5691050965941524,0.5835967310337863,0.3397730738114098,0.6739757740395756,0.4989525840194261,0.44235179339614167,0.5370351249494999,-0.16907158973743788,0.12209086806455091,-0.09340672618104766,0.2383914506243911,0.5585303392244753,0.5992222654691841,0.691776409060411,-0.16616918553927026,-0.26630656668577135,0.5616028157476574,0.4660986017171655,0.6102720519545551,0.3583250466179592,0.537493840640017,0.0869851481445826,0.5036300891777081,0.21483794934584277,-0.30581619326080034,0.6157320100671771,0.2440734414835991,0.23965418252727383,0.6180139908093856
Angular_L,-0.0791954840299495,1.0,-0.12620557834063031,-0.06755579816904694,0.012975906659163833,-0.020365879221006543,-0.024181532352140028,0.10584776896814053,0.08119928047242221,0.10322421343266043,0.1488729193275962,-0.19867172106846712,-0.07382352350770902,-0.24520130184012814,-0.03445463543896271,0.1582691098236279,-0.03395289308703337,-0.21146165241037718,0.02462701237827189,0.187343600862436,-0.1374402622183304,0.6334887996191503,-0.07964653440177775,0.014138433437909137,0.23178426105563824,0.12910450623395256,0.05347855776357095,0.3646648400778201,0.018950899094729974,-0.11207352468551866,0.016839346595326814,-0.30940530821684503,-0.11516883202500437,0.3740590886347657,-0.040231680645987936,-0.23917936889591926,-0.3165149453924427,0.13406552404708313,-0.023685184359084187,-0.16626510152724114,-0.023288183262466535,0.2838242468043797,0.2574273295426435,0.08823598966507147,-0.04380401744890204,0.030427983239789715,-0.36848600726499975,-0.010113591980656044,0.26568856599144786,-0.1825096488184519,0.025023312066692057,-0.13317805971233992,-0.09555518070355509,-0.04877124201457278,-0.02392316984556227,0.22002066709438056,0.07911436612878084,-0.16126732871153424,-0.06855189041748153,0.07184591103968302,0.18955258144522888,0.42522835279493393,-0.19939053767552575,0.04015029095728468,0.03601973924004354,0.04360195364413854,-0.17709829257445742,0.1516334689900605,-0.3005909796276622,0.2016112119026778,0.40449126835734434,-0.06402885845687353,0.29645160909860485,0.43393527670636795,-0.02605135365425671
Precuneus_L,0.6322611017544463,-0.12620557834063031,1.0,0.5666881673370849,0.7430074108304078,0.7761804688699558,0.42583781823333533,0.5664633562201548,0.27952747990353327,0.27467856075238745,0.31139694675293905,0.601414648679876,0.6316585253939848,0.40380296265804677,0.7563298862055161,0.16245542023216317,0.7576973869209428,0.7491179132142847,0.23061012568554312,0.15697056611861862,0.6451498988436434,-0.059834519171830206,0.8718649455504565,0.785430806134874,-0.05604883115424108,0.48159778562719596,0.2567180191214662,-0.10577318641730891,0.8155810716456865,0.6043629199245323,0.5306813561927387,0.7142423106760523,0.848004519532059,-0.03795311485954513,0.8235607135538985,0.7570394612098379,0.2986149438357857,0.7599475505595991,0.6482221270074475,0.5620161431775563,0.2890526962009407,0.18224536139813097,0.42386249824187183,0.5942687142653422,0.8507192081108629,0.03866197486115621,0.5823970400168207,0.5832028989371785,0.31565656991120533,0.7633240550645408,0.37702925562785955,0.4184649285731673,0.5469312063499823,0.24163611912684085,0.03847145954302999,-0.18228444041841385,0.07846692766110519,0.7934645642575978,0.5691301438737577,0.6667067286026798,-0.18440581275412724,-0.28738385932407134,0.47536924120458934,0.5732882238253674,0.4937148828282907,0.29690671088813486,0.46833272904815615,0.047490553801716885,0.6691069319120895,0.1100075707409317,-0.12602289507312198,0.6017866909718091,0.09055320027343035,0.31131277770631877,0.46969729939422433
Rolandic_Oper_R,0.5065950371663113,-0.06755579816904694,0.5666881673370849,1.0,0.5340775867141244,0.603710110098565,0.2318658864671627,0.2294359706084245,0.22460680536455715,0.13530006726934596,0.1138942283633517,0.6300979841114845,0.5801150718878244,0.12174565471072525,0.5722387761657934,0.15894782083564957,0.5126170897131462,0.5565010045168512,0.4454167517443166,0.038740212904561866,0.7199711643555156,-0.12478087347006113,0.594489747110833,0.6145858881345001,-0.06298934633276121,0.210549792835214,-0.05917330394800733,-0.17382861888535123,0.609447940254814,0.8060690048858986,0.8270676314316803,0.4328840042768537,0.8469851112051615,-0.020518743962005207,0.5091930075189104,0.5501820743425317,0.09326243415529019,0.5312702661261959,0.8106417717346752,0.15854109502384645,0.43702405963339946,0.03251841118657179,0.23229484059565364,0.5457753798948567,0.4310743771457555,0.09249769757190608,0.4748641092263396,0.5034728386306373,0.47223042791074465,0.34916384733745115,0.03697444220394854,0.8787772697595658,0.3036864118350784,0.17515035869252982,-0.15065890477373756,-0.17248488593613964,0.12728389854151767,0.8735511578228933,0.7558953038921619,0.2596614527068826,-0.09082968554946232,-0.2288995491709934,0.49122791385171527,0.7575357126990767,0.5167728225288758,0.188317311713926,0.5215830095639388,0.2275012418984449,0.5225698512201989,-0.08526221680934726,-0.06169362870249526,0.5704620861232058,0.05465757951834346,0.3824236282501648,0.349047613428557
Vermis_10,0.6804060891074882,0.012975906659163833,0.7430074108304078,0.5340775867141244,1.0,0.6886795278319245,0.5260884106035648,0.530789281243053,0.31038548393373366,0.405584252888495,0.5018424366148345,0.5032890708002569,0.4123838560522348,0.42337448627585617,0.8324087821485959,0.2154811711329319,0.8111359736487299,0.5553871559455252,0.41450611612500804,0.29359868138510603,0.5455869367471462,0.012794650712595305,0.7699207726646851,0.8551344526540523,0.1523046358223891,0.6081008749632173,0.2929160577467603,0.1793549600029759,0.844834572194815,0.6098364799001222,0.5161440228051917,0.6448947931359362,0.6243009957084371,0.0014323605744636114,0.8201691242061092,0.6912541362849721,0.1916551282334383,0.512485689355467,0.5315719374720177,0.5712690610981337,0.46216243807783924,0.3853919110145707,0.45704633751120577,0.4411155019115492,0.8432445609107279,0.006835776286856034,0.515213709849266,0.5839864702856028,0.28462654645906493,0.6645428321226756,0.38684674279038167,0.45481812503798286,0.5078763855099764,0.11887258426392351,0.04549432882957027,0.06713121178765888,0.22791824723705162,0.6258042845098533,0.5314219825181671,0.7549032699295029,-0.013618796147573494,-0.07282309200018483,0.46060704368692057,0.4662903939927753,0.6619337095551363,0.3197421078848564,0.4888157869609153,0.2577292109744086,0.5177923687781246,0.355865383632339,-0.08048579638771376,0.5262535322528011,0.28822467578702077,0.28171472873115755,0.5492388336590585
Cerebellum_Crus1_R,0.5579260792746993,-0.020365879221006543,0.7761804688699558,0.603710110098565,0.6886795278319245,1.0,0.3410141784751574,0.6425054622784822,0.25335960156655174,0.38877485764913267,0.33135403078602055,0.5492265230366441,0.6104455025261236,0.3223195143670041,0.785438811012423,0.21724110617363118,0.7005409334186753,0.679834212113835,0.32581942290862204,0.19321599283726784,0.5924399392074521,0.00819599167983212,0.8291489970654939,0.8071904192055019,0.12115453141695441,0.35490220559791513,0.2843668381930889,0.12457550470372643,0.8661713978806891,0.7321279993840925,0.6948708877872362,0.7370610174434713,0.761320428894713,-0.002202974143952561,0.7498266192952519,0.7902144915263112,0.2669340842531326,0.6451667316458569,0.6503625191929757,0.5211534832626827,0.4583317704233549,0.2797016138350376,0.46662101426642527,0.5165112230290528,0.7219112204797146,-0.005177850528688537,0.46192501713708123,0.544021301768583,0.5051806275187808,0.5212789427500908,0.2626993366260326,0.5633360712317034,0.571341511700309,0.15967732325355166,0.08546846201461172,0.005193869432859747,0.24637468455671255,0.7334058458950955,0.6382155007132143,0.5761544400320332,0.1485060819130252,0.015109913202577301,0.4233817490909823,0.65394899585253,0.5707313950332576,0.2970605950905896,0.4960830756998335,0.31375590107416,0.6098420556214775,0.11668886945657947,0.005118044087584703,0.5406385720576342,0.16367968895587318,0.43827782937932785,0.3305878646338511
Thal_PuM_R,0.6306249475055007,-0.024181532352140028,0.42583781823333533,0.2318658864671627,0.5260884106035648,0.3410141784751574,1.0,0.21033780273617364,0.25551911095687824,0.4346430470210943,0.5495876145707508,0.42955925438599196,0.09319527893267862,0.4181602649055439,0.49187313106118485,0.12485819547881091,0.35547316262758577,0.37222054786174,0.25987968775312176,0.3649430887506552,0.2749569468713536,0.02957098376849467,0.48473588583502547,0.4492294078766125,0.17050101058957728,0.6771815859803052,0.33362778667088017,0.21702408350242983,0.44328729619352053,0.34741766093613,0.3340954653526703,0.3432016199225367,0.27796866770308465,0.038046193161122684,0.44914474587197184,0.29712217459781076,0.2105338637488285,0.1558578510302275,0.2029834580171695,0.506764324036065,0.24512895147679817,0.3958544968488758,0.48574870411839016,0.35659928801655705,0.545256255826254,-0.018514370374619962,0.3182380011368659,0.5284104229935861,0.2162740676674393,0.5167206435768262,0.680038591201332,0.22852549825016424,0.42206393205881804,0.08944390500208596,0.08777067882871768,0.10255285631596339,0.09795378311309333,0.2605643147400553,0.32214279929881445,0.5846357010149265,-0.06708745710787072,-0.046150794089424296,0.43613066871070055,0.22134787353272387,0.49652624677810164,0.1966404224563487,0.23160624506669525,0.2172041393205249,0.415759200652915,0.34871006249569014,-0.19799974402307643,0.3806933259854984,0.37226887046099105,0.20491708788899532,0.5080955945293955
Vermis_7,0.4210528510574568,0.10584776896814053,0.5664633562201548,0.2294359706084245,0.530789281243053,0.6425054622784822,0.21033780273617364,1.0,0.2835645135648477,0.5112616242497167,0.3513042911901599,0.14048892616695552,0.2747864280204209,0.3861451160946192,0.6690295256018541,0.21851531076536335,0.7313015318630446,0.2727908259732497,0.2710814027922054,0.29549036844775667,0.32437524527715417,0.14881890461236874,0.5405421452948042,0.6593954086391123,0.27139965317794795,0.42931237875371453,0.4450830293827496,0.3102496899551327,0.7318726486913302,0.36550974394178737,0.30521978941562955,0.6137047103137202,0.38407788370380536,0.0388823204644985,0.6480700752062829,0.5985059524479871,0.17390988537993793,0.6044534231196919,0.30173453958358704,0.4355529065438672,0.31986801536054565,0.4204889710032334,0.3314183375116011,0.2287763737266324,0.6888701572710932,-0.03506716149346881,0.32682536915527244,0.3877984499200136,0.3231481224615671,0.41128492849826,0.2378423722515808,0.24064603757075692,0.47511200728093234,0.10377973747255256,0.10786861997150479,0.22223039210323378,0.31851930118138205,0.3311237111059243,0.31287206188289923,0.6384877416238959,0.23639302707786558,0.18754734513065116,0.2682550603892313,0.2580611842547969,0.4429190027486213,0.4409848592358025,0.39910101151822824,0.3476472510111277,0.2448056580767582,0.26583184574306246,-0.03904692300522104,0.3628694469760959,0.188920364425319,0.21908304292539146,0.3782782943004017
Pallidum_L,0.4729701333504769,0.08119928047242221,0.27952747990353327,0.22460680536455715,0.31038548393373366,0.25335960156655174,0.25551911095687824,0.2835645135648477,1.0,0.5227729449479185,0.37958862636096113,0.2552227716572094,0.19708753089267125,0.347401698384243,0.5008822433394762,0.5540525498623838,0.28788300035338543,0.3636242115447458,0.718913284320676,0.29383516126362746,0.498003541948194,-0.041776608328179324,0.318332271153007,0.439062501609674,0.4114465684012841,0.38444143550637455,0.5102635388001131,0.26623645724749967,0.4163176428137371,0.1283969044146775,0.20819185695890235,0.4199771015206367,0.23868951931532445,-0.06571841691376505,0.4015028934604276,0.4528690061118938,0.3069636878558578,0.25485470416527445,0.3140841787442486,0.27566647539566086,0.20771403373976322,0.6597447376242953,0.34140544296829617,0.43617558726489475,0.4052144282808499,0.16388770957900392,0.5345391709070068,0.46295220990962976,0.420252084561027,0.4497064952207593,0.25408772388901685,0.21031174551680668,0.6038540778368258,-0.1288397923262168,-0.04129563381688873,-0.14007365290527643,0.7602819640358396,0.18413967973260234,0.45911951940907136,0.430577651789258,-0.06939640809869295,-0.016584459516809574,0.6514938175983657,0.35462448710901023,0.5661542406590672,0.6192265734382312,0.691191803855002,-0.008163472330321586,0.35123419685115015,0.37707518357568165,-0.03144045222363654,0.5385208094182194,0.38116089439617357,-0.02896747577859004,0.40416502068446086
ParaHippocampal_R,0.4632512885081643,0.10322421343266043,0.27467856075238745,0.13530006726934596,0.405584252888495,0.38877485764913267,0.4346430470210943,0.5112616242497167,0.5227729449479185,1.0,0.8052011000518764,0.33399299476269817,0.23880180208475535,0.5120955112002098,0.5132449153721336,0.1719397117386065,0.3136822833662979,0.346569690806327,0.6138966337115742,0.42149618642610226,0.34384394009086644,0.21554112471801973,0.28567204159511833,0.49271409977640124,0.6472309252478863,0.4872254423735862,0.584260240727888,0.6232151463407407,0.4943457696093555,0.2662430785464687,0.2301014058506069,0.33425890975917955,0.20113327996119393,0.037905018657932804,0.36886499222563796,0.3076512583109423,0.18956435985162312,0.3375732101779272,0.10619173272078652,0.5495546541966969,0.483624505894296,0.8520153984805557,0.5742443254701262,0.33757998563105324,0.41069035882564703,0.01968683170498313,0.3892829449844863,0.5684235934557436,0.5499094315750014,0.390451182911232,0.4897234773215451,0.22760962090164294,0.6778605493855393,0.02683273401413222,-0.01728716737657472,0.30974941538031475,0.4973196754178002,0.17243998353229706,0.41772965151187946,0.4507368720218343,0.35903733040264796,0.3674943773816349,0.5149495284729249,0.3185137350510366,0.6839181337748503,0.6440511499868975,0.5520809410433953,0.3835461912307889,0.4299076565639715,0.5618104793575219,-0.10278100087610026,0.5469633600743989,0.6515670476127606,0.1562306835740758,0.509020363709679
