,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8
SN_pc_R,1.0,0.15486675814673076,0.35582763897391645,0.3945838545842557,0.37133952890232164,0.2129542403733101,0.46535637663379686,0.14056816087971422,0.12654416085383982,0.09498495526994626
Thal_MDl_L,0.15486675814673076,1.0,0.32187927687296347,0.344595944988492,0.088220817928729,0.1911380047736867,0.20984301837466207,0.36687587453083276,0.2832860707177097,0.10382194677235311
OFCpost_R,0.35582763897391645,0.32187927687296347,1.0,0.5270986111643818,0.4581648965666807,0.27905648845378245,0.4111988773590551,0.04430425725169354,0.2978052677195432,0.3784704802714818
Temporal_Sup_R,0.3945838545842557,0.344595944988492,0.5270986111643818,1.0,0.6285929275654892,0.7406652144634348,0.5301664267160552,0.07858042998172497,0.21313433631877904,0.3157531703645706
OFClat_L,0.37133952890232164,0.088220817928729,0.4581648965666807,0.6285929275654892,1.0,0.6076130771722669,0.49952870536936933,-0.11875612239318721,0.34402750899403073,0.43568377796372576
Heschl_R,0.2129542403733101,0.1911380047736867,0.27905648845378245,0.7406652144634348,0.6076130771722669,1.0,0.4195725557655722,-0.15974623262822832,0.3350850929829967,0.35939721208676173
Cuneus_L,0.46535637663379686,0.20984301837466207,0.4111988773590551,0.5301664267160552,0.49952870536936933,0.4195725557655722,1.0,0.10499357107079477,0.40966610918012947,0.4176500514903562
Occipital_Inf_R,0.14056816087971422,0.36687587453083276,0.04430425725169354,0.07858042998172497,-0.11875612239318721,-0.15974623262822832,0.10499357107079477,1.0,0.10507317406241108,-0.19838818994351232
Temporal_Inf_R,0.12654416085383982,0.2832860707177097,0.2978052677195432,0.21313433631877904,0.34402750899403073,0.3350850929829967,0.40966610918012947,0.10507317406241108,1.0,0.44325865896499106
Vermis_8,0.09498495526994626,0.10382194677235311,0.3784704802714818,0.3157531703645706,0.43568377796372576,0.35939721208676173,0.4176500514903562,-0.19838818994351232,0.44325865896499106,1.0
