,Thal_PuM_R,Frontal_Inf_Orb_2_L,Fusiform_R,SN_pr_L,Insula_R,Thal_LP_R,Thal_PuA_L,Frontal_Mid_2_L,OFCant_R,Occipital_Inf_R,Thal_VA_L,Heschl_R,Thal_MDl_R,Temporal_Sup_L,Occipital_Mid_L,N_Acc_R,Temporal_Pole_Mid_L,Precuneus_R,Pallidum_L,ACC_sup_L,Vermis_6,Parietal_Inf_R,Thal_IL_R,Thal_VL_R,Temporal_Inf_R,Amygdala_L,Cerebellum_4_5_L,Angular_R,Precentral_L,Cerebellum_6_L,Cingulate_Post_R,Cerebellum_10_R,Temporal_Mid_R,ACC_pre_L,Red_N_R,Cuneus_L,Thal_VPL_L,Rectus_R,OFClat_R,Thal_MGN_L,Frontal_Mid_2_R,Precentral_R,Hippocampus_L,Putamen_L,Thal_AV_R,Paracentral_Lobule_L,Supp_Motor_Area_L,Frontal_Sup_Medial_R,VTA_L,Thal_AV_L,Cingulate_Mid_L,Olfactory_L,Temporal_Inf_L,SupraMarginal_R,Thal_LP_L,Occipital_Mid_R,Thal_VA_R,Postcentral_R,OFCpost_L,Frontal_Med_Orb_L
Thal_PuM_R,1.0,0.2182461325335334,0.48668151748777605,0.2840821208467829,0.42135890157222544,0.560008106565532,0.31013789255599833,0.35659928801655705,0.4466236696223011,-0.09365899918813168,0.10583138089398754,0.3340954653526703,0.6370457778718152,0.314784614337107,0.2639063621124541,0.3806933259854984,0.23160624506669525,0.38426138742862226,0.25551911095687824,0.32214279929881445,0.35547316262758577,-0.21158558139220165,0.680038591201332,0.6771815859803052,0.48574870411839016,0.38663826167747956,0.56313220746538,-0.19799974402307643,0.21204473879651958,0.49187313106118485,0.4346399789896614,0.11968107879728553,0.4959936616677564,0.4623944944854502,0.3222677025368566,0.1558578510302275,0.33362778667088017,0.30762231162982273,0.2972740730689446,0.17050101058957728,0.32606884011010145,-0.043367638685546016,0.49652624677810164,0.3104355130188952,0.37893510016331816,-0.13579907928313106,0.09319527893267862,0.37222054786174,0.06344454992010694,0.10255285631596339,0.27796866770308465,0.25987968775312176,0.3182380011368659,-0.03905682738706868,0.2029834580171695,-0.08332176816748296,0.3649430887506552,-0.02027575074322768,0.23031628144098823,0.3062324249996441
Frontal_Inf_Orb_2_L,0.2182461325335334,1.0,0.6048686119056254,0.2846649162171898,0.7211240482441368,0.34230140186069496,0.3607314650554877,0.628213135419927,0.6150160846245644,0.005118653332335444,0.22279775139464975,0.5646893411310006,0.18253707645783365,0.7213188838708552,0.21531173523888242,0.45377984408562005,0.6407558536244309,0.4171456072291385,0.38636612519710023,0.7769878548191517,0.36927401741837657,-0.1465550573431601,0.17012451696706957,0.25849496455940457,0.3864256171492674,0.34626454021287434,0.4368861553219032,-0.09217925155872274,0.6521238643271382,0.5420332657385298,0.5613866075400145,0.44106943482595923,0.5465667423147342,0.6515851675690902,0.21428365209340605,0.44192222857558466,0.0918110917381259,0.4495082733864779,0.6491943377916517,0.273765826443057,0.4487115547161018,0.43038143315504196,0.663816945672061,0.3432044231298448,0.33080367970137586,-0.11006070705693259,0.5699307807840094,0.5456543463983103,-0.07717470073280598,0.06845344543488546,0.5990201236746332,0.6583388940527343,0.5170000132664665,0.28414942339747135,0.5136449048166921,0.13426861718953478,0.23812828224771887,0.33602266849519274,0.7485540130819981,0.5781137499054863
Fusiform_R,0.48668151748777605,0.6048686119056254,1.0,0.3078147871514601,0.6359080600656009,0.4996730262404737,0.48700792615262317,0.5484380723283686,0.5915635653146445,0.18443118302990236,0.3084250768368297,0.5816458980700895,0.26081066578815904,0.6781544692372372,0.41581777027488126,0.5681880828115236,0.6057724470584861,0.6575809827088179,0.44065489407374375,0.5936449855971192,0.6667873898661225,-0.1747698931720396,0.3800445907192542,0.4269820139999593,0.6039056165018339,0.3454314362850202,0.7073877415309104,0.031039294371248864,0.5426573020540573,0.8421423782538086,0.70914998846431,0.5841575749740003,0.6746986913969517,0.6258391281977334,0.29080515468074636,0.5614992144999882,0.4081753335990475,0.4542634299166983,0.4803553338643074,0.36141420288226556,0.4193625807205465,0.24951989369839656,0.7216679219319443,0.3291071136815342,0.28567366366829217,-0.05617447007032174,0.4977998128769494,0.6065736717619917,-0.039439581038980355,0.1016581453022077,0.5859644656962618,0.5321858001425163,0.5098699903627899,0.19697825560797627,0.5070755613668625,0.13841942984877317,0.29880293206146386,0.20583916834106947,0.5148045675209095,0.5786456435480453
SN_pr_L,0.2840821208467829,0.2846649162171898,0.3078147871514601,1.0,0.3283484213789341,0.37825829365093033,0.3950635888189053,0.3456805646235184,0.4023651532854461,-0.2460699277245837,-0.12330238057337378,0.21412364988444313,0.2850104729699968,0.32879894777533003,0.020266004668479155,0.7157548747221946,0.5157304461850825,0.1769247813723547,0.5694468718688154,0.46254539890876684,0.21280544020046677,0.0926536796452924,0.30663097974387876,0.36546012681679374,0.2451486836053602,0.4587819942367702,0.5205781290638634,-0.19259740251243337,0.20734196874796781,0.39375154026696113,0.30370773292714665,0.2156507207240833,0.06913674775609832,0.4561610066785512,0.4978045633509952,0.3207357114104036,0.29237840225207484,0.32179493472968856,0.1865238371195046,0.14297454103256524,0.13952784795288953,-0.041337332127487914,0.4802030399065281,0.4775315402950491,0.34833540386958434,-0.05309254260821883,0.08304666661965775,0.2449329407906204,0.3287763162424337,-0.0702823607905649,0.2442234530708245,0.6041704034211965,0.399496263733591,-0.10945750072895083,0.23517489880731265,-0.11815792020054648,0.07281513530234289,-0.08855775202049898,0.27971562375376763,0.5275151453147596
Insula_R,0.42135890157222544,0.7211240482441368,0.6359080600656009,0.3283484213789341,1.0,0.5992033505089209,0.5512971784376375,0.5373600163632452,0.6392927141027834,-0.007576443773953237,0.09187681005167145,0.7366782873601228,0.4319106722835244,0.8386015893166578,0.2581201273258175,0.5480345345040508,0.7005370394873113,0.5879614847568585,0.4527834793904465,0.8004264101764426,0.5943524380939639,-0.0247151909573088,0.21364229357546297,0.4706738557541858,0.3438438533210554,0.38091764459844335,0.5152459540320056,-0.06507643084995088,0.6309011848700076,0.7415702807674254,0.7529468308940477,0.5770772836223781,0.6481319041628532,0.6554877351264781,0.29024225408959664,0.4932582230232754,0.1833764758384498,0.3578877336094197,0.6479985738009116,0.2057372652408008,0.5568187037862917,0.5887526903532146,0.7820224344779684,0.32405076318386405,0.4555354690828928,-0.14294100335147183,0.5556176329452501,0.5733051207470297,-0.06563571963212245,0.013924533984398272,0.7447315648494818,0.6620640332274478,0.6100339496123601,0.49648734457681487,0.7273372426611187,0.06427974492600019,0.3157852995251064,0.515406834290608,0.6113286367532911,0.6371596958374229
Thal_LP_R,0.560008106565532,0.34230140186069496,0.4996730262404737,0.37825829365093033,0.5992033505089209,1.0,0.4633537525249373,0.2716083987061823,0.44266785849484813,-0.008859570027064312,0.13011608723378604,0.5222216039761454,0.39702482053613036,0.48732102882949696,0.08038391146082394,0.48908940511604065,0.3194521493245765,0.380486462877521,0.23148774890192472,0.43627901527008417,0.47976366863302033,-0.06576717142288165,0.3482823725113415,0.5771792620130787,0.3149145007155505,0.43952275856701595,0.35576933484444717,0.0058893294073018645,0.3671036881085151,0.5859552100772502,0.5504680058092357,0.40345951402702324,0.46559519056869153,0.4717182474815517,0.2709535485716167,0.3288195859246722,0.2112084062464874,0.30169208618997373,0.4131658576453651,0.10399016098698423,0.2100964077966586,0.15492512053707544,0.5885602697510868,0.3138095103387026,0.2812919433449073,-0.055719178609283875,0.13562918044393074,0.26698872467337925,0.06467249897103289,0.2105632770837019,0.39571379376690097,0.38989233842211135,0.23947390159556753,0.16314982614674783,0.42084921527555436,0.027206588972388424,0.2302182527602006,0.1914609901195401,0.4641389186736576,0.3057728261566391
Thal_PuA_L,0.31013789255599833,0.3607314650554877,0.48700792615262317,0.3950635888189053,0.5512971784376375,0.4633537525249373,1.0,0.6003693167215144,0.3399107455170242,-0.10890293009018805,-0.015003759001804243,0.605815478202577,0.37365023477160725,0.5245438110109665,0.19570235602973146,0.586857405672623,0.37043627153493625,0.42704365342974465,0.4368923787305915,0.5273546398721232,0.39394413306354553,0.07495524882332065,0.2819513478339114,0.31237428500735365,0.39404748550694785,0.25016571585172176,0.45541239401337613,0.09804356435918458,0.6153057967245029,0.5150163174855156,0.5575076350644642,0.3628581013253159,0.25363565990162185,0.46167246178845717,0.2148392093147437,0.3829170151109999,0.2934054702917448,0.08889249001005677,0.2474297026124901,0.06773775582699833,0.12815899796912372,0.09858987926192196,0.4459485835087304,0.11392750343487032,0.3101408773581744,-0.11755054378104342,0.3811633303902959,0.4828521565494711,-0.09537272556788132,-0.13904061094153408,0.5175196348018873,0.37117764339921505,0.317302199762443,0.020888416761624954,0.5208730627401008,-0.14247575847773147,0.1272506429081339,0.06116860701346121,0.22566509869104928,0.44369543840675946
Frontal_Mid_2_L,0.35659928801655705,0.628213135419927,0.5484380723283686,0.3456805646235184,0.5373600163632452,0.2716083987061823,0.6003693167215144,1.0,0.4673189104999954,-0.23457845818183912,-0.06335271087654559,0.6357754142317465,0.44872829320637797,0.6716906687909657,0.3550125758776581,0.5636833143772862,0.4535968812338535,0.5509251606666447,0.43617558726489475,0.7124403980307382,0.40884550731695735,-0.02589283888618653,0.3040319975425865,0.30851804249141235,0.49626530668188756,0.23051496901072532,0.4716524024594392,-0.1424163948328167,0.8335615541210564,0.5299675191634082,0.6154679183805254,0.30352122851212915,0.3234064011997691,0.6110034086541725,0.18772632729640432,0.47470008898016197,0.1589130278663672,0.15677856430763418,0.3388916856643234,0.032726335175773925,0.32501498361882103,0.10408011955488589,0.4416134868306904,0.129113951494683,0.49192028443284597,-0.09127186603655918,0.6222309988690159,0.735813485396647,-0.029909079393390776,-0.21660908003716348,0.6563812218972508,0.41044888560667336,0.45777599944096853,-0.042208780583173136,0.5503319494183784,-0.2084082786718347,0.12702577231862894,0.015270624021664944,0.27368272774382374,0.5586487117188591
OFCant_R,0.4466236696223011,0.6150160846245644,0.5915635653146445,0.4023651532854461,0.6392927141027834,0.44266785849484813,0.3399107455170242,0.4673189104999954,1.0,-0.0006178568591229259,0.2917429943593365,0.3519595921956094,0.4443870969820608,0.4839866220370639,0.41474249206704333,0.529507017901919,0.6471765293492069,0.4147657357643191,0.6029516752042189,0.5624124420521622,0.44126077486238663,-0.09460009135500765,0.4805094201680524,0.6523075731310519,0.6106162614751167,0.36616346934056815,0.7021587454546057,-0.08975876558091656,0.39019886707204643,0.6098765483247043,0.44855820729675383,0.4019539040077633,0.5631201865709059,0.7452237450878788,0.42500496407873917,0.4265819104396424,0.46959952296382557,0.6376440254753732,0.5720251961742162,0.5437952970678878,0.3175629657389681,0.09481807989947666,0.7520639120155395,0.5550010980637845,0.45159380658504117,0.04655936382501626,0.3738222402084911,0.4768700319811522,-0.0639297547560912,0.18710425486861887,0.41535513341931857,0.6892529512116995,0.5330164921723135,0.08905981158616158,0.33547333603842777,0.12338410138925333,0.5627614156563441,0.07643445915059803,0.5399360354797614,0.7904500500245769
Occipital_Inf_R,-0.09365899918813168,0.005118653332335444,0.18443118302990236,-0.2460699277245837,-0.007576443773953237,-0.008859570027064312,-0.10890293009018805,-0.23457845818183912,-0.0006178568591229259,1.0,0.4101175691332859,-0.15974623262822832,-0.25721087365645046,-0.07040151650945635,0.3446590023906475,-0.1733303817747846,-0.0005501366779572853,0.06311432391297539,0.02113067286866543,-0.1335938896078337,-0.1666509351499838,-0.1335199051339184,-0.053540592867203175,-0.09257213812340973,0.10507317406241108,-0.0024187554781653292,-0.01977226060283406,0.5311020053386282,-0.09761704200810871,-0.07501431159291237,-0.027849359542135937,0.2031018572503839,0.37105759927216225,-0.11548363085840578,-0.06939176953710831,0.10499357107079477,0.0592939484182118,0.21069134735897274,0.051523472112642556,0.1940608297388072,0.06923275835935327,0.16398792489394967,0.12821663163145822,0.05737787352317126,-0.3030699180623519,0.20450841087806673,0.05509198578728819,-0.11832227017700532,-0.1953856110421953,0.22456022660837796,-0.0641388181471937,0.1221509085481367,-0.12502214563217426,0.23623559110709594,-0.09931623018854782,0.2730460468708602,0.018652416670033905,0.2339626030358351,0.11012129463678123,-0.006888138526717926
