,Thal_MGN_L,Occipital_Inf_L,ACC_sub_L,Thal_AV_R,Cingulate_Mid_L,Frontal_Sup_2_L,SN_pc_L,Vermis_4_5,Cingulate_Post_L,Heschl_R,Frontal_Sup_Medial_R,Vermis_6,Thal_MDl_L,OFCmed_L,Angular_R,Vermis_7,Paracentral_Lobule_L,Amygdala_R,Raphe_D,N_Acc_L,SN_pc_R,Cerebellum_9_L,OFCpost_R,Temporal_Pole_Sup_R,Parietal_Sup_L,Thal_VPL_R,Red_N_L,Angular_L,Red_N_R,OFCmed_R,Frontal_Sup_Medial_L,Temporal_Sup_R,Hippocampus_R,Cerebellum_4_5_R,Cerebellum_8_L,ACC_sup_R,Temporal_Mid_R,Cerebellum_Crus1_R,Paracentral_Lobule_R,OFCant_R,Frontal_Mid_2_L,Temporal_Mid_L,Thal_Re_L,Cingulate_Post_R,Cerebellum_3_L,Heschl_L,Cerebellum_9_R,Thal_MDm_R,Thal_VL_L,Parietal_Sup_R,N_Acc_R,Olfactory_L,Precentral_R,Cuneus_L,Frontal_Med_Orb_L,Cerebellum_7b_L,Thal_VPL_L,Thal_PuM_L,Cerebellum_3_R,Precuneus_L,Temporal_Sup_L,OFClat_L,Precentral_L,Cerebellum_Crus2_L,Caudate_L,Thal_LP_L,ParaHippocampal_R,Thal_PuM_R,Frontal_Med_Orb_R,Olfactory_R,Cingulate_Mid_R,Parietal_Inf_R,Cerebellum_8_R,Frontal_Inf_Oper_L,SupraMarginal_L,Thal_AV_L,Thal_PuI_L,Lingual_R,Thal_VA_L,Temporal_Pole_Sup_L,OFClat_R,Vermis_1_2,OFCant_L,SN_pr_L,Thal_PuL_L,Parietal_Inf_L,Postcentral_L,Cerebellum_Crus2_R,Fusiform_R,Thal_LGN_L,Thal_MGN_R,Temporal_Pole_Mid_R,Frontal_Inf_Tri_L,Thal_MDl_R,Cerebellum_4_5_L,Rectus_R,ACC_sup_L,ParaHippocampal_L,Thal_VA_R,Thal_VL_R,Vermis_10,ACC_pre_R,Rectus_L,SupraMarginal_R,Temporal_Inf_R,Cerebellum_10_R,Amygdala_L,Supp_Motor_Area_R,Occipital_Inf_R,Putamen_L,Insula_R,Cerebellum_6_R,Putamen_R,Frontal_Mid_2_R,Supp_Motor_Area_L,Pallidum_L,Occipital_Sup_R,Cuneus_R,Thal_LP_R,Frontal_Inf_Tri_R,Thal_PuA_L,OFCpost_L,Occipital_Sup_L,Thal_PuA_R,Lingual_L,VTA_R,Frontal_Inf_Oper_R,Temporal_Inf_L,Rolandic_Oper_L,Thal_PuI_R,ACC_sub_R,Postcentral_R,Caudate_R,Occipital_Mid_R,Calcarine_R,Temporal_Pole_Mid_L,Frontal_Sup_2_R,Thal_LGN_R,Thal_IL_L,Frontal_Inf_Orb_2_R,Thal_PuL_R,Cerebellum_6_L,Thal_IL_R,Frontal_Inf_Orb_2_L,Cerebellum_10_L
Thal_MGN_L,1.0,0.2783570706935253,0.02267587913120642,0.01728918835876948,-0.10817739707023052,0.09076661855877885,0.5829709347647305,0.1375867402407246,-0.0693420971984063,-0.0053395699039149,0.058323963936946124,0.06048965740633747,0.28363616794861135,0.023714615942079652,0.11750684015073458,0.27139965317794795,0.27042648080904497,0.458359922875404,-0.2246605999873019,0.32878225205044165,0.39591477534231023,0.12328217742152772,0.37655935196822776,0.15223260245296466,0.14157993935545302,0.17672913603074553,0.45678000431756394,0.23178426105563824,0.24374838651077232,0.36471975013109426,0.15945602451144392,0.04019472372417998,0.5440707650373223,0.18249538095181853,0.04988201377329284,0.22836158186669192,0.33424020602759663,0.12115453141695441,-0.07334347589440939,0.5437952970678878,0.032726335175773925,0.2624776425808675,0.4100772741050567,-0.07557839613720663,0.3061993632305485,0.014575185611156106,0.21310370143722784,0.27350327029968835,0.7895271136461769,0.21911526284266142,0.19432842501778594,0.4115417043454604,-0.19085046241086537,0.0785940438295196,0.45862821070321647,-0.037825000447645994,0.5788068813852388,0.10522650058280729,0.3210917232823385,-0.05604883115424108,0.01876386605081872,0.025132778554918408,0.0012187795442620583,0.10366264893674229,0.5137635959688029,-0.08351125935974522,0.6472309252478863,0.17050101058957728,0.36393070370984854,0.6647494275645732,-0.10749847385642847,-0.06264932569301157,0.05883589727029852,0.0818176357223536,0.03572756505414967,0.4300790082378121,0.22771712870465038,0.16572423838004038,0.6021806900289054,0.18502906079689363,0.22433947452853187,-0.1598399495262796,0.47646203345175747,0.14297454103256524,0.1940026439188455,0.08255322085463429,0.06577274646034362,0.1748240351687358,0.36141420288226556,0.28381803052537347,0.24455373253260015,0.4101781954105923,0.0541665880605353,0.05101509971194165,0.5659253992617983,0.4776514261889039,0.07595481190630689,0.7183746161133068,0.5282669308654239,0.2831870050395107,0.1523046358223891,0.3271677088333322,0.2032102716417387,-0.16859818248437883,0.4980864106178987,0.0037996529907649242,0.12211002570237464,-0.011174810090470897,0.1940608297388072,0.3960868171749742,0.2057372652408008,0.16319059385290427,0.6004914072592675,-0.026924425253160716,0.08393427517868741,0.4114465684012841,0.1536931780579338,0.12888207335688098,0.10399016098698423,0.09230030217385116,0.06773775582699833,0.3836826949899107,0.31244753226335575,0.40623405379682304,0.08402125119956436,-0.03312596450356382,0.14144060986761392,0.1472612140931471,-0.06523986601425887,0.15721303946504,0.23412193904504036,-0.19877530336965352,0.6057151222503074,0.4162564575543107,0.04131006743265508,0.2907742888912757,0.12840397396260755,0.6020436317036648,0.6758802190661146,0.23301439398574333,0.031997993316393296,0.18285717677219293,0.25901380667323165,0.273765826443057,0.2041827680217751
Occipital_Inf_L,0.2783570706935253,1.0,0.22401368746135406,0.07517074292964662,0.19277295731994737,0.3240131438796333,0.2778081555694529,0.39850462716382595,0.3153026261955387,0.07919718996049699,0.30117810000922596,0.17294981761870404,0.045386429231212014,0.2673534480936844,-0.24112209301281484,0.17390988537993793,0.031264956514173714,-0.02377286405797139,-0.03389497320423096,0.22678548194829692,0.5578575690254821,0.20756741123948103,0.1610886012906276,0.17786884927157312,-0.14092259563390366,0.17247032247773605,0.11501779226377062,-0.3165149453924427,0.16380994504137514,0.4365083886144163,0.33838725610509285,0.21051319912183225,0.09115525883192738,0.39808204397959684,0.37282565963335984,0.07161857211288084,0.2741100374530443,0.2669340842531326,-0.044080399880737926,0.16195679181943265,0.18593472141176706,0.4555971988587799,0.12202021127251153,0.30175715853080104,0.45980373583819667,0.1394447585162022,0.24066010862934667,0.18199045423425847,0.155364411988984,0.1135869677989042,0.12197260426180591,0.2520101732490892,0.18092408042671898,0.17996724806722594,0.23471349957218693,0.4999264200532905,0.24160642861299353,0.2255116300307298,0.5420063849059407,0.2986149438357857,0.24730922821850534,0.26701516054057367,0.028399158350238127,0.5991340924284815,0.35818903735292185,0.16510707331464664,0.18956435985162312,0.2105338637488285,0.08459425976600278,0.13118541347809837,0.1812514038172245,-0.10380885069359456,0.26236598547019196,0.22033053214336357,-0.10903415715547965,0.018610500230762432,-0.037118853665567865,0.3071114636329048,0.1035409759427471,0.22701122290144574,0.15962261727747504,0.18473029540523955,0.07602135593813328,0.07230228166446584,0.11609279898416743,-0.24213006359175188,-0.05631251523343159,0.2847066784616775,0.39629005593436994,0.0853141066555554,-0.02149498602555335,0.24277827298468588,0.15328689186767372,0.03188069761142137,0.4409973972917277,0.062151159078632584,0.15864939790632915,0.1045357227936494,0.10894113649585016,0.03603480579159026,0.1916551282334383,0.25966183845726387,0.31680146433345785,0.15064567390238323,0.1319085778087386,0.04769510922616005,-0.240217652095831,0.2982855102236628,0.20137346401819245,0.07834195757035554,0.23181749317440742,0.23213796090379618,-0.10471806481288017,0.44774078839103804,0.1989379777054297,0.3069636878558578,-0.1331610649972143,0.24275652056167876,-0.003401384550355002,0.3517573497582646,0.08832983358283149,0.017363251596907037,-0.24571146377510972,0.2461231488989052,0.3463817626477323,0.2591036230668276,0.1731515337542841,0.5477075306682729,0.11963960713975673,0.2139838771999324,0.17031248171791938,0.11039310067912234,0.24050922485902076,0.22030164520243065,0.3696686386700981,0.4146944069812466,0.43126426214417396,0.2046670313684978,0.001804039374887077,0.1456821475079075,0.1378517751101166,0.2755096931100515,0.11345342435488281,0.1789325155987524,0.19772049010259551
ACC_sub_L,0.02267587913120642,0.22401368746135406,1.0,0.2468450402954852,0.42289806045239253,0.29583837208545505,0.2057741307433967,0.18852169948463993,0.3465782894990082,0.39743228543622344,0.2558069407571231,0.266763506176347,0.41295573260184587,0.3408093142726207,0.027387424436666533,0.17156365666192075,-0.11628929087261464,0.16804609102580695,0.15612649352452204,0.29591658551682803,0.32970248908915173,0.37427386238145594,0.5758331838324627,0.5654757794591884,0.14714508978940333,0.25911518685565976,0.113204227636994,-0.0002450098131227405,0.22969541975829466,0.22111330359456607,0.35182668918543375,0.5942959812491655,0.2682101014457086,0.33434692741643257,0.24555516709615816,0.596427093132649,0.4759962512646227,0.3123274354878212,-0.18166386327614914,0.4221935864515038,0.3431605094591749,0.5070957837499399,0.27099544836702816,0.463512437540892,0.13375753486713618,0.6548036271515119,0.3283999356189977,0.09122252630212624,0.11463642562548813,-0.010201971737428855,0.28014535039439714,0.6469966680010403,0.4912717511627269,0.39754119286853623,0.4101896191076695,0.29472688805896374,-0.09503648219277162,0.24315822697027697,0.19966913840892922,0.251684804101537,0.5862986245951487,0.5108049321942374,0.3892389106117695,0.2839335758148606,0.2627714802334422,0.4492466852514319,0.2227421961009787,0.21360388490116042,0.37923316741471613,0.11801007181090473,0.47493916787548474,-0.079347913385937,0.19365059393902465,0.5223221300910321,0.2219448615716767,0.1555710008691195,-3.0026485696339488e-05,0.27715282702518296,0.15428060765993556,0.5780710074521129,0.4928142762108767,0.3507841100321377,0.38037259786249195,0.25793246652913027,0.0884591070056159,4.827220049810362e-05,0.22412449967117395,0.1251747953909119,0.37060508813458826,0.08043707217215687,0.2158904938787895,0.38456052488498454,0.42737690460430533,0.09806838324584687,0.25550952072839406,0.3062381224257343,0.5800533235650862,0.1071403756292233,0.1822350523425575,0.277501327239044,0.40122175248995917,0.4923369854662999,0.4023570412967688,0.49946858838868885,0.13143241673541295,0.4539480145674592,0.34378042869681236,0.2948679027923963,0.1909281292911485,0.40964818301177247,0.647198409054125,0.36178879653567103,0.1553528080387883,0.4964175697649713,0.3265077356622613,0.24103917666293495,0.1410612862038716,0.3139688306047486,0.39567042784036016,0.5354792648980512,0.2139104268067812,0.5667471902886427,0.06270330462924366,0.16374657015286664,0.4063528686586882,0.05546260810811385,0.5674781635142153,0.3902272380016434,0.6035376766272104,0.28816872585048015,0.62724876395278,0.4980700013424173,0.46416317444746386,0.1671101394946377,0.32043099114936635,0.4645174784108276,0.4087867514845246,0.1331166802754241,0.11236358322534958,0.5941908827914669,0.43024803960036123,0.3893302082597577,0.10591526732291123,0.6203071412487913,0.4281749912450854
Thal_AV_R,0.01728918835876948,0.07517074292964662,0.2468450402954852,1.0,0.6054711739687846,0.6246362357112644,0.458247175852549,0.6128527644217285,0.6626285050590259,0.3187841088808702,0.6927766936058635,0.39831758274227735,-0.18959801353040037,0.3248653213816019,-0.1922763399588163,0.26392778481223617,-0.12626184220725745,0.190811760892323,0.3810370970625429,0.4405164646082328,0.2297666823191964,0.50958150350381,0.3919173939955319,0.39438873203274105,-0.016949232679562394,0.49705185297852444,-0.39581850112105754,-0.10136639443361023,0.35004086039656485,0.4155416233301979,0.6045950840358194,0.34268265849521395,0.3365811482189508,0.5579898769868696,0.6108314113696129,0.4787031198550915,0.31191488967196757,0.38384448778286195,-0.002989177930926018,0.45159380658504117,0.49192028443284597,0.47094456865849516,-0.4346351550404551,0.5288457947025664,0.35405434357357357,0.3560757029282815,0.5042990311315437,0.6851918004991019,-0.17563648113829927,0.062181057094256593,0.5862412789325475,0.31271951803714193,0.2432216520181002,0.40505598079299104,0.5475502770413923,0.5283716727019871,0.11811057499892222,0.5334882973488057,0.3770394742514117,0.6134699981092716,0.4378350547869368,0.5059593021983412,0.399065906998981,0.46294904228191974,-0.024581516657620206,0.41753320148164574,0.22936874714179922,0.37893510016331816,0.516118515594462,0.3249287633793832,0.5542759366433154,-0.042140076343879576,0.5536960607890937,0.38418681722658005,0.14817415493875452,-0.22416100654190807,0.07044883778559434,0.5630783485205781,-0.3637300583156701,0.47513172936740955,0.38653045973938943,0.5931631299536981,0.18604413175295426,0.34833540386958434,0.0805187673974131,-0.014543115354936109,0.3051155337720111,0.40951483432258234,0.28567366366829217,0.3345168605214733,0.06491693887226213,0.2891725879753329,0.41920391755653125,0.7451813742587158,0.44351751015602603,0.262937177176514,0.5262042509863222,0.20580552359454546,0.3624652200103286,0.5393169910111523,0.501913313687314,0.6740794199531261,0.5110870004550345,0.19181317920481075,0.3330931279796274,0.1810462292824412,0.31222599133163226,0.3837061553950746,-0.3030699180623519,0.2608888286885613,0.4555354690828928,0.4783153212650516,0.13695822328515783,0.4645976315921817,0.5341154190669047,0.3119250471958302,-0.047738483397083274,0.0861786408726229,0.2812919433449073,0.434040610958009,0.3101408773581744,0.23175017568803685,-0.21195229922740344,0.2335829450253036,0.4766756260465441,0.5363821667865902,0.2493905813528919,0.4937864737572449,0.38429556411501686,0.21997859275331139,0.11372535603962791,0.20587271706899804,0.03080442679653293,-0.015707882274819594,0.43587487104191114,0.35878425106692563,0.6174046144505793,-0.018472142794410982,-0.29863597982157586,0.34668131006623726,0.32203883138754247,0.4508527407932371,0.35454739398314894,0.33080367970137586,0.25510871246488637
Cingulate_Mid_L,-0.10817739707023052,0.19277295731994737,0.42289806045239253,0.6054711739687846,1.0,0.7183955151706307,0.25314393202493374,0.5811829272474978,0.9009052123532192,0.7241141130495076,0.7815231959972573,0.6219388669422795,0.08304360050782744,0.4387251083454386,-0.11725112162185375,0.38407788370380536,-0.1608044852792526,-0.06884176143186495,0.31175140548591096,0.192107233629586,0.3632565599679899,0.7238520683779675,0.364817755134969,0.7495699786128855,0.0867618577341056,0.19355597411331613,-0.1843257071325259,-0.11516883202500437,0.19775927662118023,0.26122324912961353,0.7341401346031061,0.777841967299901,0.1793742040803098,0.6713980670641035,0.7688635867499408,0.5491392821735177,0.5944835656044813,0.761320428894713,-0.07262562505167722,0.41535513341931857,0.6563812218972508,0.6947138676319812,-0.1780438744375333,0.9013671668344118,0.35819734253453905,0.7104301573832987,0.6903919385237762,0.41232670464786697,-0.2192644473193422,0.061944664530545396,0.6433415734629297,0.3306535451803228,0.651406205483122,0.717252559670336,0.5375101144444756,0.7318964518775984,0.07357854941167022,0.5973081276706581,0.42282636884139907,0.848004519532059,0.8333762922493322,0.798484402438181,0.7513530741339601,0.61628891144899,0.0792919657439121,0.8219340762078922,0.20113327996119393,0.27796866770308465,0.4505897436365312,0.14332440433609372,0.9760296404157556,-0.10860703492146168,0.7604432153866674,0.7784809930978227,0.3753544813005851,-0.252801231738021,0.11385362403883405,0.6266861849802613,-0.2874133643418991,0.7808428785712346,0.5470029179854395,0.6126154670865367,0.4532713140695003,0.2442234530708245,0.14678523553066536,-0.056744021073059626,0.5556357950248937,0.6448347217551157,0.5859644656962618,0.27858402068232785,0.06458413499721462,0.5932931584432634,0.7075128771087871,0.4859854338777001,0.374603928944816,0.1334254729676391,0.7645629007449087,0.05510704978539566,0.0627878414319371,0.3058474859862944,0.6243009957084371,0.6080899440699692,0.5219235741206825,0.5812270378428598,0.33510993245479437,0.5265557709867306,0.2600044442679615,0.6666556358482331,-0.0641388181471937,0.17796482531241223,0.7447315648494818,0.732932571087367,0.01055636742305654,0.6104250685028886,0.7476843606520831,0.23868951931532445,-0.05885025822136232,0.19165851652380378,0.39571379376690097,0.6980523679236463,0.5175196348018873,0.3902948469816599,-0.13628619676370357,-0.041259900773571355,0.6564149488920803,0.7036659018844338,0.6435554830136818,0.6002803157133777,0.832867862737117,0.18680972187791947,0.3748098354651378,0.6272621066536247,0.26381477592865143,-0.028435241377930322,0.7455721370983014,0.5572384025056782,0.7120149782762176,-0.19561370528335903,-0.33512338609953785,0.5829263725223237,0.590219854948346,0.6610274442108776,0.1848449216852491,0.5990201236746332,0.465371418238635
Frontal_Sup_2_L,0.09076661855877885,0.3240131438796333,0.29583837208545505,0.6246362357112644,0.7183955151706307,1.0,0.3353618537184314,0.7051105271976715,0.7840892602506558,0.5778651789200333,0.8308603029246396,0.4837938838257815,-0.06525542592284483,0.23943480872796846,-0.25903758907562563,0.3209303881556234,-0.1318641075591271,0.1248544477995038,0.41048499652980647,0.33263449621205676,0.26160344475992137,0.6392156151331312,0.31207184205419525,0.5134237742639405,0.12706968973115398,0.42293534939037475,-0.3103311002705598,-0.055448007447966075,0.28641487304943763,0.3097649035272386,0.8809561707511334,0.4495065537518668,0.39991187515093224,0.7143626743940398,0.7522815931976636,0.49849569788932696,0.40534174392279765,0.5966650491044191,-0.05645920682132702,0.5252530867917006,0.9194244231335726,0.7234190424263941,-0.20052925476569325,0.6806830392884111,0.5348191079795033,0.43698582762126587,0.6325456674523819,0.5398725971094678,-0.019261286007307594,0.10715323355715069,0.6157085839174307,0.37695804080340284,0.16313617503100677,0.5321496594734209,0.6085165941945797,0.6547157137618465,0.25606020940335833,0.6528812903534296,0.5726640002586002,0.7337157317566764,0.637786273180025,0.7035100583300166,0.7209645304213897,0.5282908605838562,0.15233276226279832,0.5452391940463189,0.41556845394441216,0.43829269825986444,0.5193140586886281,0.30768191210403034,0.6275492113817802,-0.12770136757001044,0.7670575425022539,0.7396474363982805,0.4260124268111711,-0.15841873892271757,0.2519387026279978,0.5692993977150759,-0.11139705822431983,0.6154623230507146,0.4049532605030865,0.6809864992570168,0.4892143277121023,0.35704987568328883,0.22220314394802967,0.04181080957811749,0.6004945083069069,0.6619066651531158,0.603936583537244,0.4671540186227086,0.006987202051504174,0.5196668848319496,0.8088874735060938,0.5640955455822717,0.5932018744754257,0.18407436024497542,0.7051485594655841,0.36888679579190065,0.20497045225006677,0.3893088428723105,0.5301680267003375,0.6673776570359852,0.5195741265022251,0.05898733080813782,0.526233967687271,0.26393231279861573,0.24003288997848193,0.5742156371687847,-0.25031030189920783,0.1961879460732823,0.5506421978644072,0.6358488497457866,0.1557296528137725,0.4849604408033604,0.6544041718034713,0.4296229864546782,-0.12085798267132303,0.004946572332733727,0.2704389746099096,0.6161404584134687,0.5805953560679049,0.2839830360259517,-0.13456329532801853,0.17105860870061854,0.609536985288412,0.6405990755842333,0.3748042551610096,0.5739357314354729,0.5013199704580039,0.18547303717555066,0.3594657336529662,0.08981584758996505,0.3059075823986682,-0.1312927002954908,0.6186462241134904,0.49110024787502676,0.7328775354118394,-0.17910804781698048,-0.229823105618124,0.460469339073079,0.5062495557060216,0.5974396356018151,0.3907200629386688,0.5826632907955634,0.42337075620831877
SN_pc_L,0.5829709347647305,0.2778081555694529,0.2057741307433967,0.458247175852549,0.25314393202493374,0.3353618537184314,1.0,0.37724900059551364,0.3460294002984038,0.14055523828479125,0.3548821432094492,0.24697896184606014,0.09919717010873559,0.28879301164234467,-0.05645184234580902,0.4409848592358025,0.1578040140392094,0.41454571724871636,0.06781709244244868,0.6912280081013396,0.5170960562534876,0.4373599696948453,0.49860744309041005,0.30002654442499993,0.08640656950230875,0.2697380574045315,0.10641138000907173,0.04360195364413854,0.47084185007706564,0.45295018316623553,0.4364936348353623,0.19082340365165554,0.5732253425549546,0.39249687925476046,0.421735104533245,0.3595967545092687,0.361653389909302,0.2970605950905896,-0.06271691371389242,0.5885482428610433,0.22042211966586586,0.45459346802363226,0.08545744564542225,0.2329373570823615,0.3472836819803866,0.23386577183802584,0.458224171169665,0.47768846806663745,0.38768943327477534,0.10958563339456985,0.5992292773741937,0.6024266487542468,0.03054962287504423,0.3827448164745231,0.6850766788737201,0.3644497197424448,0.5082938064756,0.3583250466179592,0.40748184156100054,0.29690671088813486,0.2651144505885628,0.3569062702770345,0.1450384760179344,0.4056644685922511,0.4761860436531959,0.15853280913941625,0.6440511499868975,0.1966404224563487,0.5575816390999064,0.7124104571342602,0.21450923946795833,-0.0116738139310802,0.3980548943022838,0.28313186730069295,-0.07638650268048384,0.11047933298103182,0.18527914382757,0.39624619742866535,0.1139547469523079,0.43519893132701326,0.3141720649467046,0.16136283363245155,0.46007125596829385,0.6149240364793311,0.2502918472106766,-0.10657101108736401,0.04253511211056764,0.41492818517687075,0.43971451541410006,0.34180959987248877,0.358662071304472,0.5659458010072178,0.27591919472736576,0.2948873477223862,0.6461694290030173,0.4968541960761619,0.3484545586721164,0.6173830538958666,0.416383257136503,0.44490202769174525,0.3197421078848564,0.5189444025605291,0.530382289077803,0.013052395599656853,0.48569748048818906,0.25493874451146803,0.3115549815739536,0.14883646215279675,0.014718087835932318,0.5033377789795312,0.36290610757269903,0.3816431853756892,0.48203567735701996,0.23491190890553806,0.24503625267575352,0.6192265734382312,0.07883909570069558,0.056409014320545015,0.20854150616431644,0.31151982151294005,0.22414856561703989,0.3852071638904126,0.045819283623226036,0.4213218817257234,0.3306831971342602,0.2618223501059698,0.2941046260756282,0.4514750345535571,0.15534890033571105,0.3618934601940482,0.25624567576462975,-0.007741440427902889,0.4111924202103287,0.27262254006901393,0.2668501939213229,0.5517056988269529,0.42269833812027185,0.3147427951078196,0.2106569199692592,0.3332311888717774,0.19587710159045402,0.4276250158539732,0.34918916612095313,0.3794348423995132,0.45748788732163825
Vermis_4_5,0.1375867402407246,0.39850462716382595,0.18852169948463993,0.6128527644217285,0.5811829272474978,0.7051105271976715,0.37724900059551364,1.0,0.7487044777625365,0.32378329681045553,0.7357492790402244,0.6049174057692455,0.043256587659838225,0.343279519620299,-0.304776815432208,0.41128492849826,-0.08417170936616283,0.24708922475279793,0.5242874703108437,0.39248627486544363,0.3074626343107798,0.6732301861958189,0.24207009396228643,0.37702693238266055,-0.04047712759872843,0.4759446266552453,-0.2622422698549541,-0.1825096488184519,0.3764043707309756,0.5073619413893521,0.7061801575934418,0.3058469395907366,0.42026344457927706,0.817104906802434,0.770876738467573,0.23836368464540975,0.4335543470659447,0.5212789427500908,0.03153748443194482,0.5135768840446513,0.5474821546963867,0.64667097405698,-0.23107282096597456,0.6231114299347518,0.652940063633852,0.2334137068606347,0.6890788861517816,0.7232251929295426,0.05402461485321129,0.1453967810576923,0.547411800098706,0.30447761420827063,0.11133886354061436,0.48240638382343237,0.6011176807964124,0.687567601428509,0.4592419074665884,0.6739757740395756,0.6819146326590911,0.7633240550645408,0.39766931346510437,0.5746418346818073,0.35139383314526934,0.6738895699430775,0.20030629874315478,0.4286140424422318,0.390451182911232,0.5167206435768262,0.5981586802283796,0.3329741015629641,0.5475753976117461,-0.11395525610604913,0.6955608129095482,0.413327508222041,0.07067379582631951,-0.12075743269543118,0.24878889048539995,0.7568907609049751,-0.14691341576699973,0.4545169220032921,0.24168355972665279,0.6017673877170616,0.23395261478657065,0.34214099847842805,0.2561688335581789,-0.09286160074035732,0.2350748265270218,0.5853402644418414,0.5336619696638726,0.37569278150169577,0.11327065012304553,0.41949624218924253,0.49436091264170606,0.641441281615272,0.7400999331489857,0.2342993776782153,0.4222880046603442,0.34863366730078726,0.30326461685990397,0.5807770159946586,0.6645428321226756,0.625644631789955,0.5571098421307786,0.12817744187484306,0.5570293179398532,0.3225652426779144,0.21120535952708702,0.3294504892297719,-0.17257948495785408,0.3228762486491969,0.4541491284505704,0.650204486340819,0.2526154988942499,0.43008822593767937,0.45547646359759925,0.4497064952207593,-0.1769967677190205,0.05927393260034252,0.26752067100103727,0.5124241957905529,0.4319948866818061,0.04696688344611335,-0.11277580832048201,0.28148962234345015,0.6432804878361374,0.6640743304213621,0.16159809450303095,0.7400853356976017,0.2767258449999941,0.3624020957643967,0.21853078800207598,0.10602370890542095,0.21786300037780887,-0.0346301250543217,0.5925504294154,0.5196137660299703,0.659021224863394,-0.07878012035867869,-0.2548849813930951,0.19972456940796543,0.3200951730522939,0.6438410178053848,0.5451188564593942,0.2684474777716056,0.4357501540048831
Cingulate_Post_L,-0.0693420971984063,0.3153026261955387,0.3465782894990082,0.6626285050590259,0.9009052123532192,0.7840892602506558,0.3460294002984038,0.7487044777625365,1.0,0.6465459700512936,0.8030419443215596,0.7232851329134419,0.03137861219878498,0.47147525986006683,-0.20560401578885376,0.48986052338818536,-0.16435351692225045,0.0656786201289077,0.472661544266145,0.3276402355154556,0.3608891323693352,0.8039388343243854,0.35677713767701,0.6227684647104437,0.014798653055130334,0.3945023735148191,-0.2720568914339913,-0.18309927050905897,0.3029307410395648,0.4096142029739593,0.7505807781142132,0.6441882302724451,0.3141776852361419,0.8154261969684858,0.8886700206573699,0.46965254840452286,0.5376994317480834,0.7651453426862046,-0.0013969472937484246,0.4655661896081833,0.6796118380981558,0.7144700447028598,-0.23793574445454482,0.9261466657473315,0.5135510447576916,0.5652970519194134,0.7875921346363326,0.5463421410229741,-0.1723525727872094,0.04772385546377535,0.7257226570161646,0.35496664759377994,0.4282914730104797,0.7285885423834324,0.5771712996584041,0.830639997785883,0.1987536487307914,0.7097721178449274,0.5660222137953623,0.942604692634522,0.7493979213601182,0.7478599445364928,0.6398024156377029,0.7197585855879591,0.1155111009448252,0.7341345288186636,0.3112691906244112,0.4382691761933939,0.5145818535112898,0.26945912122209625,0.8494336619670829,-0.11470837693811188,0.8503478432160269,0.6832324594185455,0.3122929361462045,-0.254539310242001,0.2050782830093758,0.7880264298602243,-0.3087501003280514,0.7004761403551555,0.45108465552793053,0.6745098935204723,0.35708089350578504,0.37024827623942436,0.20487831338811205,-0.103544423760335,0.4427486660134553,0.7365587593684227,0.689266820233431,0.37394953117292906,0.09268848054793369,0.5522695144641069,0.6545132338777181,0.5617001747057216,0.5431043486773368,0.1891128076731699,0.6997906472323805,0.19498108888792678,0.12339186947246833,0.4611885820783226,0.7156688712497455,0.6266187692515498,0.6128576091022288,0.39718036354733616,0.4343075984303089,0.5097483886150496,0.2764504719683465,0.5504200557606226,-0.12535349240444274,0.22714673414743838,0.6588646569922579,0.8160899978318148,0.07736713436491943,0.568283853012181,0.6230250359890189,0.3588030308375975,-0.15046278686939613,0.1466068960280872,0.45053343700996035,0.6682277210287746,0.548146773802729,0.2642187294455312,-0.16164211038534657,0.16387722001521537,0.7875840734627885,0.8053467727019366,0.5307534795831065,0.6719776789465566,0.649625832624583,0.2794737262711836,0.32179230881685117,0.4091465131242717,0.19353426030999665,-0.0641798226493062,0.8450009425940495,0.5742410737956848,0.7242293436408588,-0.2510233011389526,-0.38571656842172525,0.5004101515774606,0.5836153847581892,0.7726256873511965,0.3521225675229343,0.47859985139678174,0.5160614410047936
