,Frontal_Inf_Orb_2_L,Frontal_Med_Orb_R,Insula_L,Cerebellum_3_L,Hippocampus_R,Frontal_Inf_Tri_L,Thal_Re_L,OFCpost_R,Parietal_Sup_L,Temporal_Pole_Mid_L,N_Acc_L,Thal_PuA_L,OFCant_L,Thal_MDm_L,Temporal_Mid_R,Frontal_Sup_Medial_L,Thal_PuI_L,Frontal_Sup_2_L,Cerebellum_3_R,Precentral_R,Cuneus_L,Vermis_3,Precuneus_R,Thal_LGN_R,Angular_R
Frontal_Inf_Orb_2_L,1.0,0.4932820025455216,0.7675612793630646,0.25672127145727536,0.4408774195263886,0.7305305225811304,0.19071570362241824,0.6428664873544058,0.1798422459224126,0.6407558536244309,0.297461937824381,0.3607314650554877,0.6888714522724044,0.3817876596756634,0.5465667423147342,0.6403441946895726,0.13640857600322823,0.5826632907955634,0.3140346864879911,0.43038143315504196,0.44192222857558466,0.2759976660790759,0.4171456072291385,0.13749921604747864,-0.09217925155872274
Frontal_Med_Orb_R,0.4932820025455216,1.0,0.4667767116366298,0.3491726855582435,0.5381419299181575,0.5173583953334819,-0.09331624277146008,0.591431873968944,0.17627339926692498,0.6545024833430435,0.6785860369156868,0.4853666995134748,0.5285810649881094,0.5451719945794092,0.4531089067612926,0.5852181333402815,0.38092354230716263,0.5193140586886281,0.5268360490076556,0.10009466377741573,0.39128230794728763,0.5736203745330223,0.40687145271145403,0.04215963658149793,-0.052317241828846756
Insula_L,0.7675612793630646,0.4667767116366298,1.0,0.2565918250835034,0.41001710173687217,0.6120527253230794,0.10164370617990869,0.5937875654901723,0.08279305720156527,0.5135291497252468,0.19327210661588917,0.40404900034354074,0.6016861205569523,0.4342552772291553,0.6510700188061842,0.5377033097277989,0.09763300176080345,0.5037519774169991,0.3161981000256742,0.6050102650275244,0.5394417801888016,0.2154631560660266,0.5548375544445422,0.025432182845520915,-0.05487982145363224
Cerebellum_3_L,0.25672127145727536,0.3491726855582435,0.2565918250835034,1.0,0.5905015832249775,0.3567116240152266,0.14963718134490098,0.2370122782359068,-0.031183387921741464,0.3444937918905053,0.167466719224541,0.33971202828904357,0.30458292167362194,0.5076297794524527,0.4205467947613654,0.5293042764286595,0.20472548000457824,0.5348191079795033,0.7663744507029812,0.01613612460562944,0.3800144113673825,0.6866866316719169,0.4701334521954578,0.07864146395073614,-0.16147151684460395
Hippocampus_R,0.4408774195263886,0.5381419299181575,0.41001710173687217,0.5905015832249775,1.0,0.3072870894674725,0.29680430518003453,0.5458619212437846,0.021189240014749273,0.3766417753897212,0.40815943992673626,0.2361300729347391,0.4870360674145239,0.5568217304649341,0.49239882695831655,0.4097335237005006,0.27947923888598647,0.39991187515093224,0.4893076110500237,-0.12596649657560066,0.2728114871939994,0.4380310049205559,0.25401134982803547,0.32799954120345104,-0.07674915732705216
Frontal_Inf_Tri_L,0.7305305225811304,0.5173583953334819,0.6120527253230794,0.3567116240152266,0.3072870894674725,1.0,-0.056361060060796345,0.2916727106156714,0.28505970099894345,0.5539007366259995,0.26991653507473967,0.589618291746864,0.6362893814708159,0.3380254775190876,0.4383676401466788,0.8434878040989248,0.2765641024887168,0.8088874735060938,0.4582274063362783,0.2752035561651953,0.47037237639296764,0.5204293348161241,0.5352853061582628,-0.21810598094728578,-0.06464134133815536
Thal_Re_L,0.19071570362241824,-0.09331624277146008,0.10164370617990869,0.14963718134490098,0.29680430518003453,-0.056361060060796345,1.0,0.17402719072714493,0.14049187234979024,0.011165117340927884,-0.1849041086468423,-0.014543047813463196,0.3553412001436657,-0.017109830097627024,0.2652868183586048,-0.09499339778403472,-0.018628155540273757,-0.20052925476569325,-0.04986732816824228,0.03140226761078346,0.11251960952031263,-0.1210210120060068,-0.09374351920316305,0.4255908243720837,0.29385991240534093
OFCpost_R,0.6428664873544058,0.591431873968944,0.5937875654901723,0.2370122782359068,0.5458619212437846,0.2916727106156714,0.17402719072714493,1.0,0.06948204782482933,0.6048861322917276,0.4630030308569912,0.29136760375489035,0.5211857561047728,0.5590845375313618,0.5018695491667418,0.30492867227350684,0.1745396310709578,0.31207184205419525,0.29564433730153916,0.2464741818988609,0.4111988773590551,0.20069532405556154,0.33676870323845853,0.23832752026451978,-0.02339338471676862
Parietal_Sup_L,0.1798422459224126,0.17627339926692498,0.08279305720156527,-0.031183387921741464,0.021189240014749273,0.28505970099894345,0.14049187234979024,0.06948204782482933,1.0,0.01360567907464055,0.11306994349067226,0.18821944774982827,0.4035563812569217,-0.09069587125507365,0.15108228067627494,0.15117169098166355,0.3159124846009879,0.12706968973115398,0.02420395875156884,-0.0443042248131421,0.17606988307302388,0.03386016248989079,0.12467305721986968,0.013060736762605248,0.48844823748676996
Temporal_Pole_Mid_L,0.6407558536244309,0.6545024833430435,0.5135291497252468,0.3444937918905053,0.3766417753897212,0.5539007366259995,0.011165117340927884,0.6048861322917276,0.01360567907464055,1.0,0.6003142761820917,0.37043627153493625,0.4359545295081994,0.49120847516525834,0.4333711061790944,0.615901115529827,0.23367881200408738,0.49110024787502676,0.5526802945190002,0.43615682581289916,0.39775800757539787,0.5210182870027885,0.43213359647156213,0.06867481248222422,-0.2157375140997848
