,Montgomery,Juneau,Phoenix,Little Rock,Sacramento,Denver,Hartford,Dover,Honolulu,Tallahassee,Atlanta,Boise,Springfield,Indianapolis,Des Moines,Topeka,Frankfort,Baton Rouge,Augusta,Annapolis,Boston,Lansing,St. Paul,Jackson,Jefferson City,Helena,Lincoln,Carson City,Concord,Trenton,Santa Fe,Raleigh,Bismarck,Albany,Columbus,Oklahoma City,Salem,Harrisburg,Providence,Columbia,Pierre,Nashville,Austin,Salt Lake City,Montpelier,Richmond,Olympia,Charleston,Madison,Cheyenne
Montgomery,0,2850,1494,382,2013,1158,990,764,4399,179,146,1791,546,511,753,699,409,317,1213,714,1081,722,942,227,541,1674,819,1922,1097,839,1145,497,1257,986,555,677,2140,755,1046,325,1122,263,690,1527,1105,615,2167,489,758,1187
Juneau,2850,0,2004,2514,1480,1823,2847,2875,2811,3028,2841,1279,2334,2459,2103,2164,2587,2793,2829,2849,2877,2370,1956,2721,2309,1233,2036,1474,2819,2848,2030,2937,1596,2765,2563,2299,1041,2769,2890,2946,1729,2626,2594,1561,2730,2889,913,2696,2179,1750
Phoenix,1494,2004,0,1135,633,587,2212,2060,2905,1639,1590,737,1315,1497,1156,991,1554,1241,2367,2008,2296,1620,1285,1272,1166,908,987,581,2275,2100,383,1900,1098,2160,1665,842,984,1989,2277,1779,982,1444,870,507,2229,1959,1096,1731,1394,665
Little Rock,382,2514,1135,0,1633,778,1166,973,4036,553,456,1413,378,483,478,351,475,303,1363,920,1257,691,707,208,265,1312,483,1541,1254,1030,773,773,944,1135,624,299,1763,925,1229,644,790,325,443,1146,1235,850,1794,642,596,812
Sacramento,2013,1480,633,1633,0,887,2552,2446,2460,2176,2082,444,1698,1882,1482,1386,1970,1805,2663,2399,2625,1942,1519,1806,1577,733,1323,101,2590,2468,879,2346,1191,2486,2045,1336,447,2359,2615,2257,1162,1902,1465,533,2527,2375,589,2141,1697,900
Denver,1158,1823,587,778,887,0,1687,1565,3340,1331,1210,637,813,998,610,499,1083,1008,1820,1517,1765,1079,705,972,690,591,443,789,1736,1592,285,1459,533,1627,1163,503,987,1482,1751,1377,398,1020,771,371,1682,1489,1028,1255,839,97
Hartford,990,2847,2212,1166,2552,1687,0,234,5010,1014,845,2188,897,718,1077,1221,691,1290,229,278,93,610,1046,1162,1050,1957,1245,2451,115,152,1829,523,1425,82,553,1402,2498,242,65,703,1401,849,1601,2019,173,386,2463,528,855,1655
Dover,764,2875,2060,973,2446,1565,234,0,4905,780,618,2110,754,569,965,1079,509,1071,463,54,321,532,984,947,896,1899,1124,2346,348,84,1678,289,1375,258,402,1231,2435,105,284,469,1323,649,1398,1915,384,153,2413,333,770,1546
Honolulu,4399,2811,2905,4036,2460,3340,5010,4905,0,4541,4493,2834,4153,4338,3942,3834,4419,4135,5111,4856,5081,4401,3970,4176,4023,3093,3780,2561,5044,4928,3265,4787,3614,4943,4503,3739,2561,4818,5073,4679,3612,4333,3749,2992,4977,4827,2636,4593,4155,3360
Tallahassee,179,3028,1639,553,2176,1331,1014,780,4541,0,229,1965,714,653,929,878,536,411,1242,737,1101,850,1111,371,719,1853,998,2087,1126,862,1302,493,1434,1025,662,841,2315,796,1063,311,1300,421,802,1698,1149,628,2344,566,917,1363
